id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
697214,Grilled Salmon with North African Flavors,https://spoonacular.com/recipeImages/697214-312x231.jpg,african,4,45,http://www.eatingwell.com/recipes/grilled_salmon_with_north_african_flavors.html,347.93,100.0,191,False,False,True,False,4,"Stir together yogurt, parsley, cilantro, lemon juice, oil, garlic, paprika, cumin, salt and pepper in a small bowl. Reserve 1/4 cup for sauce; cover and refrigerate. Place salmon fillets in a large sealable plastic bag. Pour in the remaining herb mixture, seal the bag and turn to coat. Refrigerate for 20 to 30 minutes, turning the bag over once.Meanwhile, preheat grill to medium-high.Oil the grill rack (see Tip). Remove the salmon from the marinade, blotting any excess. Grill the salmon until browned and opaque in the center, 4 to 6 minutes per side. To serve, top each piece with a dollop of the reserved sauce and garnish with lemon wedges.","Need a <b>gluten free, primal, and pescatarian main course</b>? Grilled Salmon with North African Flavors could be a super recipe to try. One serving contains <b>219 calories</b>, <b>24g of protein</b>, and <b>11g of fat</b>. For <b>$3.11 per serving</b>, this recipe <b>covers 23%</b> of your daily requirements of vitamins and minerals. This recipe is liked by 191 foodies and cooks. This recipe is typical of African cuisine. <b>The Fourth Of July</b> will be even more special with this recipe. If you have cilantro, parsley, garlic, and a few other ingredients on hand, you can make it. To use up the plain nonfat yogurt you could follow this main course with the <a href=""https://spoonacular.com/recipes/lime-yogurt-696445"">Lime Yogurt</a> as a dessert. From preparation to the plate, this recipe takes around <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is amazing. Similar recipes include <a href=""https://spoonacular.com/recipes/grilled-salmon-with-north-african-flavors-86847"">Grilled Salmon With North African Flavors</a>, <a href=""https://spoonacular.com/recipes/north-african-grilled-corn-on-the-cob-351506"">North African-Grilled Corn on the Cob</a>, and <a href=""https://spoonacular.com/recipes/grilled-chicken-breasts-with-north-african-spice-paste-149671"">Grilled Chicken Breasts with North African Spice Paste</a>.","1/4 cup chopped fresh cilantro; 1/4 cup chopped fresh parsley; 3 cloves garlic, minced; 1 teaspoon ground cumin; 1 lemon, cut into wedges; 2 tablespoons lemon juice; 1 tablespoon extra-virgin olive oil; 1 1/2 teaspoons paprika; Freshly ground pepper, to taste; 1/4 cup low-fat or nonfat plain yogurt; 1 pound center-cut salmon fillet, cut into 4 servings (see Tip); 1/4 teaspoon salt, or to taste",242,11g,10g,25g
575018,"Quick and Easy African Pork Peanut Stew, by Pork Passion Pursuit Winner Devon Delaney (Sponsored)",https://spoonacular.com/recipeImages/575018-312x231.jpg,african,10,40,http://www.theculinarylife.com/2014/african-pork-peanut-stew-pork-passion-pursuit/,217.27,62.0,53,False,False,True,True,6,"Sprinkle pork and potatoes with salt and pepper. In a Dutch oven, heat 2 tablespoons of oil over medium heat, then cook pork and potatoes for 4-6 minutes or until pork is browned. Remove and set aside. In the same pan, sauté onion in remaining oil until tender.Stir in the tomatoes, chicken broth, peanut butter, chutney, thyme, cayenne, pork, and sweet potatoes. Bring to a simmer. Reduce heat to low, then cover and simmer for 15-20 minutes or until potato is tender. Give each serving a sprinkle of chopped peanuts and serve hot.","The recipe Quick and Easy African Pork Peanut Stew, by Pork Passion Pursuit Winner Devon Delaney (Sponsored) is ready <b>in roughly 40 minutes</b> and is definitely a super <b>gluten free and dairy free</b> option for lovers of African food. For <b>$2.06 per serving</b>, this recipe <b>covers 26%</b> of your daily requirements of vitamins and minerals. One serving contains <b>391 calories</b>, <b>31g of protein</b>, and <b>18g of fat</b>. This recipe is liked by 53 foodies and cooks. It works well as a reasonably priced main course for <b>Autumn</b>. A mixture of chicken broth, olive oil, salt, and a handful of other ingredients are all it takes to make this recipe so delicious. To use up the peanuts you could follow this main course with the <a href=""https://spoonacular.com/recipes/single-girl-melty-chocolate-peanut-butter-cake-35033"">Single-Girl Melty Chocolate Peanut Butter Cake</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 96%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/quick-and-easy-african-pork-peanut-stew-by-pork-passion-pursuit-winner-devon-delaney-sponsored-574558"">Quick and Easy African Pork Peanut Stew, by Pork Passion Pursuit Winner Devon Delaney (Sponsored)</a>, <a href=""https://spoonacular.com/recipes/tart-summer-pork-stew-with-tomatoes-and-tomatillos-sponsored-post-575275"">Tart Summer Pork Stew with Tomatoes and Tomatillos (sponsored post)</a>, and <a href=""https://spoonacular.com/recipes/quick-pork-mole-stew-275422"">Quick Pork Mole Stew</a> for similar recipes.","½ teaspoon freshly ground black pepper; 1 can (28 ounce) diced tomatoes with green chilies; ¼ teaspoon cayenne pepper; 1 cup chicken broth; ¼ cup creamy peanut butter; ¼ teaspoons dried thyme; ¼ cup mango chutney; 3 tablespoons olive oil, divided; 1 medium onion, thinly sliced; Chopped peanuts for garnish; 1 ½ pounds pork roast, fat trimmed, cut into 1-inch cubes; ½ teaspoon salt; 1 large sweet potato, peeled, cut in 1-inch cubes",421,18g,35g,32g
245461,African Chicken Peanut Stew,https://spoonacular.com/recipeImages/245461-312x231.jpg,african,27,120,http://www.simplyrecipes.com/recipes/african_chicken_peanut_stew/,200.89,37.0,10665,False,False,True,True,6,"1 Heat the vegetable oil in a large soup pot set over medium-high heat. Salt the chicken pieces well, pat them dry and brown them in the oil. Don't crowd the pot, so do this in batches. Set the chicken pieces aside as they brown.2 Sauté the onions in the oil for 3-4 minutes, stirring often and scraping any browned bits off the bottom of the pot. Add the ginger and garlic and sauté another 1-2 minutes, then add the sweet potatoes and stir well to combine. 3 Add the chicken, chicken broth, crushed tomatoes, peanut butter, peanuts, coriander and cayenne and stir well to combine. Bring to a simmer and taste for salt, adding more if needed. Cover the pot and simmer gently for 90 minutes (check after an hour), or until the chicken meat easily falls off the bone and the sweet potatoes are tender. 4 Remove the chicken pieces and set them in a bowl to cool, until cool enough to touch. Remove and discard the skin if you want, or chop it and put it back into the pot. Shred the meat off the bones and put the meat back in the pot. 5 Adjust the seasonings for salt and cayenne, then add as much black pepper as you think you can stand—the stew should be peppery. Stir in the cilantro and serve by itself, or with simple steamed rice.","The recipe African Chicken Peanut Stew could satisfy your African craving in around <b>2 hours</b>. For <b>$1.96 per serving</b>, this recipe <b>covers 38%</b> of your daily requirements of vitamins and minerals. Watching your figure? This gluten free and dairy free recipe has <b>862 calories</b>, <b>40g of protein</b>, and <b>56g of fat</b> per serving. This recipe serves 6. 10665 people have made this recipe and would make it again. Head to the store and pick up a piece of ginger, onion, salt and pepper, and a few other things to make it today. It will be a hit at your <b>Autumn</b> event. Many people really liked this main course. All things considered, we decided this recipe <b>deserves a spoonacular score of 97%</b>. This score is excellent. Similar recipes include <a href=""https://spoonacular.com/recipes/african-chicken-peanut-stew-716268"">African Chicken Peanut Stew</a>, <a href=""https://spoonacular.com/recipes/west-african-peanut-chicken-stew-163315"">West African Peanut-Chicken Stew</a>, and <a href=""https://spoonacular.com/recipes/one-pot-african-peanut-stew-854978"">One-Pot African Peanut Stew</a>.","1 15-ounce can of crushed tomatoes; 1 teaspoon cayenne, or to taste; 2-3 pounds chicken legs, thighs and/or wings; 1 quart chicken stock; 1/4 to 1/2 cup of chopped cilantro; 6-8 garlic cloves, chopped roughly; A 3-inch piece of ginger, peeled and minced; 1 Tbsp ground coriander; 1 cup peanut butter; 1 cup roasted peanuts; Salt and black pepper; 2-3 pounds sweet potatoes, peeled and cut into chunks; 3 Tbsp vegetable oil; 1 large yellow or white onion, sliced",867,57g,59g,40g
728651,Jollof Rice with Chicken from Ghana,https://spoonacular.com/recipeImages/728651-312x231.jpg,african,15,60,http://www.panningtheglobe.com/2016/04/06/jollof-rice-with-chicken/,290.66,57.0,192,False,False,True,True,6,"Marinate the Chicken: In a large bowl, toss chicken with 1 teaspoon of the garlic, 1 teaspoon of the ginger,  teaspoon salt,  teaspoon Aleppo or crushed red pepper, and  teaspoon black pepper. Leave to marinate for 10 minutes.Brown the Chicken: Preheat oven to 350F. Heat 2 tablespoons oil over medium high heat in a large heavy oven-ready pot or Dutch oven, with a lid. Add half the chicken and cook for about 3 minutes, tossing occasionally, until lightly browned but not cooked through. Transfer to a plate. Add 2 more tablespoons of oil to the pot and repeat with the rest of the chicken.Add the Rest of the Ingredients and Bake: Heat the remaining tablespoon of oil and add the rest of the garlic and ginger, the bell pepper, carrots and onion. Cook, stirring, for 3 minutes until slightly softened and fragrant. Add the curry powder and cook, stirring, for 30 seconds or so. Add tomato paste, 1 cup of chicken broth, the remaining 1 teaspoons salt and the bay leaf. Stir to combine. Add the raw rice and stir to coat. Add the chicken back to the pot, along with any accumulated juices. Stir to combine with the rice and veggies. Gently stir in the tomato puree and 2 cups of chicken broth. Bring to a boil. Turn off the heat. Cover the casserole bake in the oven for 20 minutes. Remove from oven, add peas and stir through. If rice looks dry, add another half cup of broth. Cover and return to the oven for 15 minutes longer.Serve hot with a side of sauted greens or a simple green salad.","Jollof Rice with Chicken from Ghana might be just the main course you are searching for. One serving contains <b>639 calories</b>, <b>44g of protein</b>, and <b>17g of fat</b>. This recipe serves 6 and costs $2.91 per serving. 192 people have tried and liked this recipe. It is a good option if you're following a <b>gluten free and dairy free</b> diet. A mixture of ginger root, onion, cooking oil, and a handful of other ingredients are all it takes to make this recipe so delicious. To use up the white rice you could follow this main course with the <a href=""https://spoonacular.com/recipes/baked-rice-pudding-633756"">Baked Rice Pudding</a> as a dessert. This recipe is typical of African cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 96%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/how-to-make-party-jollof-rice-716298"">How to Make Party Jollof Rice</a>, <a href=""https://spoonacular.com/recipes/peanut-stew-with-chicken-from-ghana-542132"">PEANUT STEW WITH CHICKEN from Ghana</a>, and <a href=""https://spoonacular.com/recipes/bananas-ghana-124006"">Bananas Ghana</a> for similar recipes.","1 bay leaf; ½ teaspoon freshly ground black pepper; 4-5 carrots, scraped and sliced into thin rounds (1½ cups); 5 tablespoons cooking oil (I used canola); 1 teaspoon curry powder (I use Madras Curry Powder); 1 tablespoon minced garlic, divided; 1 tablespoon finely minced or grated ginger root, divided; 2 teaspoons kosher salt, divided; 3-4 cups low-salt chicken broth, divided; 1 cup frozen peas, defrosted; 1 red bell pepper, trimmed of ribs and seeds, chopped (1½ cups); ½ teaspoon Aleppo pepper or crushed red pepper flakes; 2 pounds boneless skinless chicken breast, cut into 1½-inch cubes; 1 6-oz can tomato paste; 2 cups tomato puree (I use San Marzano plum tomatoes and puree them in a blender); 2 cups long grain raw long-grain white rice, rinsed; 1 medium yellow onion, finely chopped (1 cup)",639,17g,77g,44g
563530,African Groundnut Chicken and Sweet Potato Stew,https://spoonacular.com/recipeImages/563530-312x231.jpg,african,15,30,http://www.godairyfree.org/recipes/african-chicken-and-sweet-potato-stew,242.26,52.0,40,False,False,True,True,4,"Heat olive oil in a large soup pan over medium-high heat. Add the chicken, garlic, onion, all-spice and cayenne to the soup pot and cook for 7 minutes until chicken is browning and cooked through.Add the tomatoes, sweet potatoes, coconut milk, chutney and peanut butter to the soup pot and bring up to a simmer. Reduce heat to medium and let simmer for 10 minutes. Season with salt and pepper to taste, stir in parsley, heat through and serve with peanuts sprinkled on top.","African Groundnut Chicken and Sweet Potato Stew is a <b>gluten free and dairy free</b> main course. For <b>$2.8 per serving</b>, this recipe <b>covers 40%</b> of your daily requirements of vitamins and minerals. One serving contains <b>547 calories</b>, <b>39g of protein</b>, and <b>21g of fat</b>. A couple people made this recipe, and 40 would say it hit the spot. From preparation to the plate, this recipe takes around <b>30 minutes</b>. It will be a hit at your <b>Autumn</b> event. Head to the store and pick up parsley, salt & pepper, mango chutney, and a few other things to make it today. To use up the coconut milk beverage you could follow this main course with the <a href=""https://spoonacular.com/recipes/coconut-cream-pie-with-whipped-coconut-milk-topping-248374"">Coconut Cream Pie With Whipped Coconut Milk Topping</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 95%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/slow-cooker-african-groundnut-stew-with-chicken-172600"">Slow-Cooker African Groundnut Stew with Chicken</a>, <a href=""https://spoonacular.com/recipes/african-sweet-potato-chicken-stew-779804"">African Sweet Potato & Chicken Stew</a>, and <a href=""https://spoonacular.com/recipes/african-potato-and-cauliflower-stew-570458"">African Potato and Cauliflower Stew</a> for similar recipes.","1 teaspoon all-spice; 1 10-ounce can diced tomatoes with green chilies; 2 cups So Delicious Dairy Free Coconut Milk Beverage; 1 clove garlic, crushed; ¼ cup mango chutney; 2 tablespoons olive oil; ¼ cup chopped parsley; ¼ cup chopped roasted peanuts; Salt & pepper to taste; 6 boneless, skinless chicken thighs, cut in 1-inch cubes; 1 16-ounce can sweet potatoes, drained, cut in ½-inch cubes; 1 yellow onion, diced",564,21g,52g,42g
506917,South African Piri-Piri Chicken,https://spoonacular.com/recipeImages/506917-312x231.jpg,african,8,210,http://thewanderlustkitchen.com/2014/04/04/south-african-piri-piri-chicken-2/,273.88,31.0,16462,False,False,True,True,4,"In a large bowl, whisk together everything except for the chicken. Add the chicken and toss with tongs to coat in the marinade. Cover with plastic wrap and refrigerate overnight, or at least three hours.When ready to cook, preheat your oven to 350 degrees Fahrenheit. Heat a oven-save skillet over medium-high heat until very hot. Use tongs to transfer the chicken breasts out of the bowl and into the pan, reserving the marinade. Let cook for two or three minutes per side, until nice and browned.Pour the reserved marinade into the pan and spoon the sauce onto the chicken. Turn off the stove, and use oven mitts to transfer the pan to the pre-heated oven.Let cook in oven for 15-20 minutes (depending on thickness of chicken breasts), or until cooked through.","The recipe South African Piri-Piri Chicken is ready <b>in around 3 hours and 30 minutes</b> and is definitely a spectacular <b>caveman, gluten free, dairy free, and primal</b> option for lovers of African food. This recipe makes 4 servings with <b>406 calories</b>, <b>49g of protein</b>, and <b>20g of fat</b> each. For <b>$2.71 per serving</b>, this recipe <b>covers 28%</b> of your daily requirements of vitamins and minerals. It works well as a main course. 16462 people have made this recipe and would make it again. If you have ground ginger, olive oil, salt, and a few other ingredients on hand, you can make it. To use up the white vinegar you could follow this main course with the <a href=""https://spoonacular.com/recipes/vinegar-pecan-pie-606667"">Vinegar Pecan Pie</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 95%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/african-piri-piri-kabobs-107296"">African Piri - Piri Kabobs</a>, <a href=""https://spoonacular.com/recipes/chicken-piri-piri-with-spicy-rice-638252"">Chicken Piri Piri with Spicy Rice</a>, and <a href=""https://spoonacular.com/recipes/piri-piri-chicken-with-spicy-rice-219959"">Piri-piri chicken with spicy rice</a> for similar recipes.","1 teaspoon cayenne pepper; 1 Tablespoon chili powder; 1½ teaspoon minced garlic; ½ teaspoon ground ginger; ½ teaspoon ground black pepper; Juice of two lemons; ¼ cup olive oil; 1 teaspoon ground oregano; 1 Tablespoon paprika; 1 teaspoon salt; 2 pounds boneless, skinless chicken breasts; 1 Tablespoon white vinegar; ½ yellow onion, roughly chopped",407,20g,7g,49g
794274,Bunny Chow,https://spoonacular.com/recipeImages/794274-312x231.jpg,african,11,65,http://www.curiouscuisiniere.com/bunny-chow/,616.28,65.0,47,False,False,False,True,4,"Heat a large saut pan with high sides or a Dutch oven over high heat. Add the beef chunks a few at a time, as to not over-crowd the pan. Sear the beef cubes on all sides and remove from the pan. Set aside.Reduce the heat to medium and add the oil. Once the oil is hot, add the oinions and saut until golden, 5-7 min.Add the garlic, ginger, bay, cardamom, cloves, and cinnamon stick. Saut until the mixture is fragrant, 1-2 min.Add the diced tomatoes along with the curry powder, chili powder, garam masala, coriander, cumin, and turmeric. Cook for 4-5 min, until the tomatoes start to break down.Add the seared meat and diced potatoes to the pan along with  c of water. Bring the mixture to a simmer.Cover and simmer over low heat for 30-40 min, until potatoes are cooked and the meat is tender. Check the curry occasionally during cooking and add a little water if it seems to be getting too dry.Towards the end of cooking time, mix in the vinegar and salt.While the curry is cooking, slice the loaves of bread in half and hollow each half out, creating two cube-shaped bowls out of each loaf. (Be careful to leave enough bread around the edges to keep the structure of the bowl.)To serve, spoon the curry into each half loaf bowl.Serve the bunny with extra bread, if desired, and a side salad.","Bunny Chow might be just the <b>African</b> recipe you are searching for. This recipe makes 4 servings with <b>531 calories</b>, <b>57g of protein</b>, and <b>11g of fat</b> each. For <b>$6.03 per serving</b>, this recipe <b>covers 42%</b> of your daily requirements of vitamins and minerals. A couple people made this recipe, and 47 would say it hit the spot. From preparation to the plate, this recipe takes about <b>1 hour and 5 minutes</b>. Head to the store and pick up bay leaves, cumin, russet potatoes, and a few other things to make it today. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. It is a good option if you're following a <b>dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 95%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/bunny-chow-75969"">Bunny Chow</a>, <a href=""https://spoonacular.com/recipes/bluegrass-burgers-with-sweet-roasted-corn-chow-chow-and-country-ham-spread-318556"">Bluegrass Burgers with Sweet Roasted Corn Chow-Chow and Country Ham Spread</a>, and <a href=""https://spoonacular.com/recipes/how-to-cook-yaki-chow-a-cross-between-yakisoba-and-chow-mein-478206"">How to cook yaki-chow, a cross between yakisoban and chow mein</a> for similar recipes.","2 bay leaves; 2 loaves of white bread, un-sliced; 1 ½ tsp chilli powder; 1 large cinnamon stick; 1 tsp coriander, ground; ½ tsp cumin; 1 Tb curry powder; 1 ½ tsp garam masala; 2 garlic cloves, minced (1 tsp dry, ground); ½ inch fresh ginger, peeled and minced (or ⅛ tsp dry, ground); 2 green cardamom pods, split; 1 tsp olive oil; 1 large onion, diced; 2 lbs beef roast, cut into 1 inch cubes; 4 medium Russet potatoes, peeled and diced; ½ tsp salt; 2 large tomatoes, diced (roughly 2 c diced); ½ tsp turmeric; ½ c water; 1 Tbsp white wine vinegar",542,11g,57g,57g
97206,Bo-Kaap Cape Malay Kerrie - South African Cape Malay Curry,https://spoonacular.com/recipeImages/97206-312x231.jpg,african,11,140,http://www.food.com/recipe/bo-kaap-cape-malay-kerrie-south-african-cape-malay-curry-289231,438.01,57.0,60,False,False,True,False,6,"Heat the oil in a large pot or saucepan.Over high heat, fry the onions and garlic, stirring continuously. Add the ginger, curry powder and all the spices and continue stirring for a minute. Season to taste with pepper and add the salt.Reduce heat slightly. Add the meat and fry it until it is browned on all sides. (This may be easier if you remove the onions, garlic and ginger mixture and set them aside, then return them to the pot after the meat is browned.).Add the vinegar and stock, plus all the other remaining ingredients (except the apricot jam, yoghurt, and bananas). Cover. Reduce heat. Simmer over a low heat, stirring occasionally, until everything is tender, approximately 1 1/2 hours for lamb and 2 hours for mutton, maybe a little longer.Stir in the apricot jam and the yoghurt a few minutes before serving.Serve this curry with yellow rice and a variety of sambals and atjars.","The recipe Bo-Kaap Cape Malay Kerrie - South African Cape Malay Curry is ready <b>in roughly 2 hours and 20 minutes</b> and is definitely a spectacular <b>gluten free</b> option for lovers of African food. One portion of this dish contains about <b>44g of protein</b>, <b>24g of fat</b>, and a total of <b>598 calories</b>. For <b>$3.99 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. This recipe serves 6. A mixture of carrots, onions, pepper, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the ground cumin you could follow this main course with the <a href=""https://spoonacular.com/recipes/moroccan-chocolate-mousse-752536"">Moroccan Chocolate Mousse</a> as a dessert. This recipe from Food.com has 60 fans. A couple people really liked this main course. All things considered, we decided this recipe <b>deserves a spoonacular score of 91%</b>. This score is amazing. Similar recipes are <a href=""https://spoonacular.com/recipes/bo-kaap-cape-malay-curry-powder-south-african-spice-mixture-99310"">Bo-Kaap Cape Malay Curry Powder - South African Spice Mixture</a>, <a href=""https://spoonacular.com/recipes/cape-malay-seafood-curry-and-a-south-african-food-safari-at-gold-restaurant-792030"">Cape Malay Seafood Curry and a South African Food Safari at Gold Restaurant</a>, and <a href=""https://spoonacular.com/recipes/cape-malay-curry-584248"">Cape Malay Curry</a>.","3 tablespoons apricot jam; 2 bananas, peeled and sliced; 2 bay leaves; black pepper; 2 carrots, peeled and diced; 1 cinnamon stick; 1 tablespoon cape malay curry powder or 1 tablespoon mild curry powder; 250 g dried apricots, soaked in warm water and drained; 1 piece fresh gingerroot, peeled and crushed; 2 -4 garlic cloves, peeled and minced; 1 teaspoon ground coriander; 1 teaspoon ground cumin; 1 1⁄2 kg boneless mutton shoulder or 1 1⁄2 kg boneless lamb shoulder; 250 ml meat stock; 3 tablespoons natural yoghurt; oil; 4 onions, peeled and chopped; 1⁄4 teaspoon salt; 2 tablespoons tomato paste; 1⁄2 teaspoon turmeric; 50 ml wine vinegar",622,25g,58g,45g
779804,African Sweet Potato & Chicken Stew,https://spoonacular.com/recipeImages/779804-312x231.jpg,african,17,45,http://www.eatingwell.com/recipes/african_sweet_potato_chicken_stew.html,257.94,26.0,2515,False,False,False,True,4,"Cut chicken into bite-size pieces and sprinkle with 1 teaspoon coriander and 1/2 teaspoon salt. Heat 1 tablespoon oil in a large nonstick skillet over medium-high heat. Add the chicken and cook, stirring, until browned on all sides, about 4 minutes. Transfer to a plate.Add the remaining 1 tablespoon oil, onion and ginger to the pan and cook, stirring, until lightly browned, 3 to 5 minutes. Add sweet potato, tomatoes and their juice, peanut butter, 1 tablespoon lime juice, cayenne (or crushed red pepper) and the remaining 1 teaspoon coriander and 1/4 teaspoon salt. Bring to a boil. Reduce heat to maintain a simmer, cover and cook, stirring occasionally, until the sweet potato is tender, 14 to 16 minutes. Return the chicken and any accumulated juice to the pan and cook until heated through, about 2 minutes more.Meanwhile, bring water to a boil in a medium saucepan. Stir in couscous and the remaining 1 tablespoon lime juice. Cover, remove from the heat and let stand for 5 minutes. Fluff with a fork; stir in cilantro. Serve the stew over the couscous.","The recipe African Sweet Potato & Chicken Stew is ready <b>in approximately 45 minutes</b> and is definitely a tremendous <b>dairy free</b> option for lovers of African food. One serving contains <b>614 calories</b>, <b>37g of protein</b>, and <b>18g of fat</b>. This recipe serves 4 and costs $2.5 per serving. It is perfect for <b>Autumn</b>. Many people really liked this main course. 2515 people have tried and liked this recipe. If you have sweet potato, lime juice, couscous, and a few other ingredients on hand, you can make it. To use up the water you could follow this main course with the <a href=""https://spoonacular.com/recipes/watermelon-peach-slushies-507207"">Watermelon-Peach Slushies</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 93%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/african-groundnut-chicken-and-sweet-potato-stew-563530"">African Groundnut Chicken and Sweet Potato Stew</a>, <a href=""https://spoonacular.com/recipes/african-potato-and-cauliflower-stew-570458"">African Potato and Cauliflower Stew</a>, and <a href=""https://spoonacular.com/recipes/african-sweet-potato-soup-617445"">African Sweet Potato Soup</a> for similar recipes.","1 28-ounce can no-salt-added whole tomatoes (see Tip), chopped (juice reserved); 1/4 teaspoon cayenne pepper or 1/2 teaspoon crushed red pepper; 1 cup chopped cilantro; 1 tablespoon grated fresh ginger; 2 teaspoons ground coriander, divided; 2 tablespoons lime juice, divided; 2 tablespoons extra-virgin olive oil, divided; 1 large onion, halved and sliced; 3/4 teaspoon salt, divided; 1 pound boneless, skinless chicken thighs, trimmed; 1/4 cup smooth natural peanut butter; 1 large sweet potato (about 1 pound), peeled and cubed (1/2-inch); 1 1/2 cups water; 1 cup whole-wheat couscous",621,19g,83g,37g
89180,African Adobo-Rubbed Tuna Steaks,https://spoonacular.com/recipeImages/89180-312x231.jpg,african,26,50,http://www.food.com/recipe/african-adobo-rubbed-tuna-steaks-456085,865.17,62.0,4,False,False,True,True,4,"For the salsa:.In a medium bowl, combine the diced avocados, scallions, peppers, and garlic. In another bowl, whisk together the orange and lime juices, olive oil, and salt and pepper. Pour over the avocado mixture and gently toss. Refrigerate for 15 minutes.Meanwhile, for the cucumbers: Mix the sugar and vinegar in a bowl, stirring well. Add the cucumbers and allow to marinate for about 15 minutes.To serve, arrange the cucumber in neat slices across each plate. Slice the tuna and lay it over the cucumbers. Spoon the avocado salsa on top of or around the tuna. Spoon a little of the pickling juices around the cucumbers, and serve. (Sometimes I add a little grated orange zest for garnish as well.)For the adobo:.Mix all of the ingredients together in a bowl.Rub each of the tuna steaks with 1 1/2 teaspoons of the oil and sprinkle generously with the adobo. (Reserve any extra adobo spice rub for another use.) In a nonstick skillet, heat the remaining 2 tablespoons oil until it begins to smoke. Sear the tuna on each side for only 1 minute  the tuna is served rare. Transfer to a plate and set aside.","African Adobo-Rubbed Tuna Steaks is a <b>gluten free, dairy free, and pescatarian</b> main course. This recipe makes 4 servings with <b>871 calories</b>, <b>43g of protein</b>, and <b>65g of fat</b> each. For <b>$8.65 per serving</b>, this recipe <b>covers 48%</b> of your daily requirements of vitamins and minerals. It will be a hit at your <b>valentin day</b> event. 4 people were impressed by this recipe. Not a lot of people really liked this African dish. Head to the store and pick up orange juice, ground turmeric, nutmeg, and a few other things to make it today. To use up the sugar you could follow this main course with the <a href=""https://spoonacular.com/recipes/whole-wheat-refined-sugar-free-sugar-cookies-557184"">Whole Wheat Refined Sugar Free Sugar Cookies</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>50 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 93%</b>. This score is outstanding. Try <a href=""https://spoonacular.com/recipes/african-adobo-rubbed-tuna-494023"">African Adobo-Rubbed Tuna</a>, <a href=""https://spoonacular.com/recipes/adobo-rubbed-chicken-306025"">Adobo-Rubbed Chicken</a>, and <a href=""https://spoonacular.com/recipes/seared-strip-steaks-with-north-african-spiced-butter-291661"">Seared Strip Steaks with North African-Spiced Butter</a> for similar recipes.","4 6-ounce tuna steak; 2 ripe avocados, pitted, peeled, and cut into 1/2-inch cubes; 1⁄4 cup peanut oil or 1⁄4 cup canola oil; 1 1⁄2 teaspoons cayenne pepper; 1⁄2 cup champagne vinegar; 1 1⁄2 teaspoons coriander seeds, toasted and ground; 1 seedless European cucumber, peeled, halved lengthwise, seeded, and very thinly sliced; 1 1⁄2 tablespoons dry mustard; 1⁄2 cup extra virgin olive oil; 2 garlic cloves, minced; 1 1⁄2 teaspoons ground allspice; 1 teaspoon ground ginger; 1 1⁄2 teaspoons fresh ground black pepper; 1 1⁄2 teaspoons ground turmeric; 1 1⁄2 tablespoons kosher salt; kosher salt & freshly ground black pepper; 1⁄4 cup fresh lime juice; 1 1⁄2 teaspoons grated nutmeg; 1⁄3 cup fresh orange juice; 1 1⁄2 tablespoons dried orange peel; 1 tablespoon paprika; 2 jarred piquillo peppers, diced (or substitute 2 jarred roasted red peppers); 1 1⁄2 teaspoons red pepper flakes, crushed; 3 scallions, white and green parts, thinly sliced on the bias; 1 tablespoon sugar; 2 1⁄2 tablespoons sugar",885,66g,32g,44g
