id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
575574,Caribbean Citrus Spiced Wild Salmon,https://spoonacular.com/recipeImages/575574-312x231.jpg,caribbean,3,45,http://www.multiplydelicious.com/thefood/2013/06/caribbean-citrus-spiced-wild-salmon/,326.55,95.0,343,False,False,True,True,4,"In a small bowl, combine Caribbean Citrus Spice mixture.  Rub about 1/2 - 1 tablespoon of spice mixture on the tops of the salmon fillets making sure to evenly coat.  You may have some spice mixture remaining which can be stored in an airtight container and used again.Heat a grill pan on medium-high heat and lightly coat with a little coconut oil or other fat of choice (you won’t need much because salmon is already a oily fish).  Add salmon, skin side up, and cook for 3-4 minutes.  Turn and cook skin side down, until salmon is opaque throughout, about another 5 minutes.  You can gently remove skin by using a spatula if you prefer.Serve immediately with sides of choice.","Need a <b>gluten free, dairy free, fodmap friendly, and whole 30 main course</b>? Caribbean Citrus Spiced Wild Salmon could be an awesome recipe to try. One serving contains <b>181 calories</b>, <b>23g of protein</b>, and <b>8g of fat</b>. For <b>$3.2 per serving</b>, this recipe <b>covers 20%</b> of your daily requirements of vitamins and minerals. 343 people have tried and liked this recipe. If you have ground cloves, ground allspice, ground cinnamon, and a few other ingredients on hand, you can make it. To use up the orange zest you could follow this main course with the <a href=""https://spoonacular.com/recipes/orange-infused-dark-chocolate-ice-cream-with-toasted-walnuts-539769"">Orange-Infused Dark Chocolate Ice Cream with Toasted Walnuts</a> as a dessert. This recipe is typical of Central American cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/citrus-poached-wild-salmon-with-cucumber-yogurt-sauce-4639"">Citrus Poached Wild Salmon With Cucumber-yogurt Sauce</a>, <a href=""https://spoonacular.com/recipes/indian-spiced-broiled-salmon-with-citrus-tart-cherry-chutney-512480"">Indian-Spiced Broiled Salmon with Citrus Tart Cherry Chutney</a>, and <a href=""https://spoonacular.com/recipes/caribbean-spiced-tuna-89586"">Caribbean Spiced Tuna</a> for similar recipes.","To Make Caribbean Citrus Spice, combine; 3 tablespoons minced fresh thyme leaves; 1 ½ tablespoons ground allspice; 1 teaspoon ground cinnamon; ¼ teaspoon ground cloves; ¼ teaspoon ground nutmeg; 1 tablespoon orange zest; 4 - Wild Salmon (4-6 ounces each); 1 ½ teaspoons sweet paprika",184,8g,6g,23g
549979,Caribbean Jerk Salmon Tostadas with Grilled Pineapple Peach Coconut Salsa,https://spoonacular.com/recipeImages/549979-312x231.jpg,caribbean,18,40,http://www.halfbakedharvest.com/caribbean-jerk-salmon-tostadas-with-grilled-pineapple-peach-coconut-salsa/,432.53,65.0,14767,False,False,True,False,4,"InstructionsHeat a skillet over medium heat. Add olive oil about 1/4 teaspoon at a time, add one tortilla and cook for about 30-60 seconds per side, until just golden and bubbly. Remove and let drain on a paper towel. Set aside until ready to use.Preheat the grill to medium high heat.In a glass measuring cup or bowl combine the ketchup, soy sauce, orange juice, molasses, curry powder, cayenne pepper, ginger, garlic and olive oil. Whisk to combine.Add the salmon to a medium size bowl or gallon size ziplock bag and rub with about 1/4 cup of the sauce. Reserve the remaining sauce for later.When the grill is hot, add the salmon, flesh side down (this is also when I grilled the pineapple for the salsa). Grill about 3-4 minutes and then flip, baste with a little of the jerk sauce and grill about another two to three minutes. Remove the salmon from the grill, allow to cool a few minutes and then remove the skin from the salmon and cut into four equal pieces.While the salmon cools make the salsa. Grill or broil the pineapple until charred (again, I did this while grilling the salmon). Allow to cool and chop into chunks. In a medium size bowl toss the grilled pineapple, chopped peach, tomatoes, jalapeo, toasted coconut, cilantro, lime juice and salt. Toss well and taste. Add more salt if needed.Toss the coconut rice with the black beans.Preheat the broiler to high.Divide the rice among the 4 tostadas and top with equal amounts of cheddar cheese. Place under the broiler for 30 seconds or until the cheese is melted, watch closely. Remove from the oven and top each tostada with a piece of salmon and then top with the pineapple peach salsa. Serve.","The recipe Caribbean Jerk Salmon Tostadas with Grilled Pineapple Peach Coconut Salsa could satisfy your Central American craving in around <b>40 minutes</b>. This hor d'oeuvre has <b>705 calories</b>, <b>36g of protein</b>, and <b>25g of fat</b> per serving. This recipe serves 4 and costs $4.33 per serving. Many people made this recipe, and 14766 would say it hit the spot. It will be a hit at your <b>The Fourth Of July</b> event. It is a good option if you're following a <b>gluten free and pescatarian</b> diet. A mixture of ketchup, garlic, chili powder, and a handful of other ingredients are all it takes to make this recipe so scrumptious. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/caribbean-jerk-salmon-bowl-with-mango-salsa-601378"">Caribbean Jerk Salmon Bowl with Mango Salsa</a>, <a href=""https://spoonacular.com/recipes/caribbean-jerk-salmon-with-curried-pineapple-and-goat-cheese-salad-+-fruit-salad-604477"">Caribbean Jerk Salmon with Curried Pineapple and Goat Cheese Salad + Fruit Salad</a>, and <a href=""https://spoonacular.com/recipes/jamaican-jerk-salmon-and-mango-pineapple-salsa-150817"">Jamaican Jerk Salmon and Mango Pineapple Salsa</a> for similar recipes.","1/4 teaspoon cayenne; 1/2 teaspoon chili powder; 1/4 teaspoon cinnamon; 3 tablespoons toasted coconut; 1/2 cup cooked black beans, rinsed and drained if canned; 4 (small) corn tortillas; 3 teaspoon curry powder; 1/4 cup fresh cilantro, chopped; 1 teaspoon fresh ginger; 1 clove garlic, minced or grated; 1/2 cup grape tomatoes, quartered; 1 jalapeno, seeds removed and chopped; 1 lime, juiced; 1/4 cup ketchup; 1 tablespoon molasses; 1 tablespoon olive oil; 2 tablespoons olive oil; 1 tablespoon fresh orange juice; 1 peach, chopped; 1/2 pineapple, sliced into sticks and grilled; 1 cup [coconut rice |; 1 pound salmon; salt and pepper, to taste; 1/2 cup cheddar cheese, shredded; 1/4 cup soy sauce (use reduced sodium for less salt)",705,25g,85g,36g
510495,Sunday Slow Cooker: Ropa Vieja,https://spoonacular.com/recipeImages/510495-312x231.jpg,caribbean,11,45,http://www.slenderkitchen.com/sunday-slow-cooker-ropa-vieja/,725.85,79.0,1743,False,False,True,True,2,Spray your crockpot with cooking spray or use a crockpot liner.Add everything to the crockpot and stir together.Cook on low for around 6 hours. Cooking times may vary slightly depending on your crockpot.,"The recipe Sunday Slow Cooker: Ropa Vieja could satisfy your Central American craving in about <b>45 minutes</b>. For <b>$7.26 per serving</b>, this recipe <b>covers 43%</b> of your daily requirements of vitamins and minerals. One serving contains <b>568 calories</b>, <b>77g of protein</b>, and <b>20g of fat</b>. Plenty of people really liked this main course. 1743 people were impressed by this recipe. Head to the store and pick up bell pepper, tomato paste, onion, and a few other things to make it today. To use up the cumin you could follow this main course with the <a href=""https://spoonacular.com/recipes/moroccan-chocolate-mousse-752536"">Moroccan Chocolate Mousse</a> as a dessert. It is a good option if you're following a <b>caveman, gluten free, dairy free, and primal</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/slow-cooker-ropa-vieja-406381"">Slow-Cooker Ropa Vieja</a>, <a href=""https://spoonacular.com/recipes/slow-cooker-ropa-vieja-707108"">Slow Cooker Ropa Vieja</a>, and <a href=""https://spoonacular.com/recipes/slow-cooker-ropa-vieja-795070"">Slow Cooker Ropa Vieja</a> for similar recipes.","1 bay leaves; 3/4 cup beef or chicken broth; 3/4 tsp. cumin; 1.5 lbs. flank steak, trimmed of fat; 3-4 garlic cloves, minced; 1 green pepper; Optional: 3 tbsp. sliced green olives or 1 tbsp. capers; 1 onion, sliced thinly; 3/4 tsp. oregano; 1/3 tsp. salt; 3 tbsp. tomato paste; 1 yellow pepper",568,20g,19g,77g
601378,Caribbean Jerk Salmon Bowl with Mango Salsa,https://spoonacular.com/recipeImages/601378-312x231.jpg,caribbean,11,20,http://pinchofyum.com/caribbean-jerk-salmon-bowl-with-mango-salsa,398.78,71.0,509,False,False,True,True,4,"Stir the spices together. Rub over salmon filets (on the meat and also the skin if you want). Sprinkle with sea salt.Heat the oil in a skillet over medium high heat. Add salmon, starting skin side down, and cook for 3-5 minutes. Add more oil as necessary to prevent from sticking. Flip the salmon and cook another 3-5 minutes on the meat side. The salmon will start to get a brown crust on the outside from the spices.When salmon is mostly cooked, pull off the skin, leaving just the pieces of meat in the skillet. Break up into smallish pieces and leave on heat until completely cooked through (not translucent). Once the pieces are cooked, remove from heat - salmon dries out quickly if you overcook it.Combine mangoes, red onion, cilantro, lime juice, and avocado in a small bowl and stir until combined. Season with sea salt.Stir together rice and beans and season with several pinches of salt, adding a tablespoon water if necessary.Divide between bowls, layering the rice and beans, salmon, and salsa into each bowl.","Caribbean Jerk Salmon Bowl with Mango Salsa might be just the main course you are searching for. One serving contains <b>492 calories</b>, <b>32g of protein</b>, and <b>17g of fat</b>. This recipe serves 4 and costs $3.99 per serving. 508 people were impressed by this recipe. Head to the store and pick up oil, onion, salmon filet, and a few other things to make it today. To use up the lime juice you could follow this main course with the <a href=""https://spoonacular.com/recipes/lime-angel-food-cake-with-lime-glaze-and-pistachios-185602"">Lime Angel Food Cake with Lime Glaze and Pistachios</a> as a dessert. It is a good option if you're following a <b>gluten free, dairy free, and pescatarian</b> diet. From preparation to the plate, this recipe takes about <b>20 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/jerk-chicken-with-caribbean-rice-mango-salsa-890573"">Jerk Chicken with Caribbean Rice & Mango Salsa</a>, <a href=""https://spoonacular.com/recipes/caribbean-jerk-salmon-tostadas-with-grilled-pineapple-peach-coconut-salsa-549979"">Caribbean Jerk Salmon Tostadas with Grilled Pineapple Peach Coconut Salsa</a>, and <a href=""https://spoonacular.com/recipes/jamaican-jerk-salmon-and-mango-pineapple-salsa-150817"">Jamaican Jerk Salmon and Mango Pineapple Salsa</a> for similar recipes.","½ teaspoon allspice; 1 avocado (optional); 1 12 ounce can black beans, rinsed and drained; ¼ teaspoon cayenne pepper; ½ teaspoon chili powder; ¼ teaspoon cinnamon; 2 cups cooked white rice; 1½ teaspoon cumin; ½ teaspoon curry; 1 bunch fresh cilantro, chopped; 1 tablespoon lime juice; 2 mangoes, peeled and diced; 1 teaspoon oil; ½ large red onion, diced; 1 lb. wild caught salmon filet with skin (in one or several pieces); pinch of sea salt",492,17g,56g,32g
630796,Chicken Ropa Vieja Skinnytaste,https://spoonacular.com/recipeImages/630796-312x231.jpg,caribbean,6,30,http://www.skinnytaste.com/2010/01/chicken-ropa-vieja.html,375.25,50.0,4899,False,False,True,True,6,,"You can never have too many main course recipes, so give Chicken Ropa Vieja Skinnytaste a try. This recipe makes 6 servings with <b>435 calories</b>, <b>69g of protein</b>, and <b>11g of fat</b> each. For <b>$3.47 per serving</b>, this recipe <b>covers 34%</b> of your daily requirements of vitamins and minerals. A mixture of bell pepper, pepper, garlic, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. This recipe is typical of Central American cuisine. 4899 people have tried and liked this recipe. It is a good option if you're following a <b>caveman, gluten free, dairy free, and primal</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 97%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/slow-cooker-chicken-ropa-vieja-668542"">Slow Cooker Chicken Ropa Vieja</a>, <a href=""https://spoonacular.com/recipes/ropa-vieja-338913"">Ropa Vieja</a>, and <a href=""https://spoonacular.com/recipes/ropa-vieja-279156"">Ropa Vieja</a> for similar recipes.","2 bay leaves; black pepper to taste; 1 carrot, peeled and chopped; 1 tsp cumin; 1/4 cup dry white wine (or chicken broth); 2 cloves garlic; 2 cloves garlic, peeled; 1/4 tsp garlic powder; 1 small green bell pepper, seeded and thinly sliced; 1/2 tsp kosher salt, plus more to taste; kosher salt; 1 tbsp olive oil; 1 small onion, quartered; 1 small onion, sliced long; 1 small red bell pepper, seeded and thinly sliced; 3 (22.5 oz) skinless boneless chicken breasts; 1 tomato, quartered; 1/2 cup tomato sauce",449,11g,12g,70g
210404,Jerk chicken burger,https://spoonacular.com/recipeImages/210404-312x231.jpg,caribbean,9,20,https://www.bbcgoodfood.com/recipes/jerk-chicken-burger,396.19,60.0,323,False,False,False,True,2,"Put the chicken breasts in between pieces of cling film and bash with a rolling pin to flatten. Mix together the thyme, oil, jerk seasoning and half the lime juice in a bowl. Add the chicken and leave to marinate for 5 mins.
Heat a griddle pan until hot and cook the chicken for 4-5 mins each side or until cooked through. Remove from the heat. Meanwhile, toast the cut sides of the buns for 1-2 mins.
Put the chicken on the buns and top with the mango, tomato and a handful of lettuce. Squeeze over the rest of the lime and top with mayo and ketchup, if you like.","If you have about <b>20 minutes</b> to spend in the kitchen, Jerk chicken burger might be an awesome <b>dairy free</b> recipe to try. This recipe makes 2 servings with <b>499 calories</b>, <b>55g of protein</b>, and <b>15g of fat</b> each. For <b>$3.96 per serving</b>, this recipe <b>covers 41%</b> of your daily requirements of vitamins and minerals. A mixture of little gem lettuce heart, jerk seasoning, olive oil, and a handful of other ingredients are all it takes to make this recipe so tasty. 323 people found this recipe to be scrumptious and satisfying. It works well as a pretty expensive main course. Many people really liked this Central American dish. It is brought to you by BBC Good Food. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/caribbean-style-burger-with-jerk-ketchup-and-beer-battered-onions-736619"">Caribbean-Style Burger with Jerk Ketchup and Beer Battered Onions</a>, <a href=""https://spoonacular.com/recipes/broiled-jerk-salmon-with-homemade-jerk-seasoning-and-a-reflection-on-giving-494527"">Broiled Jerk Salmon with Homemade Jerk Seasoning and a Reflection on Giving</a>, and <a href=""https://spoonacular.com/recipes/broiled-jerk-salmon-with-homemade-jamaican-jerk-seasoning-889886"">Broiled Jerk Salmon with Homemade Jamaican Jerk Seasoning</a> for similar recipes.","2 skinless chicken breasts; few thyme sprigs, leaves picked; 1 tbsp olive oil; 2 tsp jerk seasoning; juice 1 lime; 2 large bread rolls; ½ small mango, stoned, peeled and sliced; 1 tomato, sliced; 1 Little Gem lettuce heart, shredded; 2 tbsp mayonnaise and ketchup, to serve (optional)",499,15g,38g,55g
287133,Slow-Cooker Caribbean Beef Stew,https://spoonacular.com/recipeImages/287133-312x231.jpeg,caribbean,8,435,http://www.foodnetwork.com/recipes/food-network-kitchens/slow-cooker-caribbean-beef-stew-recipe.html,238.36,100.0,31,False,False,False,True,4,"Strip the leaves from 1 sprig thyme and chop; combine with the flour, allspice, 1/2 teaspoon salt and 1/4 teaspoon white pepper in a large bowl. Add the beef and toss to coat. Put the potatoes, carrots, the remaining 2 thyme sprigs, the ginger and garlic in a 5-to-6-quart slow cooker. Add the beef, reserving any excess seasoned flour in the bowl. Whisk 1/2 cup water and the Worcestershire sauce into the reserved seasoned flour, then add to the slow cooker. Pour the tomatoes on top. Cover and cook on low 7 hours or on high 4 hours. Add the scallions to the stew and season with salt. Divide among bowls and serve with hot sauce.                          Photograph by Christopher Testani","Slow-Cooker Caribbean Beef Stew might be just the <b>Central American</b> recipe you are searching for. This recipe serves 4. This main course has <b>574 calories</b>, <b>68g of protein</b>, and <b>18g of fat</b> per serving. For <b>$2.38 per serving</b>, this recipe <b>covers 42%</b> of your daily requirements of vitamins and minerals. It is perfect for <b>Autumn</b>. A couple people made this recipe, and 30 would say it hit the spot. If you have ginger, flour, carrots, and a few other ingredients on hand, you can make it. To use up the kosher salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/low-fat-crumbs-cake-kosher-dairy-130933"">Low Fat Crumbs Cake (Kosher-Dairy)</a> as a dessert. It is a good option if you're following a <b>dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is tremendous. Similar recipes include <a href=""https://spoonacular.com/recipes/slow-cooker-caribbean-beef-stew-770900"">Slow-Cooker Caribbean Beef Stew</a>, <a href=""https://spoonacular.com/recipes/butternut-squash-beef-stew-instant-pot-pressure-cooker-or-slow-cooker-840470"">Butternut Squash Beef Stew (Instant Pot, Pressure Cooker or Slow Cooker)</a>, and <a href=""https://spoonacular.com/recipes/slow-cooker-beef-stew-770894"">Slow-Cooker Beef Stew</a>.","2 pounds beef stew meat, cut into 1 1/2-inch cubes; 1 10-ounce can Mexican-style diced tomatoes with green chiles; 3 medium carrots, cut crosswise into thirds; 1/3 cup all-purpose flour; 1 clove garlic, finely chopped; 1 1-inch piece ginger, peeled and finely chopped; 1/4 teaspoon ground allspice; Kosher salt and freshly ground white pepper; 4 scallions, sliced (optional); 3 sprigs thyme; 2 teaspoons Worcestershire sauce; 1 pound Yukon gold potatoes, peeled and quartered",472,12g,34g,56g
406381,Slow-Cooker Ropa Vieja,https://spoonacular.com/recipeImages/406381-312x231.jpeg,caribbean,8,495,http://www.foodnetwork.com/recipes/food-network-kitchens/slow-cooker-ropa-vieja-recipe.html,393.01,83.0,75,False,False,True,True,4,"Combine the tomatoes, ketchup, vinegar, garlic, cumin, jalapeno and 3/4 teaspoon salt in a 5-to-6-quart slow cooker. Add the steak, bell peppers and onion and toss to coat. Cover and cook on low, undisturbed, 8 hours.                          Uncover and skim off any excess fat. Coarsely shred the meat with 2 forks, then stir in the olives and olive brine. Serve over rice.                          Photograph by Antonis Achilleos","You can never have too many main course recipes, so give Slow-Cooker Ropa Viejan a try. This recipe serves 4 and costs $3.95 per serving. Watching your figure? This gluten free and dairy free recipe has <b>427 calories</b>, <b>42g of protein</b>, and <b>10g of fat</b> per serving. Head to the store and pick up apple cider vinegar, garlic, kosher salt, and a few other things to make it today. This recipe is liked by 75 foodies and cooks. This recipe is typical of Central American cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/slow-cooker-ropa-vieja-707108"">Slow Cooker Ropa Vieja</a>, <a href=""https://spoonacular.com/recipes/slow-cooker-ropa-vieja-795070"">Slow Cooker Ropa Vieja</a>, and <a href=""https://spoonacular.com/recipes/slow-cooker-ropa-vieja-575725"">Slow cooker ropa vieja</a> for similar recipes.","1 tablespoon apple cider vinegar; 1 15-ounce can crushed tomatoes; Cooked white rice, for serving; 1 1/2 pounds skirt steak or flank steak; 2 cloves garlic, minced; 1 1/2 teaspoons ground cumin; 1 jalapeno pepper, thinly sliced (with seeds); 3 tablespoons ketchup; Kosher salt; 1 small onion, thinly sliced; 3 tablespoons chopped pimiento-stuffed green olives, plus 1 tablespoon brine from the jar; 2 bell peppers (1 red, 1 green), sliced 1/2 inch thick",423,10g,39g,42g
560619,Grilled Chicken Caribbean Pita Pockets,https://spoonacular.com/recipeImages/560619-312x231.jpg,caribbean,12,50,http://littleleopardbook.com/2013/05/07/chicken-caribbean-pita-pockets/,512.15,32.0,843,False,False,False,True,4,"Place the first 5 ingredients for the tequila lime chicken in a small mixing bowl and whisk well.Add the chicken to the marinade.Marinate for 30 minutes in the refrigerator then grill over medium-high heat for 20 minutes, flipping half way through grilling.Slice the chicken, then begin to put the pita sandwiches together.Slice each pita bread in half, then place a leaf of butter lettuce in each half of pita bread, followed by the chicken, then top with the mandarin oranges, pineapple, bell pepper and tomatoes.Drizzle with the Honey Lime Dressing.","The recipe Grilled Chicken Caribbean Pita Pockets could satisfy your Central American craving in roughly <b>50 minutes</b>. This recipe makes 4 servings with <b>563 calories</b>, <b>43g of protein</b>, and <b>6g of fat</b> each. For <b>$6.0 per serving</b>, this recipe <b>covers 41%</b> of your daily requirements of vitamins and minerals. Many people made this recipe, and 843 would say it hit the spot. It can be enjoyed any time, but it is especially good for <b>The Fourth Of July</b>. A mixture of honey lime dressing, tequila, pineapple chunks, and a handful of other ingredients are all it takes to make this recipe so tasty. It is a good option if you're following a <b>dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is super. Similar recipes include <a href=""https://spoonacular.com/recipes/chicken-pita-pockets-493865"">Chicken Pita Pockets</a>, <a href=""https://spoonacular.com/recipes/chicken-veggie-pita-pockets-618704"">Chicken Veggie Pita Pockets</a>, and <a href=""https://spoonacular.com/recipes/chicken-and-arugula-pita-pockets-359559"">Chicken and Arugula Pita Pockets</a>.",4 large leafs of butter lettuce; 1 lb chicken breasts; 2 tequila lime chicken breasts (recipe below); 1 tbsp chili powder; 1 tbsp fresh cilantro (chopped); ¼ cup honey; 1/2 cup honey lime dressing; ½ cup lime juice; 1 cup mandarin oranges; 1 cup pineapple chunks; 2 pieces of pita bread; 1/2 red bell pepper (chopped); ½ cup tequila; 1 small tomato (chopped),607,7g,69g,53g
221049,Jerk chicken curry with beans,https://spoonacular.com/recipeImages/221049-312x231.jpg,caribbean,9,45,https://www.bbcgoodfood.com/recipes/9530/jerk-chicken-curry-with-beans,147.63,51.0,136,False,False,True,True,4,"Toss chicken in 1 tsp jerk seasoning and a little salt and pepper. Heat half the oil in a large frying pan, quickly brown the chicken, then remove. Tip in the remaining oil, onions and coriander stalks, then soften for 5 mins, stirring in the remaining jerk seasoning for the final min.
Return the drumsticks to the pan, pour over the tomatoes, then bring to a simmer. Cover, then cook for 20 mins. Remove the lid, stir in the beans, then cook for 10 mins more. Scatter with coriander and serve with rice.","If you want to add more <b>Central American</b> recipes to your recipe box, Jerk chicken curry with beans might be a recipe you should try. Watching your figure? This gluten free, dairy free, paleolithic, and primal recipe has <b>421 calories</b>, <b>46g of protein</b>, and <b>22g of fat</b> per serving. This recipe serves 4 and costs $1.48 per serving. 136 people found this recipe to be flavorful and satisfying. Head to the store and pick up kidney bean, jerk seasoning, coriander, and a few other things to make it today. It works well as a reasonably priced main course. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. It is brought to you by BBC Good Food. Overall, this recipe earns an <b>amazing spoonacular score of 83%</b>. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/slow-cooker-jerk-chicken-curry-1033914"">Slow Cooker Jerk Chicken Curry</a>, <a href=""https://spoonacular.com/recipes/jerk-chicken-with-rice-black-beans-and-pineapple-74115"">Jerk Chicken with Rice, Black Beans, and Pineapple</a>, and <a href=""https://spoonacular.com/recipes/soda-jerk-beans-156728"">""Soda Jerk"" Beans</a>.","8 chicken drumsticks; 4 tsp jerk seasoning (we used Schwartz); 4 tsp olive oil; 2 red onions, sliced; small bunch coriander, stalks finely chopped, leaves reserved; 2 x 400g cans chopped tomatoes; 410g can kidney bean, drained",421,22g,9g,46g
