id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
695418,Hungarian Beef Goulash,https://spoonacular.com/recipeImages/695418-312x231.jpg,eastern european,3,270,http://www.eatingwell.com/recipes/hungarian_beef_goulash.html,172.6,85.0,17253,False,False,True,True,8,"<ol><li><span class=""recipeDirectionsListItem"">Place beef in a 4-quart or larger slow cooker. Crush caraway seeds with the bottom of a saucepan. Transfer to a small bowl and stir in paprika, salt and pepper. Sprinkle the beef with the spice mixture and toss to coat well. Top with onion and bell pepper.</span></li><li><span class=""recipeDirectionsListItem"">Combine tomatoes, broth, Worcestershire sauce and garlic in a medium saucepan; bring to a simmer. Pour over the beef and vegetables. Place bay leaves on top. Cover and cook until</span></li><li><span class=""recipeDirectionsListItem"">the beef is very tender, 4 to 4½ hours on high or 7 to 7½ hours on low.</span></li><li><span class=""recipeDirectionsListItem"">Discard the bay leaves; skim or blot any visible fat from the surface of the stew. Add the cornstarch mixture to the stew and cook on high, stirring 2 or 3 times, until slightly thickened, 10 to 15 minutes. Serve sprinkled with parsley.</span></li></ol>","You can never have too many main course recipes, so give Hungarian Beef Goulash a try. Watching your figure? This gluten free and dairy free recipe has <b>253 calories</b>, <b>33g of protein</b>, and <b>9g of fat</b> per serving. This recipe serves 8 and costs $1.38 per serving. 17254 people found this recipe to be delicious and satisfying. This recipe from Eating Well requires bay leaves, beef stew meat, caraway seeds, and fresh parsley. This recipe is typical of Eastern European cuisine. From preparation to the plate, this recipe takes around <b>4 hours and 30 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 97%</b>. This score is super. Similar recipes are <a href=""https://spoonacular.com/recipes/hungarian-beef-goulash-202089"">Hungarian Beef Goulash</a>, <a href=""https://spoonacular.com/recipes/hungarian-beef-goulash-855599"">Hungarian Beef Goulash</a>, and <a href=""https://spoonacular.com/recipes/hungarian-beef-goulash-361829"">Hungarian Beef Goulash</a>.","2 bay leaves; 2 pounds beef stew meat, (such as chuck), trimmed and cubed; 1 14-ounce can reduced-sodium beef broth; 1 14-ounce can diced tomatoes; 2 teaspoons caraway seeds; 1 tablespoon cornstarch mixed with 2 tablespoons water; 2 tablespoons chopped fresh parsley; 3 cloves garlic, minced; 1 large or 2 medium onions, chopped; Freshly ground pepper, to taste; 1 small red bell pepper, chopped; 1/4 teaspoon salt; 1 teaspoon Worcestershire sauce",223,6g,13g,28g
551385,Skinny Beef Stroganoff On Zucchini Ribbons,https://spoonacular.com/recipeImages/551385-312x231.png,eastern european,7,45,http://thehealthyfoodie.com/skinny-beef-stroganoff-on-zucchini-ribbons/,440.9,100.0,468,False,False,True,False,4,"Preheat a large pan coated with olive over high heat and sear the pieces of beef to form a nice golden crust on all sides. Add onions, garlic, salt, pepper, lower heat to medium and continue cooking until the onions are softened. Add 2 cups of water, Dijon mustard and fresh rosemary and stir until the mustard is well incorporated. Cover loosely, lower heat and simmer until the liquid is almost completely evaporated then add another 2 cups of water and reapeat the process. At this point, you want to add your mushrooms, pearl onions and another 2 cups of water. Bring back to a simmer and continue cooking until you're left with a nice, thick sauce; Turn off the heat.In a mixing bowl, add yogurt, arrowroot and about a cup of your cooking liquid. Mix with a wisk until fully combined and add that to the pan. Add fresh parsley and stir delicately until all is well combined. Serve over zucchini ribbons","The recipe Skinny Beef Stroganoff On Zucchini Ribbons could satisfy your Eastern European craving in approximately <b>45 minutes</b>. One serving contains <b>519 calories</b>, <b>66g of protein</b>, and <b>17g of fat</b>. For <b>$4.4 per serving</b>, you get a main course that serves 4. Plenty of people made this recipe, and 468 would say it hit the spot. If you have garlic, beef from the inside round, greek yogurt, and a few other ingredients on hand, you can make it. To use up the onion you could follow this main course with the <a href=""https://spoonacular.com/recipes/candy-corn-cupcakes-63881"">Candy Corn Cupcakes</a> as a dessert. It is a good option if you're following a <b>gluten free and primal</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/skinny-beef-stroganoff-584992"">Skinny Beef Stroganoff</a>, <a href=""https://spoonacular.com/recipes/zucchini-ribbons-516548"">Zucchini Ribbons</a>, and <a href=""https://spoonacular.com/recipes/pickled-zucchini-ribbons-17585"">Pickled Zucchini Ribbons</a> for similar recipes.","2 tbsp arrowroot flour; 800g beef from the inside round, cut into small cubes or strips, whichever you prefer; 2 tbsp Dijon mustard; ½ cup fat free Greek yogurt; 1 tbsp fresh parsley, finely chopped; 1 tbsp fresh rosemary, finely chopped; 1 clove garlic, finely chopped; 450g mushrooms, quartered; 1 small onion, finely chopped; 100g frozen pearl onions; ½ tsp freshly cracked black pepper; ½ tsp Himalayan or fine sea salt; 6 cups water, divided; 8 yellow and green zucchinis in ribbons*",428,12g,25g,57g
855599,Hungarian Beef Goulash,https://spoonacular.com/recipeImages/855599-312x231.jpg,eastern european,3,270,http://www.eatingwell.com/recipe/251960/hungarian-beef-goulash/,176.45,92.0,491,False,False,True,True,8,"Place beef in a 4-quart or larger slow cooker. Crush caraway seeds with the bottom of a saucepan. Transfer to a small bowl and stir in paprika, salt and pepper. Sprinkle the beef with the spice mixture and toss to coat well. Top with onion and bell pepper.                        Combine tomatoes, broth, Worcestershire sauce and garlic in a medium saucepan; bring to a simmer. Pour over the beef and vegetables. Place bay leaves on top. Cover and cook until                        the beef is very tender, 4 to 4 hours on high or 7 to 7 hours on low.                        Discard the bay leaves; skim or blot any visible fat from the surface of the stew. Add the cornstarch mixture to the stew and cook on high, stirring 2 or 3 times, until slightly thickened, 10 to 15 minutes. Serve sprinkled with parsley.","You can never have too many main course recipes, so give Hungarian Beef Goulash a try. This recipe serves 8 and costs $1.42 per serving. One serving contains <b>257 calories</b>, <b>33g of protein</b>, and <b>9g of fat</b>. Several people made this recipe, and 491 would say it hit the spot. This recipe is typical of Eastern European cuisine. If you have caraway seeds, beef stew meat, bell pepper, and a few other ingredients on hand, you can make it. To use up the onions you could follow this main course with the <a href=""https://spoonacular.com/recipes/candy-corn-cupcakes-63881"">Candy Corn Cupcakes</a> as a dessert. From preparation to the plate, this recipe takes roughly <b>4 hours and 30 minutes</b>. It is a good option if you're following a <b>gluten free and dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 96%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/hungarian-beef-goulash-361829"">Hungarian Beef Goulash</a>, <a href=""https://spoonacular.com/recipes/hungarian-beef-goulash-647645"">Hungarian Beef Goulash</a>, and <a href=""https://spoonacular.com/recipes/hungarian-beef-goulash-695418"">Hungarian Beef Goulash</a> for similar recipes.","2 bay leaves; 2 pounds beef stew meat, (such as chuck), trimmed and cubed; 1 14-ounce can reduced-sodium beef broth; 1 14-ounce can diced tomatoes; 2 teaspoons caraway seeds; 1 tablespoon cornstarch mixed with 2 tablespoons water; 2 tablespoons chopped fresh parsley; 3 cloves garlic, minced; 1 large or 2 medium onions, chopped; Freshly ground pepper, to taste; 1 small red bell pepper, chopped; ¼ teaspoon salt; 1½-2 tablespoons sweet or hot paprika, (or a mixture of the two), preferably Hungarian (see Ingredient Note); 1 teaspoon Worcestershire sauce",227,6g,14g,28g
697538,Vegetarian Reubens with Russian Dressing,https://spoonacular.com/recipeImages/697538-312x231.jpg,eastern european,13,25,http://www.eatingwell.com/recipes/vegetarian_reubens_with_russian_dressing.html,291.62,58.0,3736,False,False,False,False,2,,"The recipe Vegetarian Reubens with Russian Dressing could satisfy your Eastern European craving in approximately <b>25 minutes</b>. This main course has <b>418 calories</b>, <b>17g of protein</b>, and <b>19g of fat</b> per serving. For <b>$2.55 per serving</b>, this recipe <b>covers 33%</b> of your daily requirements of vitamins and minerals. 3736 people have tried and liked this recipe. A mixture of onion, swiss cheese, sauerkraut, and a handful of other ingredients are all it takes to make this recipe so scrumptious. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/russian-tea-room-russian-dressing-this-is-a-salad-dressing-from-a-place-with-a-rich-history-601191"">Russian Tea Room Russian Dressing – this is a salad dressing from a place with a rich history</a>, <a href=""https://spoonacular.com/recipes/vegetarian-reubens-371078"">Vegetarian Reubens</a>, and <a href=""https://spoonacular.com/recipes/the-russian-tea-room-russian-dressing-107393"">The Russian Tea Room Russian Dressing</a> for similar recipes.","5 cups baby spinach; 2 teaspoons chopped capers; 2 teaspoons ketchup; 2 tablespoons reduced-fat mayonnaise; 1 cup sliced mushrooms; 3 teaspoons extra-virgin olive oil, divided; Freshly ground pepper, to taste; 1 teaspoon chopped pickle, or relish; 1 small red onion, thinly sliced; 4 slices rye bread; 1/2 cup sauerkraut; 1/2 cup shredded reduced-fat Swiss cheese, such as Jarlsberg Lite or Alpine Lace (2 ounces)",441,20g,51g,18g
743477,Beef Stroganoff,https://spoonacular.com/recipeImages/743477-312x231.jpeg,eastern european,17,60,http://www.foodnetwork.com/recipes/beef-stroganoff.html,280.26,100.0,111,False,False,False,False,4,"Heat a large skillet over medium heat for 3 to 4 minutes. Raise the heat to high and heat 1 tablespoon oil. Season the beef with salt and pepper. Add the beef to the skillet, arranging it in a single layer, and saute, without stirring, until well browned and still pinkish inside, 1 to 2 minutes. (It is key to only partially cook the meat at this stage, since it will finish cooking later in the sauce.) Transfer to a large plate and set aside. Discard any excess oil.                          Return the skillet to medium-high heat. Add 1 tablespoon of the oil and heat. Add the mushrooms and cook, stirring occasionally, until well browned, about 7 minutes. Season with salt and pepper. Using a slotted spoon, transfer to the plate with the beef.                          Heat another tablespoon of oil. Add the onions, carrots and parsnips and cook, stirring, until lightly caramelized, about 5 minutes. Add the tomato paste and cook, stirring, until lightly browned, about 1 minute more. Whisk in the flour and cook, stirring, for 1 minute. Pour in the beef broth and, whisking constantly, bring to a full boil. Reduce the heat, add the greens and simmer until the greens and veggies are crisp-tender, 5 to 10 minutes. Remove from the heat.                          Whisk in the sour cream, mustard and lemon juice and season with pepper to taste. Add the beef and any juices, mushrooms and parsley to the sauce and reheat over medium heat just until hot. (Do not boil.)                          Toss the barley with the remaining 1 tablespoon olive oil and lots of freshly ground black pepper. Divide the cooked barley among 4 plates and top with the stroganoff. Serve immediately.","Beef Stroganoff might be just the <b>Eastern European</b> recipe you are searching for. For <b>$2.8 per serving</b>, this recipe <b>covers 40%</b> of your daily requirements of vitamins and minerals. This main course has <b>645 calories</b>, <b>30g of protein</b>, and <b>22g of fat</b> per serving. Plenty of people made this recipe, and 111 would say it hit the spot. Head to the store and pick up barley, lemon juice, beef broth, and a few other things to make it today. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. From preparation to the plate, this recipe takes around <b>1 hour</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/beef-stroganoff-originally-created-for-the-russian-stroganoff-family-by-a-french-chef-this-family-favorite-around-my-house-599457"">Beef Stroganoff – Originally created for the Russian Stroganoff family by a french chef, this family favorite around my house</a>, <a href=""https://spoonacular.com/recipes/easy-beef-stroganoff-ground-beef-version-146010"">Easy Beef Stroganoff - Ground Beef Version</a>, and <a href=""https://spoonacular.com/recipes/beef-stroganoff-40109"">Beef Stroganoff</a> for similar recipes.","2 cups cooked barley, for serving; 8 ounces beef sirloin, cut into 2-by-1-by-1/8-inch strips; 12 ounces button mushrooms, quartered; 2 cups beef broth, homemade or low-sodium canned; 1 large carrot, peeled and sliced into 1/4-inch-thick coins; 2 teaspoons Dijon mustard; 2 tablespoons all-purpose flour; 1 tablespoon chopped fresh flat-leaf parsley; 2 cups sliced hearty greens (like kale or mustard greens); Kosher salt and freshly ground black pepper; 2 teaspoons freshly squeezed lemon juice; 4 tablespoons olive oil; 1 medium parsnip, peeled and cut into 1/2-inch chunks; 1/4 cup sour cream; 1 tablespoon tomato paste; 1 medium yellow onion, thinly sliced",646,22g,87g,30g
710693,Hungarian Goulash #SundaySupper,https://spoonacular.com/recipeImages/710693-312x231.jpg,eastern european,7,450,http://www.curiouscuisiniere.com/slow-cooker-hungarian-goulash/,240.5,80.0,84,False,False,True,False,5,"Heat a large saute pan over medium high heat. Sprinkle salt and pepper over the beef cubes and place them in the hot pan. (Do this in batches if necessary so the cubes are not crowded.) Sear the beef cubes on all sides, 1-2 minutes per side. Remove the meat from the pan and place it in a large, 3-4 quart slow cooker.Melt  tsp of butter in the, now empty, pan. Add onions and garlic. Saut over medium heat until golden, 7-10 minutes. Transfer the onion mixture to the slow cooker.Melt the remaining  tsp butter in the pan. Add the carrots, bell peppers, and potato. Saut over medium heat, 7-10 min. Add the Hungarian paprika and caraway seeds. Mix well. Transfer the mixture to the slow cooker.Put 1 c of water into the hot pan to deglaze the pan. Scrape up any stuck bits and seasonings from the pan, and then pour the liquid into the slow cooker.Add the bay leaf to the slow cooker along with enough water to just barely cover the meat. Cover and cook on low for 6-8 hours (or high for 4 hours).-30 minutes before serving the soup, add the diced tomatoes. Mix the soup well. Taste it and add salt as desired, to taste. If the soup is too brothy for your liking, continue to cook with the lid off until the desired thickness has been reached.Serve the soup with crusty, whole grain bread.","The recipe Hungarian Goulash #SundaySupper is ready <b>in approximately 7 hours and 30 minutes</b> and is definitely a spectacular <b>gluten free</b> option for lovers of Eastern European food. One serving contains <b>353 calories</b>, <b>44g of protein</b>, and <b>8g of fat</b>. For <b>$2.25 per serving</b>, you get a main course that serves 5. 84 people have made this recipe and would make it again. If you have bell pepper, sirloin tip beef roast, butter, and a few other ingredients on hand, you can make it. To use up the pepper you could follow this main course with the <a href=""https://spoonacular.com/recipes/dr-pepper-cake-with-flour-cooked-frosting-539165"">Dr. Pepper Cake with Flour Cooked Frosting</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 96%</b>. This score is outstanding. Try <a href=""https://spoonacular.com/recipes/hungarian-goulash-146799"">Hungarian Goulash</a>, <a href=""https://spoonacular.com/recipes/hungarian-goulash-472680"">Hungarian Goulash</a>, and <a href=""https://spoonacular.com/recipes/hungarian-goulash-i-454246"">Hungarian Goulash I</a> for similar recipes.","1 bay leaf; 2 lbs sirloin tip beef roast, cut into 1 inch chunks; 1 tsp butter; 1 tsp caraway seeds, whole; 4 large carrots, sliced; 2 garlic cloves, minced; 2 large green pepper, chopped; ¼ c Hungarian sweet paprika; 2 onions, diced; ½ tsp pepper; 2 large potatoes, diced ½ inch; 1 tsp salt; 2 tomatoes, diced; 4-5 c water",396,8g,37g,46g
749663,Hungarian Pork and Potatoes,https://spoonacular.com/recipeImages/749663-312x231.jpeg,eastern european,9,35,http://www.foodnetwork.com/recipes/food-network-kitchens/hungarian-pork-and-potatoes.html,214.72,54.0,251,False,False,True,False,4,"Preheat the oven to 425 degrees F. Rub the pork all over with 2 teaspoons paprika and 1/2 teaspoon salt. Heat 1 tablespoon olive oil in a large Dutch oven or pot over medium-high heat. Add the pork and cook, turning until browned, 3 minutes. Remove to a rimmed baking sheet. Roast until a thermometer inserted into the center reaches 145 degrees F, about 18 minutes. Let rest 5 minutes.                          Meanwhile, wipe the pot clean and heat the remaining 1 tablespoon olive oil over medium-high heat. Add the potatoes and cook, stirring occasionally, until lightly browned, 4 minutes. Stir in the cabbage, onion, the remaining 1 teaspoon paprika and 1/2 teaspoon salt. Cover and cook, stirring occasionally, until the cabbage wilts slightly, about 4 minutes.                          Add the broth and brown sugar. Bring to a boil, then reduce the heat to medium low; cover and cook until the vegetables are tender, 8 to 10 minutes. Stir in the vinegar. Increase the heat to medium high; cook until the sauce is reduced, 4 minutes. Add the herbs. Slice the pork; serve with the vegetables. Top with the sour cream and more paprika.","The recipe Hungarian Pork and Potatoes is ready <b>in roughly 35 minutes</b> and is definitely an amazing <b>gluten free</b> option for lovers of Eastern European food. This recipe serves 4 and costs $2.49 per serving. One serving contains <b>461 calories</b>, <b>38g of protein</b>, and <b>19g of fat</b>. 251 person have made this recipe and would make it again. Head to the store and pick up kosher salt, red-skinned potatoes, brown sugar, and a few other things to make it today. To use up the kosher salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/low-fat-crumbs-cake-kosher-dairy-130933"">Low Fat Crumbs Cake (Kosher-Dairy)</a> as a dessert. It works well as a main course. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/hungarian-paprika-potatoes-118791"">Hungarian Paprika Potatoes</a>, <a href=""https://spoonacular.com/recipes/hungarian-pork-stew-602257"">Hungarian Pork Stew</a>, and <a href=""https://spoonacular.com/recipes/hungarian-pork-goulash-401724"">Hungarian Pork Goulash</a> for similar recipes.","2 tablespoons apple cider vinegar; 3 tablespoons chopped fresh herbs (such as dill and/or parsley); 1/2 head green cabbage, shredded; Kosher salt; 1 tablespoon packed light brown sugar; 1/3 cup low-fat sour cream; 1 cup low-sodium chicken broth; 2 tablespoons extra-virgin olive oil; 1 onion, sliced; 1 large pork tenderloin (about 1 1/4 pounds); 1 pound small red-skinned potatoes, chopped; 1 tablespoon sweet paprika, plus more for topping",406,15g,33g,35g
484111,Slow Cooker Hungarian Goulash,https://spoonacular.com/recipeImages/484111-312x231.jpg,eastern european,7,530,http://healthyrecipesblogs.com/2014/01/27/hungarian-goulash-recipe/,186.43,54.0,433,False,False,False,True,8,"Season the beef with a teaspoon of kosher salt and ¼ teaspoon black pepper.In a large, 12-inch skillet, heat 1 tablespoon olive oil over medium-high heat, about 3 minutes. Add half the beef in a single layer and brown on all sides, about 5 minutes total. Remove to a platter with a slotted spoon, add the remaining olive oil, and brown the remaining beef. Remove to a platter.Lower heat to medium. Add the onions and cook, stirring, just until tender but not browned, about 5 minutes. Add the garlic, the paprika and the cayenne and cook, stirring, 30 seconds. Remove from heat.Place the browned beef and the onion mixture in the slow cooker, using a spatula to scrape everything off the skillet and mixing it all together in the slow cooker.In a medium bowl, whisk together the beef broth, tomato paste, and the remaining salt and pepper. Pour over the beef and onions and stir to combine. Cover, and cook on low for 8 hours.When done, whisk the flour with the water until smooth. Stir into the beef mixture. Set to high, cover, and cook 30 more minutes, until the sauce thickens. Excellent over mashed cauliflower.","Slow Cooker Hungarian Goulash might be just the <b>Eastern European</b> recipe you are searching for. Watching your figure? This dairy free recipe has <b>414 calories</b>, <b>49g of protein</b>, and <b>17g of fat</b> per serving. This recipe serves 8. For <b>$1.86 per serving</b>, this recipe <b>covers 27%</b> of your daily requirements of vitamins and minerals. This recipe is liked by 433 foodies and cooks. It works well as a rather inexpensive main course. A mixture of tomato paste, beef stew meat, pepper, and a handful of other ingredients are all it takes to make this recipe so delicious. To use up the onions you could follow this main course with the <a href=""https://spoonacular.com/recipes/candy-corn-cupcakes-63881"">Candy Corn Cupcakes</a> as a dessert. From preparation to the plate, this recipe takes about <b>8 hours and 50 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 95%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/slow-cooker-hungarian-goulash-497805"">Slow Cooker Hungarian Goulash</a>, <a href=""https://spoonacular.com/recipes/slow-cooker-hungarian-goulash-noodles-527308"">Slow Cooker Hungarian Goulash & Noodles</a>, and <a href=""https://spoonacular.com/recipes/slow-cooker-hungarian-goulash-meatballs-612089"">Slow Cooker Hungarian Goulash Meatballs</a> for similar recipes.","2 cups beef broth; 3 lbs lean beef stew meat (boneless chuck roast), cut into 1-inch pieces; ½ teaspoon black pepper, divided; 3 tablespoons all-purpose flour (25 grams); 2 tablespoons minced garlic; 2 teaspoons kosher salt, divided; 2 tablespoons olive oil, divided; 2 large onions, sliced and separated into rings (16oz); ¼ cup fresh, high-quality sweet paprika; ½ (6oz) can tomato paste; ¼ cup water",338,13g,14g,41g
497805,Slow Cooker Hungarian Goulash,https://spoonacular.com/recipeImages/497805-312x231.jpg,eastern european,13,45,http://www.afarmgirlsdabbles.com/2014/01/17/slow-cooker-hungarian-goulash-recipe-hungary-austria/,312.08,38.0,3096,False,False,True,True,8,"Place beef in slow cooker. Cover with carrots, potatoes, mushrooms, onion and garlic. In a medium bowl, whisk together remaining ingredients, and then add to the slow cooker. Stir a bit to combine. Cover and turn heat to high. Cook for 4 to 5 hours, or until beef and veggies are very tender. Serve in bowls with a warm loaf of fresh crusty bread.","Slow Cooker Hungarian Goulash might be just the <b>Eastern European</b> recipe you are searching for. One serving contains <b>473 calories</b>, <b>41g of protein</b>, and <b>20g of fat</b>. For <b>$3.11 per serving</b>, you get a main course that serves 8. Plenty of people made this recipe, and 3096 would say it hit the spot. From preparation to the plate, this recipe takes around <b>45 minutes</b>. A mixture of beef chuck roast, onion, mustard, and a handful of other ingredients are all it takes to make this recipe so delicious. To use up the kosher salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/low-fat-crumbs-cake-kosher-dairy-130933"">Low Fat Crumbs Cake (Kosher-Dairy)</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 97%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/slow-cooker-hungarian-goulash-484111"">Slow Cooker Hungarian Goulash</a>, <a href=""https://spoonacular.com/recipes/slow-cooker-hungarian-goulash-noodles-527308"">Slow Cooker Hungarian Goulash & Noodles</a>, and <a href=""https://spoonacular.com/recipes/slow-cooker-hungarian-goulash-meatballs-612089"">Slow Cooker Hungarian Goulash Meatballs</a> for similar recipes.","3 lbs. beef chuck roast, cut into 1"" cubes; 1/2 tsp. freshly ground black pepper; 1/4 c. brown sugar; 5 medium carrots, peeled and sliced into 1/2"" diagonals; 2 tsp. dry mustard; 3 large cloves garlic, minced; 1/4 c. Hungarian sweet paprika; 2 tsp. kosher salt, or to taste; 4 c. low sodium beef broth; 16 oz. whole fresh mushrooms, quartered; 4 medium red potatoes, peeled and cut into 3/4"" cubes; 3 T. tomato paste; 2 T. Worcestershire sauce; 1 large yellow onion, chopped",478,21g,35g,41g
533001,Pressure Cooker Beef Stroganoff,https://spoonacular.com/recipeImages/533001-312x231.jpg,eastern european,11,40,http://www.thehungryhousewife.com/2013/01/pressure-cooker-beef-stroganoff.html,378.84,41.0,1348,False,False,False,False,6,"In a gallon sized zip lock bag, mix together the flour,salt, pepper,onion powder,thyme,rosemary and paprika.Add the cubed beef and toss to coat.Set the pressure cooker to browning.Add 2 tablespoons oil to pressure cooker.Working in small batches, taking care not to over crowd the pot, brown the meat on all sides. (took me 4 batches).Remove the beef to a plate.Add the onions to the pressure cooker, adding more oil if needed and cook for 5 minutes.Add the garlic and cook for an additional 1 minute.Add back the beef and any juices that have accumulated on the plate.Stir in the beef stock and wine.Place the lid on and set the cooker to High Pressure for 20 minutes.After 20 minutes has elapsed, allow the pressure cooker to naturally release the steam. This will take 10-15 minutes.Carefully remove lid.Place the sour cream into a small bowl.Ladle about ¼ cup of the hot juice from the pressure cooker into the sour cream and stir.Do this several times until the sour cream is warmed.Stir the warm sour cream into the meat.Salt and pepper to taste.Serve over egg noodles.","Pressure Cooker Beef Stroganoff might be just the main course you are searching for. This recipe makes 6 servings with <b>538 calories</b>, <b>67g of protein</b>, and <b>14g of fat</b> each. For <b>$3.77 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. 1348 people have tried and liked this recipe. A mixture of wine, pepper, onion powder, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the kosher salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/low-fat-crumbs-cake-kosher-dairy-130933"">Low Fat Crumbs Cake (Kosher-Dairy)</a> as a dessert. This recipe is typical of Eastern European cuisine. From preparation to the plate, this recipe takes roughly <b>40 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 97%</b>. This score is amazing. Similar recipes include <a href=""https://spoonacular.com/recipes/pressure-cooker-beef-stroganoff-624320"">Pressure Cooker Beef Stroganoff</a>, <a href=""https://spoonacular.com/recipes/pressure-cooker-beef-stroganoff-309838"">Pressure Cooker Beef Stroganoff</a>, and <a href=""https://spoonacular.com/recipes/pressure-cooker-beef-stroganoff-626693"">Pressure Cooker Beef Stroganoff</a>.","1¾ cup Beef Stock; 12 oz. Medium Size Egg Noodles, cooked to package directions; ½ teaspoon Dried Rosemary; ½ teaspoon Dried Thyme; ¾ cup Flour; 3 cloves garlic, minced; 1 teaspoon Course Kosher Salt; 2 + Tablespoons Olive Oil; 1 large Onion, sliced; ½ teaspoon Onion Powder; ½ teaspoon Pepper; 3½ lbs. Sirloin Tip Roast, trimmed of tough tissue and cubed; ¼ cup Red Wine; 8 oz. Sour Cream",541,14g,32g,67g
