id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
248586,Korean Spicy BBQ Chicken Tacos,https://spoonacular.com/recipeImages/248586-312x231.jpg,korean,25,45,http://www.closetcooking.com/2010/02/korean-spicy-bbq-chicken-tacos.html,408.48,100.0,877,True,True,True,True,4,Directions:1. Assemble tacos as you like and enjoy.,"The recipe Korean Spicy BBQ Chicken Tacos is ready <b>in roughly 45 minutes</b> and is definitely a super <b>gluten free and vegan</b> option for lovers of Korean food. For <b>$4.08 per serving</b>, you get a main course that serves 4. One serving contains <b>804 calories</b>, <b>24g of protein</b>, and <b>49g of fat</b>. 876 people have made this recipe and would make it again. If you have sesame seeds, tortillas, lettuce in a korean sesame vinaigrette, and a few other ingredients on hand, you can make it. To use up the sesame seeds you could follow this main course with the <a href=""https://spoonacular.com/recipes/sesame-banana-bread-80347"">Sesame Banana Bread</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is awesome. Similar recipes include <a href=""https://spoonacular.com/recipes/pineapple-dak-bulgogi-tacos-korean-spicy-pineapple-bbq-chicken-tacos-248328"">Pineapple Dak Bulgogi Tacos (Korean Spicy Pineapple BBQ Chicken Tacos)</a>, <a href=""https://spoonacular.com/recipes/spicy-korean-tacos-with-kimchi-586963"">Spicy Korean Tacos with Kimchi</a>, and <a href=""https://spoonacular.com/recipes/korean-bbq-chicken-tacos-with-asian-pear-and-jicama-slaw-473841"">Korean BBQ Chicken Tacos with Asian Pear and Jicama Slaw</a>.",1 cup onion and cilantro relish; 1 cup Korean style salsa roja; 2 cups shredded lettuce in a Korean sesame vinaigrette; 6 tablespoons sesame seeds (toasted and crushed); 12 small tortillas,804,49g,75g,24g
247629,Korean Short Rib Tacos,https://spoonacular.com/recipeImages/247629-312x231.jpg,korean,25,45,http://www.closetcooking.com/2009/08/korean-short-rib-tacos.html,408.48,100.0,590,True,True,True,True,4,Directions:1. Assemble tacos.,"You can never have too many main course recipes, so give Korean Short Rib Tacos a try. For <b>$4.08 per serving</b>, this recipe <b>covers 42%</b> of your daily requirements of vitamins and minerals. This recipe serves 4. One serving contains <b>804 calories</b>, <b>24g of protein</b>, and <b>49g of fat</b>. 590 people were impressed by this recipe. Head to the store and pick up sesame seeds, salsa roja, lettuce in a korean sesame vinaigrette, and a few other things to make it today. To use up the sesame seeds you could follow this main course with the <a href=""https://spoonacular.com/recipes/sesame-banana-bread-80347"">Sesame Banana Bread</a> as a dessert. This recipe is typical of Korean cuisine. It is a good option if you're following a <b>gluten free and vegan</b> diet. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is outstanding. Similar recipes include <a href=""https://spoonacular.com/recipes/korean-beef-stew-tacos-aka-my-version-of-kogi-bbqs-short-rib-tacos-520864"">Korean beef stew tacos (a.k.a. my version of Kogi BBQ’s short-rib tacos)</a>, <a href=""https://spoonacular.com/recipes/grilled-korean-bbq-short-rib-dogs-w-sweet-peach-relish-+-spicy-korean-slaw-549399"">Grilled Korean BBQ Short Rib Dogs w/Sweet Peach Relish + Spicy Korean Slaw</a>, and <a href=""https://spoonacular.com/recipes/korean-short-rib-kebabs-80286"">Korean Short Rib Kebabs</a>.",1 cup onion and cilantro relish; 1 cup Korean style salsa roja; 2 cups shredded lettuce in a Korean sesame vinaigrette; 6 tablespoons sesame seeds (toasted and crushed); 12 small tortillas,804,49g,75g,24g
986785,Cauliflower Rice Kimchi Bowls,https://spoonacular.com/recipeImages/986785-312x231.jpg,korean,13,45,https://www.loveandlemons.com/cauliflower-rice-kimchi-bowls/,484.03,100.0,217,True,True,True,True,4,"Make the coconut sauce: In a small bowl, whisk together the coconut milk, miso paste, lime juice or rice vinegar, ginger, and salt. Set aside.
In a large nonstick skillet, heat a drizzle of olive oil over low heat. Add the riced cauliflower, the scallions, garlic, and a few pinches of salt, and cook, stirring occasionally, for 3 minutes just to take the raw flavor off the cauliflower. Remove from the heat and stir in  of the coconut sauce. Portion the cauliflower rice into 4 bowls.
Wipe any remaining cauliflower bits out of the skillet. Heat the pan back to medium with a few splashes of olive oil. Add the mushrooms and a few pinches of salt and cook, stirring occasionally, until tender, about 5 minutes. Remove from the heat and stir in the rice vinegar and a few splashes of tamari. Add the mushrooms to the cauliflower bowls.
Wipe out the skillet again, add a tiny bit of water and the kale and cook over medium heat, covered, for 1 minute or until lightly wilted.
Finish assembling the bowls by drizzling more of the coconut sauce over each portion of cauliflower. Add the kale, tofu, avocado, and kimchi to the bowls along with the microgreens and sesame seeds, if using. Serve with any remaining sauce and the lime slices on the side.","Cauliflower Rice Kimchi Bowls is a Korean recipe that serves 4. One portion of this dish contains roughly <b>17g of protein</b>, <b>20g of fat</b>, and a total of <b>332 calories</b>. For <b>$4.89 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. A mixture of olive oil, sea salt, cauliflower, and a handful of other ingredients are all it takes to make this recipe so scrumptious. To use up the sea salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/raspberry-sea-salt-brownies-494161"">Raspberry Sea Salt Brownies</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>approximately 45 minutes</b>. It works well as a main course. 217 people have made this recipe and would make it again. It is a good option if you're following a <b>gluten free, dairy free, lacto ovo vegetarian, and vegan</b> diet. It is brought to you by Love & Lemons. With a spoonacular <b>score of 58%</b>, this dish is pretty good. Similar recipes are <a href=""https://spoonacular.com/recipes/egg-and-kimchi-rice-bowls-740858"">Egg-and-Kimchi Rice Bowls</a>, <a href=""https://spoonacular.com/recipes/brown-rice-noodle-bowls-with-tofu-pork-and-kimchi-706681"">Brown Rice Noodle Bowls with Tofu, Pork, and Kimchi</a>, and <a href=""https://spoonacular.com/recipes/kimchi-paleo-cauliflower-rice-668344"">Kimchi Paleo Cauliflower Rice</a>.","1 avocado, diced; 1 small head of cauliflower, riced; 1/3 cup coconut milk; ½ clove garlic, minced; 1 teaspoon minced ginger; 6 leaves of curly kale, stemmed and torn; ½ cup kimchi (I used Mother in Law's kimchi); lime slices, for serving; 1 tablespoon rice vinegar or fresh lime juice; ¼ cup microgreens, optional; 2 tablespoons white miso paste; extra-virgin olive oil, for drizzling; ½ teaspoon rice vinegar; ½ cup chopped scallions; pinch of sea salt; sea salt; sprinkle of sesame seeds, optional; 7 ounces shiitake mushrooms, stemmed and sliced; ½ teaspoon tamari; 12 to 14 ounces baked tofu, reheated (I used Wildwood sriracha tofu)",458,35g,27g,18g
983243,Instant Pot Korean Beef Bowls,https://spoonacular.com/recipeImages/983243-312x231.jpg,korean,8,40,http://littlespicejar.com/instant-pot-korean-beef-bowls/,206.89,59.0,13283,False,False,True,True,10,"Blend: Combine the ingredients listed in the blend section in a food processor or blender until a smooth paste forms. If you do this in a blender, use the 1/4 cup of water listed under instant pot also.Instant Pot: Add the prepared mixture to the IP along with the all the remaining listed ingredients. Cover the IP make sure it is sealed. Cook the Korean Beef on manual,  high pressure for 35 minutes. When its done, do a quick pressure release. Shred the meat if desired to use in burritos, I leave it as is for bowls!Burrito: to make a burrito, spread sriracha mayo on a warm flour tortilla, top with cooked rice, shredded meat, lettuce leaves, kimchi, chopped peanuts, cilantro, and a squeeze of lime.Bowls: to make a bowl, add cooked rice to your bowl, along with the prepared meat, kimchi, chopped peanuts, cilantro, a fried or half boiled egg. Sprinkled with scallions or toasted sesame seeds!","The recipe Instant Pot Korean Beef Bowls can be made <b>in around 40 minutes</b>. This main course has <b>381 calories</b>, <b>51g of protein</b>, and <b>14g of fat</b> per serving. This recipe serves 10. For <b>$2.07 per serving</b>, this recipe <b>covers 28%</b> of your daily requirements of vitamins and minerals. This recipe from Little Spice Jar has 13283 fans. This recipe is typical of Korean cuisine. A mixture of water, garlic, ginger, and a handful of other ingredients are all it takes to make this recipe so delicious. It is a good option if you're following a <b>gluten free and dairy free</b> diet. Taking all factors into account, this recipe <b>earns a spoonacular score of 99%</b>, which is outstanding. <a href=""https://spoonacular.com/recipes/instant-pot-korean-beef-979372"">Instant Pot Korean Beef</a>, <a href=""https://spoonacular.com/recipes/instant-pot-korean-beef-986753"">Instant Pot Korean Beef</a>, and <a href=""https://spoonacular.com/recipes/instant-pot-beef-egg-roll-bowls-1069449"">Instant Pot Beef Egg Roll Bowls</a> are very similar to this recipe.","1/2 an Asian pear or 1 bosc pear; 8 cloves garlic; 2-inch knob of ginger, sliced; 1/2 small yellow onion, cut into quarters; 2- 2 1/2 pounds lean stew meat; 1/4 cup water; 6 tablespoons low sodium soy sauce; 1/4 cup brown sugar; 2 tablespoons sesame oil; 2 teaspoons gochujang or sriracha; 1/2 teaspoon black pepper",381,14g,9g,51g
487655,Vegetarian Bibimbap with Crispy Tofu and Quinoa,https://spoonacular.com/recipeImages/487655-312x231.jpg,korean,13,50,http://www.thelawstudentswife.com/2014/03/vegetarian-bibimbap/,326.12,47.0,2008,True,False,True,True,4,"Prepare Ultra Crispy Unfried Tofu. In a small bowl, stir together 2 tablespoons soy sauce, 1 tablespoon honey, and 1 tablespoon sesame oil. Toss with cooked tofu and set aside. Set out 4 bowls for the cooked vegetables. Bring a large pot of water to a boil. Add chopped kale and cook for 3 minutes, until crisp-tender. Remove from the water, squeeze dry, and place in one of the prepared bowls. Toss with 1 1/2 teaspoons soy sauce, 1 teaspoon sesame oil, and 1 teaspoon minced garlic. Set aside. Refill pot with fresh water and return to boil. Add bean sprouts and cook until tender and slightly translucent, 2-3 minutes. Remove to bowl, toss with 1/2 teaspoon soy sauce. Set aside.Heat 2 teaspoons olive oil in a large skillet. Add white parts of the green onions, 1 teaspoon garlic, and mushrooms. Sautee for 4 minutes, until the mushrooms are tender. Toss with 1 teaspoon soy sauce and remove to one of the prepared bowls.In the same skillet, heat the remaining teaspoon olive oil. Add carrots, remaining 2 teaspoons sesame oil, and remaining teaspoon minced garlic. Sauté 2-3 minutes, until slightly tender. Remove to final bowl.Just before serving, heat a lightly oiled skillet over medium heat. Cook eggs sunny side up. In a small bowl, stir together the chili pepper paste and remaining tablespoon honey.To serve: Place cooked quinoa in the bottom of the bowl. Then top with small mounds of the tofu, kale, mushrooms, carrots, and bean sprouts. Top with toasted sesame seeds, a fried egg, and the green tops of the green onions. Serve with the chili bean paste.","Vegetarian Bibimbap with Crispy Tofu and Quinoa might be just the main course you are searching for. One portion of this dish contains roughly <b>19g of protein</b>, <b>23g of fat</b>, and a total of <b>460 calories</b>. This recipe serves 4 and costs $3.26 per serving. Plenty of people made this recipe, and 2008 would say it hit the spot. It is a good option if you're following a <b>gluten free, dairy free, and vegetarian</b> diet. From preparation to the plate, this recipe takes approximately <b>50 minutes</b>. A mixture of bean sprouts, extra virgin olive oil, shiitake mushrooms, and a handful of other ingredients are all it takes to make this recipe so yummy. To use up the extra virgin olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/peach-crisp-healthy-crisp-for-breakfast-487698"">Peach Crisp: Healthy Crisp for Breakfast</a> as a dessert. This recipe is typical of Korean cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/vegetarian-bibimbap-363921"">Vegetarian Bibimbap</a>, <a href=""https://spoonacular.com/recipes/the-occasional-vegetarians-bibimbap-200664"">The Occasional Vegetarian's Bibimbap</a>, and <a href=""https://spoonacular.com/recipes/baked-tofu-bibimbap-536331"">Baked Tofu Bibimbap</a> for similar recipes.","1 heaping cup bean sprouts; 3 carrots, cut into matchsticks; 3 tablespoons chili pepper paste; 4 eggs; 1 tablespoon extra virgin olive oil, divided; 3 teaspoons minced garlic (about 4 cloves), divided; 4 green onions thinly sliced, white and green parts divided; 2 tablespoons honey, divided; 6 cups kale; chopped (or other greens); 2 cups cooked quinoa (2/3 cup dry); 3 tablespoons sesame oil, divided; 2 tablespoons toasted sesame seeds; 4 ounces shiitake mushrooms; sliced thin; 3 tablespoons low sodium soy sauce, divided (use gluten free if desired)",460,23g,51g,19g
711188,Korean Steak and Noodle Lettuce Cups,https://spoonacular.com/recipeImages/711188-312x231.jpg,korean,12,30,http://www.runningtothekitchen.com/korean-steak-and-noodle-lettuce-cups/,310.04,100.0,72,False,False,False,True,4,"Whisk all the ingredients together for the sauce in a small bowl and set aside.Bring a large pot of water to a boil. Add rice noodles, cook according to package directions, drain, rinse with cold water and set aside.Heat  tablespoon of the sesame oil in a large skillet or wok over medium-high heat.Add the carrots, peppers and mushrooms to the pan and cook, tossing occasionally until just softened, about 3 minutes. Transfer vegetables to a plate or bowl and set aside.Add the remaining  tablespoon sesame oil to the skillet then add the steak and cook until browned on one side, flip and cook on the other side until completely browned. Drain any excess fat and return to the stove top.Add the sauce and green onions to the skillet, toss with the steak until all the pieces are coated, lower the heat to medium-low and reduce until thickened and sticky, about 2-3 minutes.Add the vegetables and rice noodles back in the pan and toss everything together until well combined and coated with the sauce.Remove from heat, add the cilantro and give one final toss.Spoon the steak and noodle mixture into the lettuce leaves and garnish with sesame seeds before serving.","The recipe Korean Steak and Noodle Lettuce Cups is ready <b>in about 30 minutes</b> and is definitely an awesome <b>dairy free</b> option for lovers of Korean food. One serving contains <b>457 calories</b>, <b>32g of protein</b>, and <b>14g of fat</b>. For <b>$3.1 per serving</b>, this recipe <b>covers 37%</b> of your daily requirements of vitamins and minerals. A few people made this recipe, and 71 would say it hit the spot. It works well as a main course. Head to the store and pick up rice noodles, brown sugar, orange bell pepper, and a few other things to make it today. To use up the low sodium soy sauce you could follow this main course with the <a href=""https://spoonacular.com/recipes/meringue-cookie-smores-670871"">Meringue Cookie S'mores</a> as a dessert. It will be a hit at your <b>valentin day</b> event. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is amazing. Similar recipes include <a href=""https://spoonacular.com/recipes/korean-style-steak-lettuce-wraps-695248"">Korean-Style Steak & Lettuce Wraps</a>, <a href=""https://spoonacular.com/recipes/asian-beef-and-noodle-filled-lettuce-cups-16568"">Asian Beef and Noodle-Filled Lettuce Cups</a>, and <a href=""https://spoonacular.com/recipes/korean-steak-and-vegetable-noodle-bowls-705374"">Korean Steak and Vegetable Noodle Bowls</a>.","1 head bibb lettuce, outer leaves carefully removed, washed and pat dry; ¼ cup brown sugar; 1 large carrot, cut in half width-wise then thinly sliced; 1 tablespoon red chile paste; handful fresh cilantro, chopped; 2 cloves garlic, minced; 1 teaspoon minced ginger; 2 green onions, chopped; 1 pound flank steak or london broil, thinly sliced; 3 tablespoons low sodium soy sauce; 6 ounces sliced mushrooms; 1 orange bell pepper, thinly sliced; 1 red bell pepper, thinly sliced; 4 ounces rice noodles; 1 tablespoon rice vinegar; ½ tablespoon sesame oil; 1 tablespoon sesame oil, divided; sesame seeds for garnish; 1 yellow bell pepper, thinly sliced",459,14g,52g,33g
535177,Slow Cooker Korean BBQ Pot Roast and Sweet Potatoes,https://spoonacular.com/recipeImages/535177-312x231.jpg,korean,5,605,http://sarahscucinabella.com/2014/04/17/slow-cooker-korean-bbq-pot-sweet-potatoes/,168.26,80.0,132,False,False,False,True,6,"Layer the onions and sweet potatoes in the bottom of a slow cooker. Place the beef eye round roast on top. Pour the Sweet Korean BBQ Sauce over. Set the slow cooker to low and cook for 8-10 hours. Remove the roast from the slow cooker and slice into thin slices (against the grain). Return to the slow cooker and mix with the juices. Sprinkle with scallions, as desired, and serve immediately.","The recipe Slow Cooker Korean BBQ Pot Roast and Sweet Potatoes could satisfy your Korean craving in approximately <b>10 hours and 5 minutes</b>. This recipe makes 6 servings with <b>336 calories</b>, <b>42g of protein</b>, and <b>12g of fat</b> each. For <b>$1.68 per serving</b>, this recipe <b>covers 24%</b> of your daily requirements of vitamins and minerals. If you have beef eye round roast, onion, scallion, and a few other ingredients on hand, you can make it. Plenty of people really liked this main course. 132 people have made this recipe and would make it again. It is a good option if you're following a <b>dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/slow-cooker-roast-with-maple-sweet-potatoes-701996"">Slow Cooker Roast with Maple Sweet Potatoes</a>, <a href=""https://spoonacular.com/recipes/slow-cooker-garlic-pork-roast-and-sweet-potatoes-170250"">Slow-Cooker Garlic Pork Roast and Sweet Potatoes</a>, and <a href=""https://spoonacular.com/recipes/slow-cooker-balsamic-pot-roast-926670"">Slow Cooker Balsamic Pot Roast</a> for similar recipes.","2-3 lb beef eye round roast; 1 pouch Campbells Slow Cooker Sauces Sweet Korean BBQ Sauce; 1 scallion, green part snipped into thin rounds; 2 1/2 cups cubed sweet potatoes; 1 yellow onion, quartered",268,8g,13g,35g
202359,"Squash, Shiitake, Kale, and Kimchi Stew",https://spoonacular.com/recipeImages/202359-312x231.jpg,korean,7,30,http://www.seriouseats.com/recipes/2013/09/dinner-tonight-squash-shiitake-kale-kimchi-stew-recipe.html,788.37,79.0,183,False,False,True,True,4,"Procedures                                                                              1                                                                            Warm sesame oil into a medium saucepan over medium-high heat. Add  scallion whites and garlic and cook, stirring occasionally, until fragrant, about 30 seconds. Add squash and shiitakes, stir well, and cook until squash starts to soften, 3 to 5 minutes minutes. Add chopped kale and cook, stirring often, until leaves turn bright green and wilt slightly, about 2 minutes.                                                                                                                            2                                                                            Stir in kimchi, kimchi liquid, stock, water, soy sauce, mirin, gochujang, and doenjang. Bring to a boil over high heat, reduce heat to a strong simmer. Stir in soft tofu and kochukaru (if using), and cook until kale is tender and soup has slightly thickened, about 10 minutes. Season to taste with more salt and chili flakes if desired.                                                                                                                            3                                                                            Serve soup immediately, sprinkled with scallion greens.","Squash, Shiitake, Kale, and Kimchi Stew might be just the main course you are searching for. One serving contains <b>271 calories</b>, <b>18g of protein</b>, and <b>13g of fat</b>. This gluten free and dairy free recipe serves 4 and costs <b>$7.88 per serving</b>. It is perfect for <b>Autumn</b>. Head to the store and pick up water, kimchi liquid, kale, and a few other things to make it today. To use up the soy sauce you could follow this main course with the <a href=""https://spoonacular.com/recipes/panna-cotta-with-strawberry-vin-santo-sauce-154216"">Panna Cotta with Strawberry-Vin Santo Sauce</a> as a dessert. This recipe is typical of Korean cuisine. From preparation to the plate, this recipe takes around <b>30 minutes</b>. This recipe is liked by 183 foodies and cooks. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is spectacular. Similar recipes include <a href=""https://spoonacular.com/recipes/roasted-butternut-squash-shiitake-mushroom-and-kale-kimchi-bibimsoba-248994"">Roasted Butternut Squash, Shiitake Mushroom and Kale, Kimchi Bibimsoba</a>, <a href=""https://spoonacular.com/recipes/dinner-tonight-kimchi-jigae-kimchi-stew-196714"">Dinner Tonight: Kimchi Jigae (Kimchi Stew)</a>, and <a href=""https://spoonacular.com/recipes/spicy-kimchi-stew-kimchi-jjigae-843"">Spicy Kimchi Stew (kimchi Jjigae)</a>.","4 medium garlic cloves, minced (about 4 teaspoons); 2 tablespoons gochujang (Korean chili paste); 1 bunch of kale, ends trimmed, leaves roughly chopped; 2 cups kimchi, roughly chopped; 1/2 cup kimchi liquid; 4 cups homemade or store-bought low sodium vegetable or chicken broth; 1 tablespoon mirin; 2 tablespoons doenjang (Korean miso paste), or Japanese white miso paste; 2 scallions, ends trimmed, green and white parts thinly sliced and kept separate; 2 tablespoons sesame oil; 1/2 pound shiitakes mushrooms, ends removed, caps sliced; 1 tablespoon soy sauce; 1/2 pound squash, ends trimmed, cut into 1/2-inch cubes; 1 pound soft tofu, cut into 1-inch cubes; 2 cups water",296,15g,27g,20g
594616,Slow Cooker Korean Tacos,https://spoonacular.com/recipeImages/594616-312x231.jpg,korean,12,550,http://www.tablefortwoblog.com/slow-cooker-korean-tacos/,320.29,55.0,1932,False,False,True,True,6,"Add the pieces of pork in the insert/bowl of your slow cooker. Add hoisin sauce, garlic, green onions, and ground ginger.Toss each piece of pork a few times to fully coat with the sauce and spices.Cover and cook on low for 8 to 9 hours.Prior to serving, in a bowl, toss coleslaw or broccoli slaw mix with rice wine vinegar and brown sugar.Remove pork from slow cooker and shred. Place pork back into the sauce and toss to coat.Serve in warmed tortillas with slaw on top or spoon pork onto a bed of rice. Garnish with sliced green onions, if desired.Store leftovers in an airtight container for up to 5 days.","The recipe Slow Cooker Korean Tacos is ready <b>in roughly 9 hours and 10 minutes</b> and is definitely a super <b>gluten free and dairy free</b> option for lovers of Korean food. This recipe serves 6 and costs $3.2 per serving. One serving contains <b>436 calories</b>, <b>40g of protein</b>, and <b>10g of fat</b>. A mixture of pork loin, green onions, brown sugar, and a handful of other ingredients are all it takes to make this recipe so delicious. To use up the rice wine vinegar you could follow this main course with the <a href=""https://spoonacular.com/recipes/red-velvet-mug-cake-189954"">Red Velvet Mug Cake</a> as a dessert. Plenty of people made this recipe, and 1932 would say it hit the spot. It works well as a main course. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/slow-cooker-korean-beef-tacos-537098"">Slow Cooker Korean Beef Tacos</a>, <a href=""https://spoonacular.com/recipes/slow-cooker-korean-bbq-pork-tacos-801904"">Slow Cooker Korean BBQ Pork Tacos</a>, and <a href=""https://spoonacular.com/recipes/slow-cooker-korean-style-beef-tacos-824133"">Slow Cooker Korean-Style Beef Tacos</a> for similar recipes.","2 pounds boneless pork loin, cut into 4 pieces; 1 16-ounce package of coleslaw or broccoli slaw mix; 2 tbsp. brown sugar; 3 garlic cloves, minced; 3 green onions, thinly sliced, plus extra for garnish; 3 tsp. ground ginger; 1 cup hoisin sauce; 3 tbsp. rice wine vinegar; Small tortillas or hot cooked white (or brown) rice, for serving",436,10g,45g,40g
474161,Grilled Salmon with Spicy Korean Chile Pepper Sauce,https://spoonacular.com/recipeImages/474161-312x231.jpg,korean,7,35,http://jeanetteshealthyliving.com/2013/06/spicy-korean-grilled-salmon.html,368.9,57.0,943,False,False,True,True,3,Mix marinade ingredients together. Spread on all sides of salmon fillet. Let marinade for 20 minutes. Grill until just cooked through.,"The recipe Grilled Salmon with Spicy Korean Chile Pepper Sauce is ready <b>in roughly 35 minutes</b> and is definitely a super <b>gluten free, dairy free, and pescatarian</b> option for lovers of Korean food. This recipe serves 3 and costs $3.69 per serving. This main course has <b>287 calories</b>, <b>31g of protein</b>, and <b>13g of fat</b> per serving. If you have garlic, sesame oil, sesame seeds, and a few other ingredients on hand, you can make it. To use up the soy sauce you could follow this main course with the <a href=""https://spoonacular.com/recipes/panna-cotta-with-strawberry-vin-santo-sauce-154216"">Panna Cotta with Strawberry-Vin Santo Sauce</a> as a dessert. <b>The Fourth Of July</b> will be even more special with this recipe. Several people made this recipe, and 943 would say it hit the spot. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/grilled-corn-with-spicy-korean-miso-sauce-149279"">Grilled Corn with Spicy Korean Miso Sauce</a>, <a href=""https://spoonacular.com/recipes/grilled-korean-style-steaks-with-spicy-cilantro-sauce-143894"">Grilled, Korean-Style Steaks With Spicy Cilantro Sauce</a>, and <a href=""https://spoonacular.com/recipes/grilled-korean-style-steaks-with-spicy-cilantro-sauce-150337"">Grilled, Korean-Style Steaks with Spicy Cilantro Sauce</a> for similar recipes.",2 teaspoons minced garlic; 1 tablespoon minced onion; 1 tablespoon Korean hot pepper paste (gochujang); 1 pound salmon fillet; 2 teaspoons sesame oil; 1 teaspoon toasted sesame seeds; 1 tablespoon soy sauce; 2 tablespoons sugar,287,13g,11g,31g
