id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
547899,Sweet Potato and Black Bean Mexican Salad,https://spoonacular.com/recipeImages/547899-312x231.jpg,mexican,13,50,http://www.twopeasandtheirpod.com/sweet-potato-and-black-bean-mexican-salad/,204.09,100.0,10748,True,True,True,True,4,"1. Preheat oven to 400 degrees F. Place the chopped sweet potatoes on a large baking sheet. Drizzle with olive oil and toss. Season with salt and black pepper, to taste. Place sheet in the oven and roast for 20 minutes. Using a spatula, toss the sweet potatoes. Roast for an additional 15 minutes or until the sweet potatoes are tender. Remove from oven and set aside. 2. Place chopped lettuce in a large bowl. Top lettuce with roasted sweet potatoes, black beans, tomatoes, corn, avocado, purple cabbage, cilantro, and green onion. Squeeze fresh lime juice over the salad. Serve with salsa, pico de gallo or Creamy Avocado Dressing, if desired.Note-I like to roast or grill the corn for the salad. This salad is very flexible. Feel free to add your favorite Mexican toppings to the mix. Don't use the avocado dressing if you need the salad to be vegan.","Sweet Potato and Black Bean Mexican Salad might be just the <b>Mexican</b> recipe you are searching for. This recipe serves 4 and costs $1.65 per serving. One serving contains <b>370 calories</b>, <b>14g of protein</b>, and <b>12g of fat</b>. From preparation to the plate, this recipe takes roughly <b>50 minutes</b>. 10746 people have made this recipe and would make it again. If you have avocado, beans, romaine lettuce, and a few other ingredients on hand, you can make it. To use up the black beans you could follow this main course with the <a href=""https://spoonacular.com/recipes/black-beans-and-sweet-potato-dessert-249663"">Black Beans and Sweet Potato Dessert</a> as a dessert. Several people really liked this main course. It is a good option if you're following a <b>gluten free and vegan</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is excellent. Similar recipes include <a href=""https://spoonacular.com/recipes/one-pot-mexican-black-bean-sweet-potato-quinoa-825438"">One Pot Mexican Black Bean Sweet Potato Quinoa</a>, <a href=""https://spoonacular.com/recipes/black-bean-and-sweet-potato-salad-107128"">Black Bean and Sweet Potato Salad</a>, and <a href=""https://spoonacular.com/recipes/sweet-potato-and-black-bean-chicken-salad-490325"">Sweet Potato and Black Bean “Chicken” Salad</a>.","1 large avocado, sliced; 1 (15 oz) black beans, rinsed and drained; 1/2 cup chopped cilantro; 1 cup corn (fresh, frozen, or canned-rinsed and drained); 1/4 cup chopped green onion; Limes-for juicing over salad; 1 tablespoon olive oil; 1 cup chopped purple cabbage; Romaine lettuce, chopped; Salt and pepper, to taste; 2 large sweet potatoes, peeled and chopped; 1 large tomato, chopped",463,12g,78g,16g
509419,Ginger Citrus Salmon with Cucumber and Orange Salsa,https://spoonacular.com/recipeImages/509419-312x231.jpg,mexican,8,15,http://paleomg.com/ginger-citrus-salmon-cucumber-orange-salsa/,479.88,77.0,800,False,False,True,True,2,"Chop all your salsa ingredients, toss all ingredients together in a bowl, then place in refrigerator.Heat up a medium skillet over medium heat and add your coconut milk, coconut aminos, fish sauce, fresh ginger and orange zest.Once the coconut milk begins to slightly bubble, add your salmon filets to the sauce.Cook salmon for about 2-4 minutes per side or until cooked to preference.Plate salmon then top with salsa, making sure some of the coconut milk makes it over the salmon!Boom sauce!!","Ginger Citrus Salmon with Cucumber and Orange Salsa might be just the main course you are searching for. Watching your figure? This caveman, gluten free, dairy free, and primal recipe has <b>371 calories</b>, <b>36g of protein</b>, and <b>18g of fat</b> per serving. This recipe serves 2 and costs $4.74 per serving. From preparation to the plate, this recipe takes about <b>15 minutes</b>. This recipe is liked by 800 foodies and cooks. A mixture of ginger, jalapeno, fish sauce, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the orange zest you could follow this main course with the <a href=""https://spoonacular.com/recipes/orange-infused-dark-chocolate-ice-cream-with-toasted-walnuts-539769"">Orange-Infused Dark Chocolate Ice Cream with Toasted Walnuts</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/salmon-with-ginger-citrus-salsa-158635"">Salmon with Ginger-Citrus Salsa</a>, <a href=""https://spoonacular.com/recipes/cucumber-citrus-salsa-22913"">Cucumber Citrus Salsa</a>, and <a href=""https://spoonacular.com/recipes/grilled-fish-tacos-with-cucumber-citrus-salsa-3650"">Grilled Fish Tacos With Cucumber Citrus Salsa</a> for similar recipes.","¼ cup canned coconut milk; 1 tablespoon Coconut Aminos; 1 cucumber, diced; ½ teaspoon fish sauce; 1 tablespoon fresh ginger, grated; ½ jalapeno, finely chopped; 1 large orange, peeled and diced; ¼ teaspoon orange zest; 2 salmon filets (I don't know what size, whatever size you buy); pinch of salt and pepper",384,18g,18g,36g
764907,Cauliflower Rice Burrito Bowl,https://spoonacular.com/recipeImages/764907-312x231.jpg,mexican,15,45,http://www.loveandlemons.com/cauliflower-rice-burrito-bowl/,330.89,100.0,1166,True,True,True,True,4,"Make the cashew cream. In a blender, combine the cashews, green chiles, scallion, cilantro, garlic, lime juice, water and a pinch of salt and pepper. Blend well and season to taste. Add additional water if necessary to get your blender blade moving. Chill until ready to use.Preheat the oven to 350F and line a baking sheet with parchment paper. Place the tortilla strips on the baking sheet and toss with a drizzle of olive oil and a pinch of salt. Bake for 10 minutes or until crispy. Remove from the oven and set aside.Make sure your cauliflower is fully dry. Place the cauliflower in a food processor and pulse until it has the texture of rice. Work in batches if necessary and dont over process or it will get mushy.In a large skillet, heat 1 teaspoon of olive oil over medium heat. Add the cauliflower and saut until heated through, about 5 minutes. Season with salt, pepper and a squeeze of lime juice to help remove any bitterness from the raw cauliflower. Skip this step if you prefer raw cauliflower rice. Remove from the skillet and portion the rice into 4 serving bowls.In a medium skillet, heat 1 teaspoon of olive oil over medium heat. Saut the leeks and poblanos with generous pinches of salt and pepper. Cook until soft for 7 to 10 minutes, and then add the minced garlic and oregano. Stir, cook for 1 minute, then add a squeeze of lime and remove from heat. Distribute among the bowls.To the bowls add the black beans, mango, avocado, and cilantro. Top with the crispy tortilla strips and serve with the green sauce and extra lime wedges.","Cauliflower Rice Burrito Bowl might be just the <b>Mexican</b> recipe you are searching for. This main course has <b>604 calories</b>, <b>16g of protein</b>, and <b>37g of fat</b> per serving. This gluten free and vegan recipe serves 4 and costs <b>$3.31 per serving</b>. 1166 people have made this recipe and would make it again. If you have water, olive oil, mild chiles, and a few other ingredients on hand, you can make it. To use up the avocado you could follow this main course with the <a href=""https://spoonacular.com/recipes/chocolate-avocado-mousse-quick-dark-chocolate-avocado-mousse-486646"">chocolate avocado mousse | quick dark chocolate avocado mousse</a> as a dessert. From preparation to the plate, this recipe takes about <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is excellent. Similar recipes include <a href=""https://spoonacular.com/recipes/chicken-carnitas-burrito-bowl-with-cilantro-lime-cauliflower-rice-471580"">Chicken Carnitas Burrito Bowl with Cilantro Lime Cauliflower Rice</a>, <a href=""https://spoonacular.com/recipes/chipotles-chicken-burrito-bowl-with-cilantro-lime-rice-515751"">Chipotle’s Chicken Burrito Bowl with Cilantro Lime Rice</a>, and <a href=""https://spoonacular.com/recipes/chipotles-chicken-burrito-bowl-with-cilantro-lime-rice-667434"">Chipotle's Chicken Burrito Bowl with Cilantro Lime Rice</a>.","1 avocado, cubed; 1 cup cashews, soaked 3 to 4 hours, preferably overnight, drained and rinsed; 3 cups loose packed cauliflower florets; 2 tablespoons canned mild green chiles, more if desired; 1/3 cup cilantro, coarsely chopped; ½ cup chopped cilantro; 1 cup cooked black beans, drained and rinsed; 3 corn tortillas, sliced into strips; 1 garlic clove; 1 garlic clove, minced; juice of 1 lime; 2 large leeks, white and light green parts, rinsed well & sliced; 1 lime, sliced into wedges; 2 ripe mangoes, cubed; extra-virgin olive oil; ½ teaspoon dried Mexican oregano; 2 poblano peppers, stem, seeds and ribs removed, thinly sliced; 1 scallion, chopped; sea salt and freshly ground black pepper; ½ cup fresh water, plus more as needed",604,37g,62g,16g
995821,Meal Plan Day 3: Quinoa & Kale Quesadillas,https://spoonacular.com/recipeImages/995821-312x231.jpg,mexican,34,12,https://www.loveandlemons.com/quinoa-kale-quesadillas/,324.04,81.0,297,True,False,False,False,2,"Heat a medium skillet to medium-low and brush with olive oil. Add the leftover kale salad, the additional cooked quinoa and toss, lightly heating, just until the kale wilts, about 2 minutes. Remove from the heat and stir in a scoop of salsa. Season to taste.
Assemble the tortillas with the shredded cheese and the kale/quinoa mixture. Wipe out the pan, and heat it to medium, with a drizzle of olive oil. Fold each filled tortilla in half and place each into the pan (you may have to work in batches). Heat the quesadillas about 2 minutes per side or until nicely charred. I like to put a loose cover on so that the steam helps the cheese melt. Repeat with all quesadillas. Serve with the remaining salsa, the avocado, lime wedges, peppers or hot sauce, and cilantro, as desired.","Meal Plan Day 3: Quinoa & Kale Quesadillas is a <b>lacto ovo vegetarian</b> recipe with 2 servings. This hor d'oeuvre has <b>883 calories</b>, <b>39g of protein</b>, and <b>55g of fat</b> per serving. For <b>$2.79 per serving</b>, this recipe <b>covers 44%</b> of your daily requirements of vitamins and minerals. This recipe is liked by 297 foodies and cooks. From preparation to the plate, this recipe takes around <b>12 minutes</b>. This recipe from Love & Lemons requires lime wedges, avocado, jack cheese, and flour tortillas. Many people really liked this Mexican dish. Taking all factors into account, this recipe <b>earns a spoonacular score of 95%</b>, which is awesome. Similar recipes include <a href=""https://spoonacular.com/recipes/kale-and-eggs-benedict-for-ketogenic-diet-week-meal-plan-friday-day-6-766151"">Kale and Eggs Benedict for Ketogenic Diet Week Meal Plan- Friday Day 6</a>, <a href=""https://spoonacular.com/recipes/weekly-meal-plan-17-777037"">Weekly Meal Plan #17</a>, and <a href=""https://spoonacular.com/recipes/your-3-day-keto-kickstart-and-menu-plan-766649"">Your 3 Day Keto Kickstart and Menu Plan</a>.","Mashed avocado (to slather onto finished quesadillas); Cilantro, for garnish; 4 large flour tortillas; Sliced serrano or jalapeño peppers, or hot sauce; 2 cups shredded jack cheese* (see vegan option); 2 cups loose-packed leftover Big Green Kale Salad; Lime wedges, for serving; Extra-virgin olive oil, for drizzling; ¼ cup additional cooked quinoa; ½ cup store-bought tomatillo salsa",1024,70g,63g,40g
809792,Spicy Black Bean Chicken Enchiladas with Pumpkin Sour Cream Sauce,https://spoonacular.com/recipeImages/809792-312x231.jpg,mexican,17,50,http://www.ambitiouskitchen.com/2012/10/spicy-black-bean-chicken-enchiladas-with-pumpkin-sour-cream-sauce/,255.56,54.0,11404,False,False,True,False,8,"Begin by making the pumpkin sour cream sauce: In your food processor or blender combine pumpkin puree, tomato sauce, sour cream, chili powder, and garlic and puree until smooth. Taste and season with salt and pepper; set aside.Place 3 cups of shredded chicken in large bowl and add about a little less than half of the pumpkin sour cream sauce to it, toss chicken to coat; set aside remaining pumpkin sauce.Preheat oven to 375 degrees F. Spray 9x13 baking dish with nonstick cooking spray and spread a thin layer of pumpkin cream sauce on the bottom of pan.Heat large non-stick pan over medium heat and add olive oil. Add onion and minced garlic and cook until onions begin to soften. Add black beans, jalapeno, tomato sauce, chili powder, cumin, red pepper flakes, salt and pepper. Stir and bring to a slight boil, then reduce heat to medium low, stir consistently and let simmer for 5 minutes while sauce thickens.Next warm tortillas in microwave for about 30 seconds so they are easier to roll. Then, place about 1/4 cup of black bean mixture on each tortilla. Next take about 1/4 cup of chicken and pumpkin cream mixture and place on top of beans. Sprinkle 1-2 tablespoons of Colby jack cheese in each tortilla. Roll each tortilla and place seam side down in baking pan. Pour remaining enchilada sauce and sprinkle additional cheese on top.Bake for 20-30 minutes until cheese is melted and edges of tortillas begin to turn golden brown. Top with sour cream, greek yogurt, avocado, or cilantro.Makes about 8 servings -- 2 enchiladas each.","Spicy Black Bean Chicken Enchiladas with Pumpkin Sour Cream Sauce might be just the <b>Mexican</b> recipe you are searching for. For <b>$2.56 per serving</b>, you get a main course that serves 8. One serving contains <b>711 calories</b>, <b>50g of protein</b>, and <b>33g of fat</b>. 11404 people have made this recipe and would make it again. A mixture of colby jack cheese, cream, salt, and a handful of other ingredients are all it takes to make this recipe so scrumptious. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is tremendous. Similar recipes include <a href=""https://spoonacular.com/recipes/spicy-pumpkin-black-bean-enchiladas-548991"">Spicy Pumpkin-Black Bean Enchiladas</a>, <a href=""https://spoonacular.com/recipes/spicy-butternut-squash-black-bean-enchiladas-with-chipotle-greek-yogurt-sauce-809899"">Spicy Butternut Squash Black Bean Enchiladas with Chipotle Greek Yogurt Sauce</a>, and <a href=""https://spoonacular.com/recipes/black-bean-chicken-enchiladas-with-spicy-avocado-tomato-salsa-523828"">Black Bean Chicken Enchiladas with Spicy Avocado-Tomato Salsa</a>.","2 (15 oz) cans of black beans; 1 can (15 ounces) pumpkin puree; 2 tablespoons chili powder; 2-3 cups reduced-fat Mexican or Colby Jack cheese; 16-20 corn tortillas; 2 teaspoons cumin; 2 cloves of garlic, peeled; 2 garlic cloves, minced; 1/4 teaspoon fresh ground black pepper; 1 jalapeno, deseeded and minced; 1 cup low-fat sour cream; 1 teaspoon olive oil; 1-2 teaspoons red pepper flakes (add more or less depending on desired heat); 1 small roasted rotisserie chicken (purchase from grocery store), shredded OR 2-3 cups shredded chicken breast; 1/4 teaspoon salt; salt and pepper to taste; 1 cup good quality tomato sauce; 2 cups good quality tomato sauce; 1/2 white onion, diced",644,25g,57g,51g
695447,Pan-Seared Salmon with Fennel & Dill Salsa,https://spoonacular.com/recipeImages/695447-312x231.jpg,mexican,5,30,http://www.eatingwell.com/recipes/pan_seared_salmon_with_fennel_dill_salsa.html,322.54,100.0,181,False,False,True,True,4,,"The recipe Pan-Seared Salmon with Fennel & Dill Salsan is ready <b>in about 30 minutes</b> and is definitely an outstanding <b>caveman, gluten free, dairy free, and primal</b> option for lovers of Mexican food. This main course has <b>238 calories</b>, <b>23g of protein</b>, and <b>14g of fat</b> per serving. This recipe serves 4 and costs $2.81 per serving. 181 person have tried and liked this recipe. A mixture of dill, tomato, salt, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the red wine vinegar you could follow this main course with the <a href=""https://spoonacular.com/recipes/cherry-berry-pie-53000"">Cherry-Berry Pie</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 97%</b>. This score is outstanding. Try <a href=""https://spoonacular.com/recipes/seared-salmon-with-oranges-and-fennel-87665"">Seared Salmon with Oranges and Fennel</a>, <a href=""https://spoonacular.com/recipes/seared-salmon-with-creamy-dill-sauce-4591"">Seared Salmon with Creamy Dill Sauce</a>, and <a href=""https://spoonacular.com/recipes/seared-salmon-with-white-beans-fennel-4997"">Seared Salmon With White Beans & Fennel</a> for similar recipes.","2 tablespoons minced dill; 1 cup finely chopped fennel (about 1/2 bulb, stalks trimmed); 2 tablespoons extra-virgin olive oil; Freshly ground pepper to taste; 2 tablespoons minced red onion; 1 tablespoon red-wine vinegar; 1 pound salmon fillet, skinned (see Tip); 1/2 teaspoon salt, divided; 1 large tomato, chopped",264,15g,8g,24g
839792,Grilled Fish Tacos,https://spoonacular.com/recipeImages/839792-312x231.jpg,mexican,8,45,http://www.marthastewart.com/1049718/grilled-fish-tacos,558.81,78.0,1336,False,False,True,False,4,,"Grilled Fish Tacos might be just the main course you are searching for. For <b>$5.59 per serving</b>, this recipe <b>covers 28%</b> of your daily requirements of vitamins and minerals. One serving contains <b>394 calories</b>, <b>34g of protein</b>, and <b>11g of fat</b>. Plenty of people made this recipe, and 1336 would say it hit the spot. It is perfect for <b>The Fourth Of July</b>. This recipe is typical of Mexican cuisine. From preparation to the plate, this recipe takes around <b>45 minutes</b>. Head to the store and pick up lime, corn tortillas, percent greek yogurt, and a few other things to make it today. To use up the greek yogurt you could follow this main course with the <a href=""https://spoonacular.com/recipes/strawberry-greek-yogurt-banana-bread-248740"">Strawberry Greek Yogurt Banana Bread</a> as a dessert. It is a good option if you're following a <b>gluten free and pescatarian</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/grilled-fish-tacos-3668"">Grilled Fish Tacos</a>, <a href=""https://spoonacular.com/recipes/grilled-fish-tacos-6929"">Grilled Fish Tacos</a>, and <a href=""https://spoonacular.com/recipes/grilled-fish-tacos-3590"">Grilled Fish Tacos</a> for similar recipes.","Coarse salt and ground pepper; 12 corn tortillas; 1 cup fresh cilantro; 1/2 cup 2 percent Greek yogurt; 2 cups finely shredded green cabbage; 4 halibut fillets (5 ounces each), skinless; 1 lime, cut into wedges; 2 tablespoons extra-virgin olive oil; 4 radishes, thinly sliced; 3 scallions, thinly sliced",394,11g,40g,34g
472600,Ginger Sirloin with Strawberry Salsa,https://spoonacular.com/recipeImages/472600-312x231.jpg,mexican,10,25,http://civilizedcavemancooking.com/entrees/beef/ginger-sirloin-with-strawberry-salsa/,540.86,100.0,153,False,False,True,True,1,"Preheat your grill on high heatEnsure your steak has come to room temperature for at least 30 minutesCombine your almonds, strawberries, and balsamic (if using) in your food processor and blend it down to a salsaGenerously rub your sirloin with ginger and then lightly season with salt and pepperGrill your steak to your likingWhen finished, cover your steak on a plate with aluminum foil for at least 5 minutes to allow the meat to restTop with your strawberry salsa and enjoy","You can never have too many main course recipes, so give Ginger Sirloin with Strawberry Salsan a try. This recipe serves 1 and costs $5.04 per serving. One serving contains <b>523 calories</b>, <b>59g of protein</b>, and <b>26g of fat</b>. 153 people were impressed by this recipe. Head to the store and pick up top sirloin, salt, pepper, and a few other things to make it today. To use up the strawberries you could follow this main course with the <a href=""https://spoonacular.com/recipes/crepes-with-strawberries-511446"">Crepes with Strawberries</a> as a dessert. It can be enjoyed any time, but it is especially good for <b>Mother's Day</b>. It is a good option if you're following a <b>caveman, gluten free, dairy free, and primal</b> diet. This recipe is typical of Mexican cuisine. From preparation to the plate, this recipe takes approximately <b>25 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/grilled-top-sirloin-with-strawberry-salsa-510936"">Grilled Top Sirloin with Strawberry Salsa</a>, <a href=""https://spoonacular.com/recipes/ginger-sirloin-strips-437271"">Ginger Sirloin Strips</a>, and <a href=""https://spoonacular.com/recipes/ginger-lime-sirloin-41906"">Ginger-lime Sirloin</a> for similar recipes.",1/4 cup almonds; ground ginger; pepper; salt; 1/2 cup strawberries; 1 grass-fed top sirloin,545,26g,19g,59g
809899,Spicy Butternut Squash Black Bean Enchiladas with Chipotle Greek Yogurt Sauce,https://spoonacular.com/recipeImages/809899-312x231.jpg,mexican,16,50,http://www.ambitiouskitchen.com/2014/07/butternut-squash-black-bean-enchiladas-with-chipotle-greek-yogurt-sauce/,329.72,39.0,22674,True,False,True,False,6,"Preheat oven to 350 degrees F. Spray 9x13 inch baking pan with nonstick cooking spray.Make the sauce: Add tomato sauce, chipotle peppers with adobo sauce, greek yogurt, chili powder and garlic to bowl of a food processor; process a few times until smooth. Place in the fridge to thicken it up.Heat olive oil over medium heat in large skillet. Add garlic and diced onions and saute until garlic becomes fragrant (about 1 min). Add cubed butternut squash, stir, and cover for about 8 minutes or until fork tender, stirring occasionally to ensure squash doesn't burn. Add a few teaspoons of water to the pan if necessary to help the squash cook. Once squash is fork tender, transfer to large bowl and add in black beans, corn, and in 1 cup of prepared enchilada sauce; stir to combine.To assemble enchiladas: Add 3/4 cup enchilada sauce to bottom of a 9x13 inch pan and spread around. Warm tortillas in microwave for 30 seconds so that they are easier to roll up. If you find them hard to roll, I recommend dipping each tortilla in a bit of the enchilada sauce; this will make it much easier to roll and add flavor, too! Add about 1/2 cup of the butternut squash & black bean filling to each tortilla and 1 tablespoon of cheese. Roll each tortilla up and place seam side down in baking pan. Pour remaining enchilada sauce over the top along with remaining cheese.Bake for 25-35 minutes or until cheese is melted and the edges of tortillas begin to turn a nice golden brown. Top with extra greek yogurt, avocado slices, cilantro, and green onions, if desired. Makes 6 servings  2 enchiladas each.","Spicy Butternut Squash Black Bean Enchiladas with Chipotle Greek Yogurt Sauce might be just the main course you are searching for. For <b>$3.2 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. This recipe makes 6 servings with <b>579 calories</b>, <b>44g of protein</b>, and <b>18g of fat</b> each. Plenty of people made this recipe, and 22674 would say it hit the spot. It is a good option if you're following a <b>gluten free and vegetarian</b> diet. If you have chipotle peppers in adobo sauce, beans, corn, and a few other ingredients on hand, you can make it. To use up the nonfat greek yogurt you could follow this main course with the <a href=""https://spoonacular.com/recipes/greek-yogurt-biscuits-584823"">Greek Yogurt Biscuits</a> as a dessert. This recipe is typical of Mexican cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/butternut-squash-and-black-bean-quinoa-bowls-with-vegan-chipotle-sauce-616482"">butternut squash and black bean quinoa bowls with vegan chipotle sauce</a>, <a href=""https://spoonacular.com/recipes/butternut-squash-black-bean-enchiladas-833952"">Butternut Squash & Black Bean Enchiladas</a>, and <a href=""https://spoonacular.com/recipes/butternut-squash-black-bean-enchiladas-558201"">Butternut Squash Black Bean Enchiladas</a> for similar recipes.","4 cups cubed butternut squash (a little over 1 pound); 1 – 15 oz can black beans, rinsed and drained; 1 – 15 oz can good quality tomato sauce; 1 1/2 tablespoons chili powder; 2 chipotle peppers in adobo sauce; 2 cups shredded reduced fat Colby jack cheese, plus more if you'd like; 12 corn tortillas; 1 clove garlic, minced; 2 cloves garlic, minced or smashed; extra greek yogurt, cilantro, avocado, and green onions, for topping; 3/4 cup nonfat plain greek yogurt; 1 teaspoon olive oil; Salt and pepper, to taste; 3/4 cup fresh or frozen sweet corn; ½ yellow onion, diced",585,18g,66g,44g
551484,blackened salmon tacos with cilantro yogurt sauce,https://spoonacular.com/recipeImages/551484-312x231.jpg,mexican,21,45,http://www.greensnchocolate.com/2013/07/blackened-salmon-tacos-with-cilantro-yogurt-sauce.html,920.91,83.0,331,False,False,True,False,2,"Combine all ingredients in medium bowl.  Refrigerate while making salmon and yogurt sauce.Combine all ingredients in food processor and pulse until well combined.Refrigerate while making salmon.Combine chili powder, paprika, brown sugar, cayenne, garlic powder, cumin, and salt and pepper in small bowl.Rub blackening seasoning over both sides of salmon. Heat oil in medium skillet over medium-high heat.Once oil is hot, add salmon.  Cook 3-4 minutes per side, or until it flakes easily and is cooked through.Spoon flaked salmon into warmed tortilla shells.Top with corn and avocado salsa and yogurt sauce. Enjoy!","Blackened salmon tacos with cilantro yogurt sauce might be just the main course you are searching for. For <b>$9.21 per serving</b>, this recipe <b>covers 52%</b> of your daily requirements of vitamins and minerals. One serving contains <b>809 calories</b>, <b>60g of protein</b>, and <b>41g of fat</b>. Plenty of people made this recipe, and 329 would say it hit the spot. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. It is a good option if you're following a <b>gluten free and pescatarian</b> diet. This recipe is typical of Mexican cuisine. If you have garlic powder, salt and pepper, cayenne pepper, and a few other ingredients on hand, you can make it. To use up the lime zest you could follow this main course with the <a href=""https://spoonacular.com/recipes/orange-marmalade-cookies-with-orange-zest-icing-589746"">Orange Marmalade Cookies with Orange Zest Icing</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/blackened-salmon-tacos-with-corn-salsa-and-cilantro-lime-ranch-543439"">Blackened Salmon Tacos with Corn Salsan and Cilantro Lime Ranch</a>, <a href=""https://spoonacular.com/recipes/blackened-salmon-tacos-with-corn-salsa-and-cilantro-lime-ranch-622459"">Blackened Salmon Tacos with Corn Salsan and Cilantro-Lime Ranch</a>, and <a href=""https://spoonacular.com/recipes/blackened-salmon-tacos-with-avocado-corn-salsa-cilantro-ranch-dressing-519728"">Blackened Salmon Tacos with Avocado Corn Salsa & Cilantro Ranch Dressing</a> for similar recipes.","1 avocado, diced; 2 tsp brown sugar; 1/4 cup buttermilk; 1 (14 oz) can of corn; 1 tbsp canola oil; 1/4-1/2 tsp cayenne pepper (depending on how spicy you like it); 2 tsp chili powder; 1/4 cup cilantro, chopped; 1/4 cup chopped cilantro; 1/2 tsp cumin; 1 clove garlic, diced; 1/2 tsp garlic powder; 2 tbsp green onions, diced; juice of 1 lime; zest of 1/2 lime; 1/2 cup plain Greek yogurt; 1/2 red onion, finely diced; 1 lb salmon, skinless; salt and pepper; salt and pepper, to taste; 1 tsp smoked paprika; 1 tomato, diced",809,41g,54g,60g
