id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
447965,Norwegian Potato Klub,https://spoonacular.com/recipeImages/447965-312x231.jpg,nordic,12,90,http://allrecipes.com/Recipe/Norwegian-Potato-Klub/,81.63,33.0,221,False,False,False,True,6,"Place bacon in a large skillet over medium-high heat. Remove bacon from the pan, and reserve the grease.                            In a medium bowl, stir together the flour and baking powder. Stir in potatoes to make a sticky dough.                            Bring a large pot of water to a boil, and add 2 teaspoons of salt. Squeeze the potato mixture into 6 or 7 dumplings, or your desired size. Drop carefully into the boiling water. Simmer for 45 to 60 minutes. Remove to a platter with a slotted spoon.                            Serve with bacon grease brushed over the top, and crumbled bacon. These may also be sliced and fried the next day for another great meal.                                                Kitchen-Friendly View","The recipe Norwegian Potato Klub is ready <b>in around 1 hour and 30 minutes</b> and is definitely a tremendous <b>dairy free</b> option for lovers of Scandinavian food. For <b>82 cents per serving</b>, this recipe <b>covers 28%</b> of your daily requirements of vitamins and minerals. One portion of this dish contains about <b>16g of protein</b>, <b>9g of fat</b>, and a total of <b>450 calories</b>. This recipe serves 6. If you have salt, baking powder, flour, and a few other ingredients on hand, you can make it. To use up the potatoes you could follow this main course with the <a href=""https://spoonacular.com/recipes/sweet-potatoes-scones-761388"">Sweet Potatoes Scones</a> as a dessert. It works well as a very reasonably priced main course. 221 person were impressed by this recipe. All things considered, we decided this recipe <b>deserves a spoonacular score of 95%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/norwegian-coleslaw-378025"">Norwegian Coleslaw</a>, <a href=""https://spoonacular.com/recipes/eggs-norwegian-78683"">Eggs Norwegian</a>, and <a href=""https://spoonacular.com/recipes/norwegian-flatbreads-121027"">Norwegian Flatbreads</a> for similar recipes.","6 slices bacon; 1/2 teaspoon baking powder; 2 cups all-purpose flour; 10 medium potatoes, peeled and shredded; 2 teaspoons salt",450,9g,76g,16g
535892,Swedish Meatballs,https://spoonacular.com/recipeImages/535892-312x231.jpg,nordic,33,40,http://DAMNDELICIOUS.NET/2014/02/21/swedish-meatballs/,306.26,22.0,123228,False,False,False,False,4,"Heat 1 tablespoon olive oil in a large skillet over medium heat. Add onion, and cook, stirring frequently, until onions have become translucent, about 2-3 minutes; set aside. In a large bowl, combine ground beef, ground pork, Panko, egg yolks, allspice, nutmeg and onion; season with salt and pepper, to taste. Using a wooden spoon or clean hands, stir until well combined. Roll the mixture into 1 1/4-to-1 1/2-inch meatballs, forming about 24 meatballs. Add remaining 1 tablespoon olive oil to the skillet. Add meatballs, in batches, and cook until all sides are browned, about 4-5 minutes. Transfer to a paper towel-lined plate. To make the gravy, melt butter in the skillet. Whisk in flour until lightly browned, about 1 minute. Gradually whisk in beef broth and cook, whisking constantly, until slightly thickened, about 1-2 minutes. Stir in sour cream; season with salt and pepper, to taste. Stir in meatballs and cook, stirring occasionally, until heated through and thickened, about 8-10 minutes. Serve immediately, garnished with parsley, if desired.","Swedish Meatballs might be just the <b>Scandinavian</b> recipe you are searching for. One serving contains <b>959 calories</b>, <b>46g of protein</b>, and <b>77g of fat</b>. For <b>$3.07 per serving</b>, this recipe <b>covers 32%</b> of your daily requirements of vitamins and minerals. Plenty of people really liked this main course. 123228 people have tried and liked this recipe. If you have olive oil, ground nutmeg, cream, and a few other ingredients on hand, you can make it. To use up the sour cream you could follow this main course with the <a href=""https://spoonacular.com/recipes/sour-cream-apple-pie-70374"">Sour Cream Apple Pie</a> as a dessert. From preparation to the plate, this recipe takes roughly <b>40 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 94%</b>. This score is outstanding. Try <a href=""https://spoonacular.com/recipes/swedish-meatballs-ikea-meatballs-911363"">Swedish Meatballs (Ikea Meatballs)</a>, <a href=""https://spoonacular.com/recipes/jens-swedish-meatballs-648565"">Jen's Swedish Meatballs</a>, and <a href=""https://spoonacular.com/recipes/swedish-meatballs-838324"">Swedish Meatballs</a> for similar recipes.","4 cups beef broth; 2 large egg yolks; 1/3 cup all-purpose flour; 2 tablespoons chopped fresh parsley leaves; 1/4 teaspoon ground allspice; 1 pound ground beef; 1/4 teaspoon ground nutmeg; 1 pound ground pork; Kosher salt and freshly ground black pepper, to taste; 2 tablespoons olive oil, divided; 1 onion, diced; 1/2 cup Panko*; 3/4 cup sour cream; 1/4 cup unsalted butter",958,77g,18g,46g
590459,Lighter Swedish Meatballs,https://spoonacular.com/recipeImages/590459-312x231.jpg,nordic,13,45,http://www.thecomfortofcooking.com/2013/06/lighter-swedish-meatballs.html,316.79,25.0,3078,False,False,False,False,3,"Preheat oven to 350 degrees F. Prepare a large baking sheet lined with aluminum foil and sprayed with nonstick cooking spray.In a large bowl, combine all ingredients and mix well with your hands. Shape into about 30 (1-inch) meatballs. Arrange meatballs on baking sheet. Bake 20 to 25 minutes, or until cooked through. Remove from oven and pat dry with paper towels (this helps the sauce stick better).Meanwhile, melt butter in a large skillet on medium-high heat. Stir in flour, bouillon granules and pepper. Gradually add milk, whisking constantly as you pour. Bring to a boil then reduce heat to a simmer, stirring frequently. Simmer 6-7 minutes, or until sauce has significantly thickened. Add meatballs to skillet, cooking until heated through.Serve on top of warm, cooked pasta, egg noodles or rice.Enjoy!","Lighter Swedish Meatballs might be just the <b>Scandinavian</b> recipe you are searching for. For <b>$3.14 per serving</b>, you get a main course that serves 3. One serving contains <b>507 calories</b>, <b>50g of protein</b>, and <b>14g of fat</b>. This recipe from The Comfort of Cooking has 3077 fans. If you have bread crumbs, garlic powder, egg, and a few other ingredients on hand, you can make it. To use up the dry bread crumbs you could follow this main course with the <a href=""https://spoonacular.com/recipes/gluten-free-dairy-free-coconut-tarts-562100"">Gluten Free Dairy Free Coconut Tarts</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 93%</b>. This score is awesome. Similar recipes include <a href=""https://spoonacular.com/recipes/swedish-meatballs-ikea-meatballs-911363"">Swedish Meatballs (Ikea Meatballs)</a>, <a href=""https://spoonacular.com/recipes/swedish-meatballs-630947"">Swedish Meatballs</a>, and <a href=""https://spoonacular.com/recipes/swedish-ish-meatballs-471124"">Swedish-ish Meatballs</a>.","2 teaspoons beef bouillon granules; 2 tablespoons butter; 2 cups cooked pasta, egg noodles or rice; 1/3 cup fine dry bread crumbs; 1 large egg; 2 cups fat-free milk; 2 tablespoons flour; 1/4 teaspoon garlic powder; 1/4 teaspoon ground allspice; 1/4 teaspoon ground black pepper; 1 teaspoon kosher salt; 1 pound lean ground beef or ground turkey; 2 teaspoons minced onions, dry (recommended) or fresh",513,14g,46g,51g
943242,Mom's Swedish Meatballs,https://spoonacular.com/recipeImages/943242-312x231.jpg,nordic,30,70,https://www.tasteofhome.com/recipes/mom-s-swedish-meatballs,239.74,29.0,932,False,False,False,False,6,"Directions                                                                                                                    In a large bowl, combine the first six ingredients. Add beef; mix lightly but thoroughly. Shape into 1-1/2-in. meatballs (about 36). In a large skillet over medium heat, brown meatballs in batches. Using a slotted spoon, remove to paper towels to drain, reserving drippings in pan.                                                                                                                               For gravy, stir flour into drippings; cook over medium-high heat until light brown (do not burn). Gradually whisk in milk until smooth. Stir in the consomme, Worcestershire sauce, pepper and salt. Bring to a boil over medium-high heat; cook and stir for 2 minutes or until thickened.                                                                                                                               Reduce heat to medium-low; return meatballs to pan. Cook, uncovered, 15-20 minutes longer or until meatballs are cooked through, stirring occasionally.                                                                                                                               Meanwhile, cook noodles according to package directions. Drain; toss with butter. Serve with meatball mixture; sprinkle with parsley.                                                    Yield: 6 servings.                                                                                                                                                                                                                                 Originally published as Moms Swedish Meatballs in  Taste of HomeFebruary/March 2013                                                                                                                                                                                                                                                                                  window._taboola = window._taboola || [];                  _taboola.push({                    mode: 'thumbnails-i',                    container: 'taboola-native-stream-thumbnails',                    placement: 'Native Stream Thumbnails Redesign',                    target_type: 'mix'                  });","Mom's Swedish Meatballs takes around <b>1 hour and 10 minutes</b> from beginning to end. This recipe serves 6 and costs $2.37 per serving. This main course has <b>928 calories</b>, <b>46g of protein</b>, and <b>47g of fat</b> per serving. 932 people have made this recipe and would make it again. Plenty of people really liked this Scandinavian dish. It is brought to you by Taste of Home. If you have seasoned bread crumbs, worcestershire sauce, parsley, and a few other ingredients on hand, you can make it. To use up the flour you could follow this main course with the <a href=""https://spoonacular.com/recipes/apple-tart-with-caramel-sauce-47961"">Apple Tart with Caramel Sauce</a> as a dessert. With a spoonacular <b>score of 75%</b>, this dish is solid. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/moms-swedish-meatballs-431655"">Mom’s Swedish Meatballs</a>, <a href=""https://spoonacular.com/recipes/swedish-meatballs-ikea-meatballs-911363"">Swedish Meatballs (Ikea Meatballs)</a>, and <a href=""https://spoonacular.com/recipes/swedish-meatballs-497719"">Swedish Meatballs</a>.","2 cans (10-1/2 ounces each) condensed beef consomme, undiluted; 1/4 cup butter, cubed; 1 package (16 ounces) egg noodles; 2 large eggs, lightly beaten; 1/2 cup all-purpose flour; 1/4 cup minced fresh parsley; 1/3 cup minced fresh parsley; 2 pounds ground beef; 1 teaspoon coarsely ground pepper; 2-3/4 cups 2% milk; 1 medium onion, chopped; 3/4 teaspoon salt; 3/4 cup seasoned bread crumbs; 1 tablespoon Worcestershire sauce",934,47g,79g,46g
611645,New Nordic HADDOCK on SHREDDED VEGETABLES with ALMOND GREMOLATA,https://spoonacular.com/recipeImages/611645-312x231.jpg,nordic,5,60,http://www.panningtheglobe.com/2014/09/12/new-nordic-haddock-shredded-vegetables-almond-gremolata/,584.99,55.0,25,False,False,True,False,4,"Preheat the oven to 400F.Make the Yogurt Sauce Stir all the ingredients together and keep covered in the fridge.Make the Gremolata Heat 2 tablespoon olive oil in a small non-stick skillet over medium heat. Add the shallots, almonds and lemon zest and garlic. Cook, stirring, for 2 minutes until fragrant and softened a bit. Set aside.Cook the Vegetables and Fish: In a large bowl, toss the shredded vegetables with 2 tablespoons olive oil,  teaspoon salt and several grinds of black pepper. Spread veggies out in a large casserole dish and cook in the hot oven for 10 minutes. Remove casserole from the oven. Place fish on top of the vegetables. Drizzle 2 tablespoon olive oil and sprinkle 3 tablespoons lemon juice over the fish. Season the fish with  teaspoon salt and several grinds of black pepper. Sprinkle the gremolata over the fish and vegetables. Put the casserole in the oven and cook for 8-10 minutes, until the fish is just cooked through. (timing will vary based on the thickness of the fish)To Serve: Divide vegetables and fish between 4-5 plates. Decorate plates with fennel fronds, if you like. Serve with lemony yogurt sauce on the side.","New Nordic HADDOCK on SHREDDED VEGETABLES with ALMOND GREMOLATA might be just the <b>Scandinavian</b> recipe you are searching for. This gluten free, primal, and pescatarian recipe serves 4 and costs <b>$5.85 per serving</b>. This main course has <b>308 calories</b>, <b>39g of protein</b>, and <b>9g of fat</b> per serving. 25 people have made this recipe and would make it again. A mixture of kosher salt, yogurt, salt, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the lemon juice you could follow this main course with the <a href=""https://spoonacular.com/recipes/lemon-shortbread-cookies-with-lemon-icing-a-tribute-to-aunt-roxanne-487814"">Lemon Shortbread Cookies with Lemon Icing {A Tribute to Aunt Roxanne}</a> as a dessert. From preparation to the plate, this recipe takes around <b>1 hour</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 92%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/haddock-with-fresh-summer-vegetables-86380"">Haddock With Fresh Summer Vegetables</a>, <a href=""https://spoonacular.com/recipes/roasted-vegetables-with-gremolata-379483"">Roasted Vegetables with Gremolata</a>, and <a href=""https://spoonacular.com/recipes/roasted-vegetables-with-pecan-gremolata-11034"">Roasted Vegetables With Pecan Gremolata</a> for similar recipes.","1 bunch of asparagus, tough ends cut off, sliced lengthwise into quarters and then in half crosswise (or if you find the super thin asparagus, just cut them in half crosswise); 2 tablespoons extra virgin olive oil; 1 fennel bulb, trimmed, cored and thinly sliced by hand or with a mandolin (reserve fronds for garnish); 1 small garlic clove, pressed or finely minced; 4 cups finely shredded green cabbage (1/3 - ½ cabbage); Fresh ground black pepper; 1¾ pounds skinless boneless haddock fillets (or substitute cod); Kosher Salt; 3 tablespoons fresh lemon juice (1 juicy lemon); 4 teaspoons lemon juice; 1 teaspoon lemon zest; ¾ cup low fat plain yogurt; 2 tablespoons chopped parsley; Pinch of salt; 3½ tablespoons minced shallots (1 large or 2 small)",308,9g,19g,39g
119039,Swedish Pot Roast,https://spoonacular.com/recipeImages/119039-312x231.jpg,nordic,20,500,http://www.food.com/recipe/swedish-pot-roast-136916,380.43,100.0,1,False,False,True,True,4,,"The recipe Swedish Pot Roast could satisfy your Scandinavian craving in approximately <b>8 hours and 20 minutes</b>. This recipe makes 4 servings with <b>712 calories</b>, <b>57g of protein</b>, and <b>18g of fat</b> each. For <b>$3.76 per serving</b>, this recipe <b>covers 51%</b> of your daily requirements of vitamins and minerals. It works well as a main course. Only a few people made this recipe, and 1 would say it hit the spot. If you have potatoes, carrots, cider vinegar, and a few other ingredients on hand, you can make it. To use up the onions you could follow this main course with the <a href=""https://spoonacular.com/recipes/candy-corn-cupcakes-63881"">Candy Corn Cupcakes</a> as a dessert. It is a good option if you're following a <b>gluten free and dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 90%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/swedish-pot-roast-84715"">Swedish Pot Roast</a>, <a href=""https://spoonacular.com/recipes/slow-cooker-balsamic-pot-roast-926670"">Slow Cooker Balsamic Pot Roast</a>, and <a href=""https://spoonacular.com/recipes/lammstek-swedish-roast-leg-of-lamb-97188"">Lammstek &ndash; Swedish Roast Leg of Lamb</a> for similar recipes.","4 bay leaves; 2 -3 lbs chuck roast or 2 -3 lbs beef brisket; 1/2 cup brown sugar; 6 carrots, cut in bite sized chunks; 1/2 cup red wine vinegar or 1/2 cup cider vinegar; 1 teaspoon cinnamon; 1/2 teaspoon ginger; 1 teaspoon nutmeg; 2 large onions, sliced; 1/2 teaspoon pepper; 6 medium potatoes, quartered; salt and pepper, to taste",720,18g,84g,57g
630947,Swedish Meatballs,https://spoonacular.com/recipeImages/630947-312x231.jpg,nordic,9,50,http://www.eatingwell.com/recipes/swedish_meatballs.html,226.82,20.0,241,False,False,False,False,5,"Combine onion, bread crumbs, 1/4 teaspoon salt, pepper, nutmeg and cardamom (if using) in a large bowl. Add turkey and pork; gently mix to combine (do not overmix). Using a scant 2 tablespoons for each, make about 20 meatballs.Heat oil in a large nonstick skillet over medium heat. Add the meatballs and cook, turning occasionally and reducing the heat if the pan gets too hot, until almost cooked through, 10 to 12 minutes. Transfer to a plate.Add mushrooms to the pan and increase heat to medium-high. Cook, stirring occasionally, until their liquid has been released and evaporated, 8 to 10 minutes.Whisk broth and flour in a bowl and add to the pan along with the meatballs. Bring to a simmer and cook until the meatballs are just cooked through and the sauce is thickened, about 2 minutes. Remove from the heat. Add sour cream, parsley, jam and the remaining 1/2 teaspoon salt to the sauce; gently stir until combined.","Swedish Meatballs might be just the main course you are searching for. One serving contains <b>315 calories</b>, <b>24g of protein</b>, and <b>17g of fat</b>. This recipe serves 5 and costs $2.27 per serving. This recipe from Eating Well has 241 fans. Head to the store and pick up ground turkey breast, chicken broth, breadcrumbs, and a few other things to make it today. To use up the ground cardamom you could follow this main course with the <a href=""https://spoonacular.com/recipes/cardamom-cookies-342420"">Cardamom Cookies</a> as a dessert. This recipe is typical of Scandinavian cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 91%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/swedish-meatballs-ikea-meatballs-911363"">Swedish Meatballs (Ikea Meatballs)</a>, <a href=""https://spoonacular.com/recipes/dads-swedish-meatballs-423313"">Dad's Swedish Meatballs</a>, and <a href=""https://spoonacular.com/recipes/swedish-meatballs-497719"">Swedish Meatballs</a> for similar recipes.","1 pound button mushrooms, sliced; 1 14-ounce can reduced-sodium chicken broth; 1/4 cup dry whole-wheat breadcrumbs (see Tip); 1/4 cup finely chopped flat-leaf parsley; 1/4 cup all-purpose flour; 1/4 teaspoon ground cardamom (optional); 8 ounces ground pork; 8 ounces ground turkey breast; 1/2 cup reduced-fat sour cream; 1/4 teaspoon freshly grated nutmeg; 1 tablespoon extra-virgin olive oil; 1/2 cup finely chopped onion; 1/2 teaspoon freshly ground pepper; 1 tablespoon lingonberry or seedless raspberry jam; 3/4 teaspoon salt, divided",315,17g,18g,24g
533097,Swedish Lamb Stew with Pears,https://spoonacular.com/recipeImages/533097-312x231.jpg,nordic,7,150,http://toriavey.com/history-kitchen/2013/09/swedish-lamb-stew-with-pears/,268.36,54.0,9,False,False,True,True,8,"Preheat oven to 325 degrees. Season the meat with salt and pepper. In a dutch oven, brown the lamb pieces in olive oil till they form a dark crust. Remove and set aside.In the same pan, brown the onions and garlic. Be sure to scrape up any brown bits from the bottom of the pan.Once the onions and garlic and tender and have some color, return the lamb to the pan.Make an herb bouquet by tying the thyme, parsley and bay leaf together with cooking twine. Add 2 tsp salt, 1/2 tsp pepper, herb bouquet and enough water to cover. I used 6 cups of water, but this may vary slightly based on the size of your pan.Cover and cook in the preheated oven for 1 hour. Remove from oven and add the pears, potatoes and string beans to the pan.Cover and cook for an additional hour, or longer if needed, till lamb is very tender and pears, potatoes and beans are cooked through and tender.Remove the meat and lay in a mound in the center of a serving dish. Surround with the vegetables and pears.Remove the herb bundle from the sauce. The book suggests thickening the sauce into gravy by ricing one of the potatoes and adding it to the cooking liquid. I tried this, but it was still a bit on the thin side, so instead I added 1 tbsp of corn starch mixed with a little cold water (corn starch wasn't commonly used as a thickener till after this cookbook was published, so this was a slight modernization). I simmered it in the remaining sauce till it thickened into a nice gravy. You can add more cornstarch mixed with water to thicken it further, if desired. Season with salt and pepper to taste (I used lots of pepper!).Serve the stew with hot gravy to pour over each serving. Serve.","The recipe Swedish Lamb Stew with Pears could satisfy your Scandinavian craving in about <b>2 hours and 30 minutes</b>. Watching your figure? This gluten free, dairy free, and whole 30 recipe has <b>366 calories</b>, <b>33g of protein</b>, and <b>13g of fat</b> per serving. For <b>$2.68 per serving</b>, you get a main course that serves 8. It will be a hit at your <b>Autumn</b> event. Only a few people made this recipe, and 9 would say it hit the spot. Head to the store and pick up olive oil, onion, salt, and a few other things to make it today. To use up the water you could follow this main course with the <a href=""https://spoonacular.com/recipes/watermelon-peach-slushies-507207"">Watermelon-Peach Slushies</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 93%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/lammstek-swedish-roast-leg-of-lamb-97188"">Lammstek &ndash; Swedish Roast Leg of Lamb</a>, <a href=""https://spoonacular.com/recipes/lamb-shanks-with-pears-and-pistachios-15681"">Lamb Shanks With Pears And Pistachios</a>, and <a href=""https://spoonacular.com/recipes/one-pot-wonders-lamb-with-sweet-pears-and-leeks-16294"">One Pot Wonders: Lamb With Sweet Pears And Leeks</a> for similar recipes.","1 bay leaf; 1 clove garlic, minced; 4 lbs lamb shoulder meat cut into chunks - if your butcher has some lamb bone chunks, you can throw those into the stew for more flavor; 3 tbsp olive oil; 1 sprig parsley; 4 pears, peeled, cored and halved; 1/2 tsp pepper; 4 medium potatoes, peeled and quartered; 2 tsp salt; 2/3 lb string beans, trimmed; 1 sprig thyme; 6 cups water; 1 yellow onion",366,13g,31g,33g
548688,Low Calorie Swedish Meatballs – 5 Points,https://spoonacular.com/recipeImages/548688-312x231.jpg,nordic,9,70,http://www.laaloosh.com/2012/06/13/low-calorie-swedish-meatballs-recipe/,324.96,24.0,1545,False,False,False,False,4,"InstructionsPreheat oven to 350. Spray a 9×13 baking dish with non-fat cooking spray, and place in oven while preheating.In a food processor, mince onion, parsley, garlic and celery.Place it in a large bowl, and add in beef, egg, breadcrumbs, cinnamon, nutmeg, ginger, cardamom and salt and pepper to taste. Combine well with hands.Form mixture in 24 meatballs (about 1” each). Remove baking dish from oven and place meatballs about 1/2 inch apart in the hot baking dish. Press down to flatten the bottom just slightly.Bake for 15 minutes in oven, then turn over and continue baking for 10 more minutes.Spray a large nonstick skillet with non-fat cooking spray. Add in beef broth and bring to a boil. Turn heat down to a low simmer and gently add in the meatballs. Cover and let cook for 25 minutes.Remove meatballs with a slotted spoon and set aside.Add cream cheese into broth, and slowly whisk in until cream cheese and well combined.Then add in the sliced mushrooms and cook for about 5 minutes. Pour sauce over meatballs, garnish with additional parsley and serve.","Low Calorie Swedish Meatballs – 5 Points might be just the <b>Scandinavian</b> recipe you are searching for. For <b>$3.37 per serving</b>, this recipe <b>covers 27%</b> of your daily requirements of vitamins and minerals. One serving contains <b>346 calories</b>, <b>34g of protein</b>, and <b>15g of fat</b>. It works well as a rather expensive main course. This recipe from Laa Loosh has 1545 fans. A mixture of extra ground beef, breadcrumbs, cinnamon, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the cream cheese you could follow this main course with the <a href=""https://spoonacular.com/recipes/cream-cheese-dessert-wedges-139619"">Cream Cheese Dessert Wedges</a> as a dessert. From preparation to the plate, this recipe takes around <b>1 hour and 10 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 90%</b>. This score is spectacular. Similar recipes include <a href=""https://spoonacular.com/recipes/low-calorie-sloppy-joe-7-points-548914"">Low Calorie Sloppy Joe – 7 Points</a>, <a href=""https://spoonacular.com/recipes/low-calorie-pumpkin-pie-5-points-621122"">Low Calorie Pumpkin Pie – 5 Points</a>, and <a href=""https://spoonacular.com/recipes/low-calorie-cheesecake-brownies-2-points-548882"">Low Calorie Cheesecake Brownies – 2 Points</a>.","3 cups fat free beef stock; 2 large celery stalks, chopped; 1/4 tsp cinnamon; 3oz fat free cream cheese; 1 egg; 1 lb extra lean ground beef (94-95% lean); 3 garlic cloves; 1/8 tsp ground cardamom; 1/8 tsp ground ginger; 8oz sliced mushrooms; 1/4 tsp nutmeg; 1 large onion, chopped; 1/3 cup parsley, finely chopped; 1/4 cup whole wheat breadcrumbs",322,15g,15g,34g
119485,Finnish Pasties,https://spoonacular.com/recipeImages/119485-312x231.png,nordic,22,60,http://www.food.com/recipe/finnish-pasties-234796,172.83,40.0,21,False,False,False,True,8,,"Finnish Pasties might be just the <b>Scandinavian</b> recipe you are searching for. This recipe serves 8 and costs $1.73 per serving. Watching your figure? This dairy free recipe has <b>774 calories</b>, <b>34g of protein</b>, and <b>37g of fat</b> per serving. 21 person have made this recipe and would make it again. Head to the store and pick up salt, carrots, onion, and a few other things to make it today. It works well as a reasonably priced main course. From preparation to the plate, this recipe takes around <b>1 hour</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 89%</b>. This score is excellent. Similar recipes are <a href=""https://spoonacular.com/recipes/finnish-pancake-143193"">Finnish Pancake</a>, <a href=""https://spoonacular.com/recipes/finnish-crescents-741067"">Finnish Crescents</a>, and <a href=""https://spoonacular.com/recipes/finnish-cauliflower-376377"">Finnish Cauliflower</a>.","1 beef bouillon cube (or 1 tablespoon beef base); 2 carrots , shredded; 4 1/2 cups flour; 1 teaspoon ground black pepper; 1/2 lb ground lean pork; 1 1/4 cups ice water; 1 1/2 lbs lean ground beef; 1 onion , diced; 5 1/2 cups thinly sliced potatoes; 1/2 cup diced rutabaga; 1 teaspoon salt; 1 cup shortening; 1/2 cup hot water",774,37g,75g,34g
