id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
695157,Sweet Potato & Black Bean Chili,https://spoonacular.com/recipeImages/695157-312x231.jpg,american,8,40,http://www.eatingwell.com/recipes/sweet_potato_black_bean_chili.html,139.88,75.0,31356,True,True,True,True,4,"Heat oil in a Dutch oven over medium-high heat. Add sweet potato and onion and cook, stirring often, until the onion is beginning to soften, about 4 minutes. Add garlic, chili powder, cumin, chipotle and salt and cook, stirring constantly, for 30 seconds. Add water and bring to a simmer. Cover, reduce heat to maintain a gentle simmer and cook until the sweet potato is tender, 10 to 12 minutes.Add beans, tomatoes and lime juice; increase heat to high and return to a simmer, stirring often. Reduce heat and simmer until slightly reduced, about 5 minutes. Remove from heat and stir in cilantro.","The recipe Sweet Potato & Black Bean Chili could satisfy your American craving in roughly <b>40 minutes</b>. One serving contains <b>322 calories</b>, <b>16g of protein</b>, and <b>6g of fat</b>. For <b>$1.32 per serving</b>, this recipe <b>covers 28%</b> of your daily requirements of vitamins and minerals. Plenty of people made this recipe, and 31356 would say it hit the spot. A mixture of water, medium-large sweet potato, ground cumin, and a handful of other ingredients are all it takes to make this recipe so delicious. To use up the sweet potato you could follow this main course with the <a href=""https://spoonacular.com/recipes/sweet-potato-dessert-squares-389106"">Sweet Potato Dessert Squares</a> as a dessert. It works well as an affordable main course for <b>The Super Bowl</b>. It is a good option if you're following a <b>gluten free and vegan</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/sweet-potato-black-bean-chili-372089"">Sweet Potato & Black Bean Chili</a>, <a href=""https://spoonacular.com/recipes/sweet-potato-black-bean-chili-for-two-696800"">Sweet Potato & Black Bean Chili for Two</a>, and <a href=""https://spoonacular.com/recipes/sweet-potato-and-black-bean-chili-197406"">Sweet Potato and Black Bean Chili</a> for similar recipes.","2 15-ounce cans black beans, rinsed; 1 14-ounce can diced tomatoes; 2 tablespoons chili powder; 1/2 cup chopped fresh cilantro; 4 cloves garlic, minced; 1/2 teaspoon ground chipotle chile (see Note); 4 teaspoons ground cumin; 4 teaspoons lime juice; 1 tablespoon plus 2 teaspoons extra-virgin olive oil; 1 large onion, diced; 1/4 teaspoon salt; 1 medium-large sweet potato, peeled and diced; 2 1/2 cups water",345,6g,62g,17g
563227,Spicy Three-Bean and Corn Chili,https://spoonacular.com/recipeImages/563227-312x231.jpg,american,12,45,http://joanne-eatswellwithothers.com/2013/11/spicy-three-bean-and-corn-chili.html,141.95,100.0,705,True,True,True,True,6,"If using dried beans, put in a large pot and cover with salted water. Bring to a boil, then cover and simmer until tender, about an hour. Remove from the heat and drain, reserving the cooking liquid.In a large pot, heat the olive oil over medium heat. Add in the onion, sweet potato and garlic. Cook over medium heat, stirring occasionally for 8 minutes, or until the vegetables are tender.Add the drained beans, corn, chiles, and tomato to the pot. Stir to combine. Add in 4 cups of the bean liquid and bring to a simmer. Stir in the vinegar, brown sugar, chili powder, smoked paprika, and white pepper. Simmer for 30 minutes, stirring occasionally, or until the mixture thickens a bit. Season to taste.Serve topped with cheese or sour cream.","Spicy Three-Bean and Corn Chili might be just the main course you are searching for. This gluten free and vegan recipe serves 6 and costs <b>$1.32 per serving</b>. One serving contains <b>359 calories</b>, <b>15g of protein</b>, and <b>8g of fat</b>. It will be a hit at your <b>The Super Bowl</b> event. 705 people have made this recipe and would make it again. This recipe is typical of American cuisine. If you have sherry vinegar, beans, paprika, and a few other ingredients on hand, you can make it. To use up the black beans you could follow this main course with the <a href=""https://spoonacular.com/recipes/black-beans-and-sweet-potato-dessert-249663"">Black Beans and Sweet Potato Dessert</a> as a dessert. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/spicy-two-bean-chili-373619"">Spicy Two-Bean Chili</a>, <a href=""https://spoonacular.com/recipes/spicy-three-bean-chili-375250"">Spicy Three-Bean Chili</a>, and <a href=""https://spoonacular.com/recipes/spicy-3-bean-chili-249639"">Spicy 3-Bean Chili</a> for similar recipes.","1 tbsp ancho chili powder; 2 tbsp brown sugar; 28 oz canned diced tomatoes; 4 oz minced mild green chiles; 2 tsp cocoa powder; 1 (15 oz) can corn kernels, drained; 2/3 cup dried black beans, soaked overnight; 2/3 cup dried chickpeas, soaked overnight; 2/3 cup dried pinto beans, soaked overnight; 2 garlic cloves, minced; 2 tbsp olive oil; 1 onion, cut into 1/2-inch pieces; salt, to taste; 1 tbsp sherry vinegar; 1 tbsp smoked paprika; 1 medium sweet potato, peeled and cut into 1/2-inch pieces; 1/2 tsp freshly ground white pepper",421,8g,75g,18g
613300,PB + C + J Protein French Toast (gluten free!),https://spoonacular.com/recipeImages/613300-312x231.jpg,american,9,15,http://www.nutritionistinthekitch.com/2014/09/24/pb-c-j-protein-french-toast-gluten-free/,149.98,100.0,50,False,False,True,True,1,"In a bowl combine egg whites, cocoa, protein, water, and flax and stir until a smooth consistency is reached.On a large plate line up the pieces of bread.Pour half of the mixture evenly over each piece of bread and spread over to cover each slice evenly.Let the mixture soak in for a minute or two and flip each piece and repeat with the remaining cocoa mixture on the other side of each piece of bread.Heat a non-stick pan at medium heat, once hot, add in 1 piece of the soaked bread and let cook for 1-2 minutes, then flip and cook for 1-2 minutes more. Repeat with each slice of soaked bread.You may need to scoop the excess cocoa mixture back onto the bread if it hasn't soaked in.Stack your bread and serve with nut butter and jam!Enjoy!","You can never have too many main course recipes, so give PB + C + J Protein French Toast (gluten free!) a try. For <b>$1.5 per serving</b>, this recipe <b>covers 32%</b> of your daily requirements of vitamins and minerals. One serving contains <b>325 calories</b>, <b>29g of protein</b>, and <b>13g of fat</b>. 50 people have tried and liked this recipe. From preparation to the plate, this recipe takes around <b>15 minutes</b>. A mixture of berry jam, ground flaxseed, egg whites, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the water you could follow this main course with the <a href=""https://spoonacular.com/recipes/watermelon-peach-slushies-507207"">Watermelon-Peach Slushies</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/banana-bread-french-toast-with-caramelized-bananas-gluten-free-paleo-+-dairy-free-799224"">Banana Bread French Toast with Caramelized Bananas (Gluten Free, Paleo + Dairy Free)</a>, <a href=""https://spoonacular.com/recipes/french-toast-gluten-free-lactose-casein-free-142898"">French Toast [gluten-Free, Lactose & Casein Free]</a>, and <a href=""https://spoonacular.com/recipes/french-toast-bagels-gluten-free-768658"">French Toast Bagels – Gluten Free</a> for similar recipes.",½ scoop (2 tablespoons) chocolate protein powder (vegan based or whey)**; ½ tablespoon raw cocoa powder; 2 egg whites; 3 slices whole grain or gluten free bread**; 1 tablespoon ground flaxseed; 1 tablespoon organic berry jam**; 1 tablespoon natural peanut butter (or almond/cashew/hazelnut/sunflower butter); 1 tablespoon water,325,13g,30g,29g
695678,No-Bake Macaroni & Cheese,https://spoonacular.com/recipeImages/695678-312x231.jpg,american,12,25,http://www.eatingwell.com/recipes/no_bake_macaroni_cheese.html,108.34,72.0,5197,False,False,False,False,4,,"No-Bake Macaroni & Cheese might be just the main course you are searching for. For <b>$1.08 per serving</b>, this recipe <b>covers 31%</b> of your daily requirements of vitamins and minerals. One serving contains <b>452 calories</b>, <b>24g of protein</b>, and <b>12g of fat</b>. Plenty of people made this recipe, and 5197 would say it hit the spot. Head to the store and pick up salt, parmesan cheese, flour, and a few other things to make it today. To use up the salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/apple-turnovers-recipe-48175"">Apple Turnovers Recipe</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>25 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/macaroni-and-cheese-home-made-macaroni-and-cheese-is-a-comfort-food-that-is-hard-to-beat-you-can-put-away-the-pre-packaged-macaroni-and-cheese-at-the-store-600947"">Macaroni and Cheese – home made macaroni and cheese is a comfort food that is hard to beat. You can put away the pre packaged macaroni and cheese at the store</a>, <a href=""https://spoonacular.com/recipes/macaroni-cheese-bake-429937"">Macaroni & Cheese Bake</a>, and <a href=""https://spoonacular.com/recipes/tuscan-macaroni-and-cheese-bake-569606"">Tuscan Macaroni and Cheese Bake</a> for similar recipes.","1 10-ounce package frozen chopped broccoli; 1 teaspoon Dijon mustard; 3 tablespoons flour; 1/2 teaspoon garlic powder; 1/4 teaspoon ground white pepper; 1 3/4 cups low-fat milk, divided; 1/4 cup shredded Parmesan cheese; 1/2 teaspoon salt; 3/4 cup shredded extra-sharp Cheddar cheese; 8 ounces whole-wheat elbow noodles (2 cups)",444,11g,68g,24g
509632,Crockpot Pulled Pork Chili,https://spoonacular.com/recipeImages/509632-312x231.jpg,american,10,610,http://paleomg.com/crockpot-pulled-pork-chili/,374.5,100.0,4274,False,False,True,True,6,"Place the pork roast in a crock pot.Press a knife into the roast in 3 spots and press the peeled garlic cloves into the holes made from the knife.Pour hot sauce over meat.Sprinkle the paprika, garlic powder, chili powder, cumin, cayenne pepper, red pepper flakes, and salt on top of the roast.Place diced onions, peppers, tomatoes and tomatoes sauce on top of the roast.Cover and cook for 8-10 hours on low.Garnish with sliced avocado and green onions.","The recipe Crockpot Pulled Pork Chili could satisfy your American craving in about <b>10 hours and 10 minutes</b>. One serving contains <b>431 calories</b>, <b>39g of protein</b>, and <b>22g of fat</b>. This recipe serves 6 and costs $3.75 per serving. It works well as a rather expensive main course for <b>The Super Bowl</b>. 4274 people have tried and liked this recipe. It is a good option if you're following a <b>gluten free, dairy free, and whole 30</b> diet. Head to the store and pick up green onions, chili powder, paprika, and a few other things to make it today. To use up the salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/apple-turnovers-recipe-48175"">Apple Turnovers Recipe</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is spectacular. Similar recipes include <a href=""https://spoonacular.com/recipes/crockpot-pulled-pork-chili-525278"">Crockpot Pulled Pork Chili</a>, <a href=""https://spoonacular.com/recipes/easy-pulled-pork-tenderloin-sweet-chili-pulled-pork-552345"">Easy Pulled Pork Tenderloin - Sweet Chili Pulled Pork</a>, and <a href=""https://spoonacular.com/recipes/best-pulled-pork-ever-in-the-crockpot-609074"">Best Pulled Pork Ever {in the crockpot}</a>.","avocado, sliced (to garnish); 2 ounce cans of fire roasted tomatoes; 1 ounce can of tomato sauce; 2 teaspoons cayenne pepper; 2 tablespoon chili powder; 1 tablespoon cumin; 3 garlic cloves, peeled; 2 tablespoons garlic powder; green onions, diced (to garnish); ½ cup hot sauce; 2 pound pork roast (excess fat trimmed); 1 red bell pepper, diced; 1 heaping tablespoon red pepper flakes; lots of salt; 3 tablespoons smoked paprika; 1 yellow bell pepper, diced; 2 yellow onions, diced",431,22g,23g,39g
727384,Spicy Two-Bean Vegetarian Chili,https://spoonacular.com/recipeImages/727384-312x231.jpg,american,9,45,http://www.epicurious.com/recipes/food/views/Spicy-Two-Bean-Vegetarian-Chili-107274,143.69,100.0,236,True,True,False,True,6,"Preparation                                        Heat 2 tablespoons olive oil in heavy large pot over medium-high heat. Add onion, carrots, red bell pepper, and jalapeos and saut until onion and carrots are almost tender, about 8 minutes. Add tomatoes, 3 cups water, beans, bulgur, white wine vinegar, garlic, and spices. Bring to boil. Reduce heat to medium-high and cook, uncovered, until bulgur is tender and mixture thickens, stirring often, about 20 minutes. Ladle chili into bowls and serve.                                                                            Also called cracked wheat; available at natural foods stores and supermarkets.","The recipe Spicy Two-Bean Vegetarian Chili could satisfy your American craving in around <b>45 minutes</b>. This vegan recipe serves 6 and costs <b>$1.41 per serving</b>. One serving contains <b>408 calories</b>, <b>21g of protein</b>, and <b>7g of fat</b>. Plenty of people really liked this main course. 236 people have tried and liked this recipe. It will be a hit at your <b>The Super Bowl</b> event. Head to the store and pick up ground cumin, beans, canned tomatoes, and a few other things to make it today. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/spicy-vegetarian-chili-727414"">Spicy Vegetarian Chili</a>, <a href=""https://spoonacular.com/recipes/spicy-vegetarian-chili-245844"">Spicy Vegetarian Chili</a>, and <a href=""https://spoonacular.com/recipes/spicy-vegetarian-chili-286187"">Spicy Vegetarian Chili</a> for similar recipes.","1/2 cup bulgur*; 2 15-ounce cans black beans, rinsed, drained; 2 15-ounce cans kidney beans, rinsed, drained; 1 28-ounce can crushed tomatoes with added puree; 2 carrots, peeled, thinly sliced; 2 tablespoons chili powder; 3 large jalapeño chilies, seeded, minced (about 4 1/2 tablespoons); 5 garlic cloves, minced; 1/2 teaspoon ground cinnamon; 1 1/2 teaspoons ground coriander; 1 1/2 teaspoons ground cumin; 2 tablespoons olive oil; 1 onion, chopped; 1 red bell pepper, seeded, chopped; 3 cups water; 2 tablespoons white wine vinegar",410,7g,72g,21g
523649,Lentil & Quinoa Chili,https://spoonacular.com/recipeImages/523649-312x231.png,american,10,70,http://www.ambitiouskitchen.com/2013/09/lentil-quinoa-chili-vegan-gluten-free/,188.7,88.0,5606,True,True,True,True,7,"Heat olive oil in large pot over medium-high heat. Once oil is hot, add garlic and cook for a minute or until fragrant and slightly golden. Add onion and red pepper and cook for 3-5 minutes or until onion is translucent. Add in tomatoes, cumin, chili, cinnamon, curry powder and salt and pepper; bring to a boil, then lower heat and simmer for 6-8 minutes or until tomatoes begin to break down.Add broth, quinoa, and lentils; bring back to a boil. Cover, reduce heat, and simmer for 30-40 minutes or until lentils are tender and quinoa has expanded.Stir in black beans, kidney beans, and cilantro. You can add a bit more broth if you feel you do not have enough, either way chili will continue to thicken. Taste and adjust seasonings if needed. Simmer a few minutes more. Serves 7; about 1 cup each. Top with avocado if desired.","Lentil & Quinoa Chili might be just the <b>American</b> recipe you are searching for. This recipe makes 7 servings with <b>417 calories</b>, <b>17g of protein</b>, and <b>17g of fat</b> each. For <b>$1.9 per serving</b>, this recipe <b>covers 31%</b> of your daily requirements of vitamins and minerals. It can be enjoyed any time, but it is especially good for <b>The Super Bowl</b>. Plenty of people really liked this main course. 5606 people have tried and liked this recipe. Head to the store and pick up garlic, vegetarian broth, chili powder, and a few other things to make it today. To use up the cumin you could follow this main course with the <a href=""https://spoonacular.com/recipes/moroccan-chocolate-mousse-752536"">Moroccan Chocolate Mousse</a> as a dessert. From preparation to the plate, this recipe takes roughly <b>1 hour and 10 minutes</b>. It is a good option if you're following a <b>gluten free and vegan</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is outstanding. Try <a href=""https://spoonacular.com/recipes/lentil-quinoa-salad-340764"">Lentil Quinoa Salad</a> for similar recipes.","Avocado for topping, if desired; 3 cups vegetarian broth, plus more if necessary; 1-15 oz can black beans, rinsed and drained; 1- 15 oz can kidney beans, rinsed and drained; 2 pounds fresh tomatoes, finely chopped (you can use canned tomatoes); 3-4 teaspoons chili powder, depending on how spicy you like it; 1/2 cup cilantro, finely chopped plus more for garnish; 1/8 teaspoon cinnamon; 1 teaspoon cumin; 1/4 teaspoon curry powder; 1 cup green lentils, rinsed; 3 cloves garlic, minced; 1 teaspoon olive oil; 1/2 cup quinoa, rinsed; 1 red pepper, diced; freshly ground salt and pepper; 1 small white or yellow onion,chopped",415,17g,55g,16g
690978,Healthy Salmon Quinoa Burgers ,https://spoonacular.com/recipeImages/690978-312x231.jpg,american,6,30,http://www.skinnytaste.com/2015/03/healthy-salmon-quinoa-burgers.html,318.88,64.0,53048,False,False,True,True,5,"<p>In a small bowl, whisk the olive oil, vinegar, shallots, dijon, salt and pepper.</p><p>Cut about a 4 oz piece off or the salmon and place in a food processor or chopper to finely chop. This will help hold the burgers together. With a knife finely chop the remaining salmon, transfer to a large work bowl.</p><p>Heat a large nonstick skillet over medium heat, add the oil and saute shallots and kale. Season with salt and pepper and cook over medium heat until wilted and tender, about 4 to 5 minutes.</p><p>Transfer to the bowl with salmon along with quinoa, Dijon, Old Bay and egg. Mix to combine, then form into 5 patties, about 1/2 cup each.</p><p>Lightly heat a nonstick grill pan or skillet over medium heat, when hot spray with oil and add the salmon patties. Cook the 4 to 5 minutes, then gently turn and cook an additional 4 to 5 minutes, or until cooked through.</p><p>Toss the dressing with the arugula and grapefruit; divide on four plates. Top each salad with a salmon burger.</p>","Healthy Salmon Quinoa Burgers takes around <b>30 minutes</b> from beginning to end. This recipe serves 5 and costs $2.73 per serving. One serving contains <b>283 calories</b>, <b>22g of protein</b>, and <b>16g of fat</b>. Head to the store and pick up grapefruit, shallots, champagne vinegar, and a few other things to make it today. 53046 people were impressed by this recipe. It is a good option if you're following a <b>gluten free, dairy free, and pescatarian</b> diet. Plenty of people really liked this American dish. It is brought to you by Skinny Taste. It works well as a reasonably priced main course. Overall, this recipe earns a <b>super spoonacular score of 99%</b>. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/healthy-salmon-quinoa-burgers-991791"">Healthy Salmon Quinoa Burgers</a>, <a href=""https://spoonacular.com/recipes/healthy-alaska-salmon-burgers-531059"">Healthy Alaska Salmon Burgers</a>, and <a href=""https://spoonacular.com/recipes/quinoa-eggplant-burgers-505069"">Quinoa-Eggplant Burgers </a>.","10 loose cups baby arugula; 1/2 tsp Old Bay; freshly ground black pepper, to taste; 2 1/2 tbsp champagne vinegar; 3/4 cup cooked quinoa; 1.25 tsp dijon mustard; 2 tbsp Dijon mustard; 1 large egg, beaten; 1 large pink grapefruit, peeled and diced; 1 cup kale, chopped; Kosher salt; 1 tsp olive oil; 2 1/2 tbsp olive oil; 16 oz wild salmon fillet, skinless; salt and pepper, to taste; 1/3 cup diced shallots; 2 tbsp minced shallots",317,16g,20g,23g
618775,Hot & spicy vegan chili with lentil-walnut meat,https://spoonacular.com/recipeImages/618775-312x231.jpg,american,8,45,http://www.adashofcompassion.com/2014/10/hot-spicy-vegan-chili-with-lentil-walnut-meat/,148.84,100.0,112,True,True,True,True,8,"For the chili:In a large soup pot over medium heat, saute the onion, garlic, celery, banana pepper and carrots with a splash of water until soft. Add more water if needed so the veggies don't stick to the bottom of the pot.Stir in the chili powder, cocoa powder, cumin and cinnamon stick and cook for about 30 seconds.Add the crushed tomatoes, kidney beans, bell peppers, zucchini and water. Bring to a boil, and then reduce heat and simmer until vegetables are tender, about 20 minutes. While it's cooking, you can make the lentil walnut meat.Add the lentil walnut meat and continue to simmer until heated through.Remove from heat. Stir in the cilantro and remove the cinnamon stick. Serve with vegan sour cream and extra cilantro, if desired.For the lentil walnut meat:Using a food processor, pulse all ingredients until chopped but be sure to leave some texture.","Hot & spicy vegan chili with lentil-walnut meat is a <b>gluten free and vegan</b> main course. For <b>$1.47 per serving</b>, this recipe <b>covers 40%</b> of your daily requirements of vitamins and minerals. One serving contains <b>390 calories</b>, <b>23g of protein</b>, and <b>7g of fat</b>. From preparation to the plate, this recipe takes about <b>45 minutes</b>. 112 people have made this recipe and would make it again. This recipe is typical of American cuisine. It will be a hit at your <b>The Super Bowl</b> event. Head to the store and pick up garlic, tomatoes, chili powder, and a few other things to make it today. To use up the zucchini you could follow this main course with the <a href=""https://spoonacular.com/recipes/zucchini-dessert-squares-415963"">Zucchini Dessert Squares</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is outstanding. Try <a href=""https://spoonacular.com/recipes/ultimate-green-taco-wraps-with-lentil-walnut-taco-meat-vegan-+-gluten-free-602996"">Ultimate Green Taco Wraps with Lentil-Walnut Taco Meat (Vegan + Gluten-Free)</a>, <a href=""https://spoonacular.com/recipes/vegan-cauliflower-nachos-with-walnut-taco-meat-849515"">Vegan Cauliflower Nachos with Walnut Taco “Meat”</a>, and <a href=""https://spoonacular.com/recipes/vegan-lentil-walnut-burgers-33798"">Vegan Lentil-walnut Burgers</a> for similar recipes.","1 small hot banana pepper, seeds removed and minced; 1 (15oz) can brown lentils, rinsed and drained; 1 (15oz) can red kidney beans; 2 (28oz) cans crushed tomatoes; 2 carrots, thinly sliced; 1 stalk celery, sliced; 1 tsp chili powder; 2 tbsp chili powder; 1 2-inch cinnamon stick; 2 tbsp cocoa powder; 1 cup chopped fresh cilantro; 4 cloves garlic, minced; 1 green bell pepper, chopped; 1 tbsp ground cumin; 1 tsp ground cumin; 2 medium onions, peeled and diced; 1½ tsp dried oregano; 1 red bell pepper, chopped; ½ tsp sea salt; ½ cup walnut pieces; 2 cups water; 1 zucchini, sliced and quartered",391,7g,65g,23g
247496,BBQ Pulled Pork Sandwich with Slaw,https://spoonacular.com/recipeImages/247496-312x231.jpg,american,21,45,http://www.closetcooking.com/2010/08/bbq-pulled-pork-sandwich.html,279.47,46.0,3216,False,False,False,True,4,"Directions:1. Put the pork in the slow cooker, pour 1/2 cup of the bbq sauce over it and cook on low heat for 8 hours.2. Remove the pork from the slow cooker and let cool.3. Meanwhile, skim the fat from the juices, place the juices in a sauce pan and simmer to reduce.4. Mix as much of the juices as you want into the remaining bbq sauce.5. When the pork is cool enough to work with, shred it with a pair of forks.6. Mix the pulled pork bbq sauce.7. Assemble sandwiches and enjoy.","BBQ Pulled Pork Sandwich with Slaw might be just the main course you are searching for. This recipe serves 4. For <b>$2.79 per serving</b>, this recipe <b>covers 43%</b> of your daily requirements of vitamins and minerals. Watching your figure? This dairy free recipe has <b>754 calories</b>, <b>70g of protein</b>, and <b>22g of fat</b> per serving. Head to the store and pick up buns, coleslaw, pork butt, and a few other things to make it today. 3216 people have made this recipe and would make it again. <b>The Fourth Of July</b> will be even more special with this recipe. This recipe is typical of American cuisine. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is awesome. Similar recipes include <a href=""https://spoonacular.com/recipes/korean-pulled-pork-sandwich-with-asian-slaw-321669"">Korean Pulled Pork Sandwich with Asian Slaw</a>, <a href=""https://spoonacular.com/recipes/crock-pot-sesame-pulled-pork-sandwich-with-asian-slaw-484286"">Crock-Pot Sesame Pulled Pork Sandwich with Asian Slaw</a>, and <a href=""https://spoonacular.com/recipes/pulled-pork-sandwich-with-black-pepper-vinegar-sauce-and-green-onion-slaw-318083"">Pulled Pork Sandwich with Black Pepper Vinegar Sauce and Green Onion Slaw</a>.",1 cup bbq sauce; 2 cups coleslaw; 1 (3 pound) pork butt; 4 buns,754,22g,64g,70g
