id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
243851,Cajun Courtbouillon,https://spoonacular.com/recipeImages/243851-312x231.jpg,cajun,7,50,http://www.deepsouthdish.com/2010/03/cajun-courtbouillon.html,750.01,56.0,1689,False,False,True,True,6,,"The recipe Cajun Courtbouillon is ready <b>in approximately 50 minutes</b> and is definitely a super <b>gluten free, dairy free, and pescatarian</b> option for lovers of Creole food. This recipe serves 6. One serving contains <b>356 calories</b>, <b>34g of protein</b>, and <b>9g of fat</b>. For <b>$7.53 per serving</b>, this recipe <b>covers 29%</b> of your daily requirements of vitamins and minerals. It works well as a main course. Plenty of people made this recipe, and 1689 would say it hit the spot. A mixture of bell pepper, onion, pepper sauce, and a handful of other ingredients are all it takes to make this recipe so delicious. To use up the cooked rice you could follow this main course with the <a href=""https://spoonacular.com/recipes/breakfast-rice-pudding-547155"">Breakfast Rice Pudding</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/catfish-courtbouillon-696003"">Catfish Courtbouillon</a>, <a href=""https://spoonacular.com/recipes/redfish-courtbouillon-85898"">Redfish Courtbouillon</a>, and <a href=""https://spoonacular.com/recipes/catfish-courtbouillon-2175"">Catfish Courtbouillon</a> for similar recipes.","1/4 teaspoon of Cajun seasoning (like Slap Ya Mama), or to taste; 1 (1 pound 12 ounce) can of whole tomatoes; 1 stalk of celery, chopped; Hot, cooked rice; Fresh parsley, to garnish; 2 garlic cloves, minced; 1 green bell pepper, chopped; Green onion, to garnish; 1 teaspoon of kosher salt; Kosher salt and freshly cracked black pepper, to taste; Lemon wedges; 1 cup of onion, chopped; 1/4 teaspoon of freshly cracked black pepper; Hot pepper sauce, for the table; 2 to 3 pounds of redfish, red snapper, or catfish, cleaned; 4 cups of homemade seafood stock*",354,9g,33g,34g
244462,Cajun Dirty Rice,https://spoonacular.com/recipeImages/244462-312x231.jpg,cajun,14,45,http://www.deepsouthdish.com/2008/11/cajun-dirty-rice.html,141.8,52.0,7368,False,False,True,True,6,,"The recipe Cajun Dirty Rice could satisfy your Creole craving in approximately <b>45 minutes</b>. This recipe makes 6 servings with <b>493 calories</b>, <b>31g of protein</b>, and <b>24g of fat</b> each. For <b>$1.42 per serving</b>, this recipe <b>covers 43%</b> of your daily requirements of vitamins and minerals. Plenty of people made this recipe, and 7368 would say it hit the spot. It works well as a side dish. Head to the store and pick up bacon, jalapenos, turns of the pepper mill, and a few other things to make it today. It is a good option if you're following a <b>gluten free and dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is awesome. Similar recipes include <a href=""https://spoonacular.com/recipes/cajun-dirty-rice-498588"">Cajun Dirty Rice</a>, <a href=""https://spoonacular.com/recipes/a-la-cajun-dirty-rice-603152"">A la Cajun dirty rice</a>, and <a href=""https://spoonacular.com/recipes/kickin-cajun-dirty-rice-36388"">Kickin' Cajun Dirty Rice</a>.","3 slices of bacon, chopped; 1 teaspoon of Cajun seasoning (like Slap Ya Mama), or to taste; 1/4 cup chopped celery; 1 pound of mixed chicken livers & gizzards (or a combination of giblets), trimmed, rinsed and ground or chopped; 4 cups of leftover cooked rice; 3 toes of garlic, chopped; 1/2 cup chopped green bell pepper; 1/4 cup chopped green onion; 1 pound of ground beef or pork; Hot sauce, for the table; 2 tablespoons of chopped jalapenos; 3 generous pinches of kosher salt, or to taste; 1 cup chopped onion; 20 turns of the pepper mill, or to taste",493,24g,37g,31g
549848,30 Minute Healthy Cajun Chicken and Rice,https://spoonacular.com/recipeImages/549848-312x231.jpg,cajun,11,30,http://www.halfbakedharvest.com/30-minute-healthy-kickin-cajun-chicken-rice/,316.54,58.0,3244,False,False,True,True,4,"InstructionsTo start the rice. Add the water to a medium size soup pot. Bring to a low boil and then add the rice and a pinch of salt. Stir to combine and then place the lid on the pot and turn the heat down to the lowest setting possible. Allow the rice to cook ten minutes on low and then turn the heat off completely and let the rice sit on the stove, covered for another 20 minutes (don't take any peeks inside!). After 20 minutes remove the lid and fluff the rice with a fork. Note that rice can cook differently for everyone, this is just what works for me.Meanwhile heat a large skillet on medium high heat and add 1 tablespoon olive oil. In a small bowl combine the cajun seasoning, creole seasoning, brown sugar, pepper, cayenne, sweet paprika and dried thyme.Add the chicken and the spice mixture to the skillet and give it a good toss. Then spread the chicken in an even layer and allow it to cook, without stirring for 2-4 minutes. Then stir the chicken and add the soy sauce, continue cooking another 5 minutes or until the chicken is browned all over and cooked through. Remove the chicken from the skillet and set aside.Add the remaining tablespoon of olive oil to the skillet. Add the red pepper, orange pepper, onion and garlic. Stir fry the veggies for about 5-10 minutes or until the onions are soft. Add the chicken back to the skillet and toss well. Now stir in the diced tomatoes and simmer until almost all the liquid has evaporated. Remove from the heat and add the chicken mixture to the rice. Toss well and serve! Garnish with chopped parsley if desired.","The recipe 30 Minute Healthy Cajun Chicken and Rice could satisfy your Creole craving in around <b>30 minutes</b>. One serving contains <b>495 calories</b>, <b>36g of protein</b>, and <b>12g of fat</b>. For <b>$3.01 per serving</b>, this recipe <b>covers 37%</b> of your daily requirements of vitamins and minerals. It is a good option if you're following a <b>gluten free and dairy free</b> diet. It works well as a rather pricey main course. This recipe is liked by 3245 foodies and cooks. Head to the store and pick up rice, olive oil, soy sauce, and a few other things to make it today. To use up the onion you could follow this main course with the <a href=""https://spoonacular.com/recipes/candy-corn-cupcakes-63881"">Candy Corn Cupcakes</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is outstanding. Try <a href=""https://spoonacular.com/recipes/30-minute-cajun-chicken-and-rice-skillet-680499"">30 Minute Cajun Chicken and Rice Skillet</a>, <a href=""https://spoonacular.com/recipes/10-minute-healthy-cauliflower-rice-728798"">10 Minute Healthy Cauliflower Rice</a>, and <a href=""https://spoonacular.com/recipes/30-minute-healthy-broccoli-cheese-rice-601631"">30 Minute Healthy Broccoli Cheese Rice</a> for similar recipes.","3/4 cup basmati rice; 1/2 tablespoon brown sugar; 1 tablespoon cajun seasoning; 1 (14 ounce) can diced tomatoes; 1/2 teaspoon cayenne; 1 tablespoon creole seasoning; 1/2 teaspoon dried thyme; 2 tablespoon fresh parsley, chopped, plus more for garnish; 2 cloves garlic, minced or grated; 2 1/2 cups water or low-sodium chicken broth; 2 tablespoons olive oil; 1/2 a onion, chopped; 1 large orange pepper, chopped; 1 teaspoon pepper; 1 large red pepper, chopped; 1 pound boneless skinless chicken breast, cut into bite size pieces; 2 tablespoons soy sauce; 1 teaspoon sweet paprika; 1/2 cup wild rice",502,12g,63g,37g
243674,Cajun Rice Dressing,https://spoonacular.com/recipeImages/243674-312x231.jpg,cajun,17,50,http://www.deepsouthdish.com/2010/12/cajun-rice-dressing.html,199.25,34.0,4932,False,False,False,True,8,,"The recipe Cajun Rice Dressing could satisfy your Creole craving in roughly <b>50 minutes</b>. This recipe serves 8. One serving contains <b>584 calories</b>, <b>34g of protein</b>, and <b>34g of fat</b>. For <b>$1.99 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. This recipe from Deep South Dish has 4932 fans. It works well as a main course. If you have green onion, onion, pepper sauce, and a few other ingredients on hand, you can make it. It is a good option if you're following a <b>dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 88%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/spinach-salad-with-cajun-pecans-and-poppy-seed-dressing-19433"">Spinach Salad With Cajun Pecans And Poppy Seed Dressing</a>, <a href=""https://spoonacular.com/recipes/louisiana-hot-sauce-chicken-sandwich-with-cajun-ranch-dressing-323071"">Louisiana Hot Sauce Chicken Sandwich with Cajun Ranch Dressing</a>, and <a href=""https://spoonacular.com/recipes/kale-salad-with-cajun-spiced-chickpeas-and-buttermilk-dressing-792105"">Kale Salad with Cajun Spiced Chickpeas and Buttermilk Dressing</a> for similar recipes.","1/4 cup of all purpose flour; 2 cups of beef stock or broth; 1/4 cup of canola oil; 1/2 cup of chopped celery; 1 pound of chicken giblets, rinsed and trimmed (see note); 3 cups of cooked rice; 1 tablespoon of Zatarain's Big & Zesty Creole seasoning, or your favorite Cajun/Creole seasoning, to taste (see note); 2 teaspoons of minced garlic; 1 cup of chopped green bell pepper; Chopped green onion, to garnish, optional; 1 pound of ground beef; 1 pound of ground pork; 1-1/2 cups of chopped onion; 1/4 to 1/2 teaspoon of freshly cracked black pepper, or to taste; Hot pepper sauce, for the table; 2 (6 ounce) cans of mushroom steak sauce (like Giorgio Dawn Fresh brand) or 1 can cream of mushroom soup",584,34g,34g,34g
474189,Gluten-Free Maryland Style Crab and Shrimp Gumbo,https://spoonacular.com/recipeImages/474189-312x231.jpg,cajun,6,115,http://jeanetteshealthyliving.com/2013/12/gluten-free-maryland-style-crab-and-shrimp-gumbo.html,558.36,72.0,1576,False,False,True,True,8,"Preheat oven to 350 degrees. Place rice flour in a pan; bake for 45-50 minutes until light brown, stirring halfway through.Place onion, garlic and water in a microwave bowl. Cover with paper towel and microwave on high for 10 minutes. Transfer mixture to a blender, add a little water (~ 3 tablespoons) and blend until smooth. Set aside.Heat oil in a large pot over medium heat. Add onion and cook until translucent, about 3-4 minutes. Add toasted rice flour and cook one minute, stirring constantly. Add bell peppers, celery and garlic, and saute another 2 minutes. Add water, tomatoes, Onion Garlic Puree, snow crab legs, Old Bay seasoning, Cajun seasoning, and crabmeat (reserve some large lumps for serving), and bring to a boil. Reduce heat and simmer for 1 hour. Add langoustine, shrimp and parsley and simmer another 30 minutes. Serve over steamed rice with scallions and parsley.","Gluten-Free Maryland Style Crab and Shrimp Gumbo might be just the main course you are searching for. This recipe serves 8. One serving contains <b>296 calories</b>, <b>27g of protein</b>, and <b>6g of fat</b>. For <b>$5.62 per serving</b>, this recipe <b>covers 31%</b> of your daily requirements of vitamins and minerals. 1576 people have made this recipe and would make it again. It is a good option if you're following a <b>gluten free, dairy free, and pescatarian</b> diet. From preparation to the plate, this recipe takes roughly <b>1 hour and 55 minutes</b>. Head to the store and pick up old bay seasoning, cajun seasoning, garlic, and a few other things to make it today. To use up the cooked brown rice you could follow this main course with the <a href=""https://spoonacular.com/recipes/breakfast-rice-pudding-547155"">Breakfast Rice Pudding</a> as a dessert. This recipe is typical of Creole cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is outstanding. Try <a href=""https://spoonacular.com/recipes/gluten-free-maryland-crab-cake-sliders-474548"">Gluten-Free Maryland Crab Cake Sliders</a>, <a href=""https://spoonacular.com/recipes/a-healthier-gluten-free-crawfish-and-crab-gumbo-redux-474273"">A Healthier Gluten-Free Crawfish and Crab Gumbo ( Redux)</a>, and <a href=""https://spoonacular.com/recipes/maryland-style-crab-cakes-498871"">Maryland-Style Crab Cakes</a> for similar recipes.","1 bell pepper, chopped; 1 teaspoon Cajun seasoning; 2 celery stalks, chopped; Steamed Brown Rice; 2 snow crab legs, cracked; 5 cloves garlic, minced; 12 ounces langoustine; 1 pound jumbo lump crabmeat; 3 teaspoons Old Bay Seasoning; 2 tablespoons olive oil; 1 small onion, roughly chopped (about 1/2 cup); chopped parsley; chopped scallions; 1/2 pound shrimp; 1/4 cup sweet rice flour; 1 14.5 ounce can (1 1/2 cups) No Salt Added Diced Tomatoes with juice; 7 1/2 cups water",295,6g,32g,27g
802405,Cajun Cauliflower with Cilantro Avocado Sauce,https://spoonacular.com/recipeImages/802405-312x231.jpg,cajun,18,60,http://naturallyella.com/cajun-cauliflower/,313.38,100.0,75,True,True,True,True,2,"Soak cashews in 1 cup of water for 30 minutes. Pour soaked cashews and water into a blender (see note). Puree until smooth, adding water 1/4 cup at a time as needed to get the consistency you prefer. Add avocado, cilantro, lime juice, salt, and garlic. Pulse to combine sauce. Set aside.Next, cut cauliflower in half. Slice two 1/2-inch thick steaks. Fill a large pot with water until there is about 1/2-inch of water on bottom. Place steamer basket inside. Then bring water to a boil over medium heat. Place both cauliflower steaks inside steamer basket. Cook until just tender, 4 to 5 minutes. Remove from pot in order to let cool on a plate.Drizzle 1 tablespoon of olive oil on each cauliflower steak. Rub oil over each side of the cauliflower steaks. Then sprinkle 1/2 teaspoon of cajun seasoning on each side of both cauliflower steaks.Heat cast iron grill pan over high heat. Add 1 tablespoon of olive oil. Sear the cauliflower in pan until charred, about 3 minutes each side.Serve seared cauliflower over a bed of brown rice. Top with cilantro avocado sauce.","The recipe Cajun Cauliflower with Cilantro Avocado Sauce could satisfy your Creole craving in approximately <b>1 hour</b>. This recipe makes 2 servings with <b>636 calories</b>, <b>15g of protein</b>, and <b>44g of fat</b> each. For <b>$3.13 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. A couple people really liked this main course. If you have salt, brown rice, cilantro, and a few other ingredients on hand, you can make it. To use up the salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/apple-turnovers-recipe-48175"">Apple Turnovers Recipe</a> as a dessert. This recipe is liked by 75 foodies and cooks. It is a good option if you're following a <b>gluten free and vegan</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/roasted-cauliflower-sandwich-with-spicy-sweet-potato-chips-and-creamy-cilantro-avocado-sauce-855948"">Roasted Cauliflower Sandwich with Spicy Sweet Potato Chips and Creamy Cilantro Avocado Sauce</a>, <a href=""https://spoonacular.com/recipes/cauliflower-with-avocado-cilantro-dip-363001"">Cauliflower with Avocado-Cilantro Dip</a>, and <a href=""https://spoonacular.com/recipes/crunchy-cauliflower-tacos-with-avocado-lime-cilantro-dressing-726398"">Crunchy Cauliflower Tacos With Avocado, Lime & Cilantro Dressing</a> for similar recipes.","1/2 ripe avocado; 2 teaspoons cajun seasoning, divided (store-bought or homemade); 1/2 cup whole raw cashews; 1 head cauliflower; 1/2 cup cilantro; 1 cup cooked brown rice, for serving; 1/4 teaspoon powdered garlic; 2 tablespoons lime juice; 3 tablespoons olive oil, divided; 1/4 teaspoon salt; 1 1/2 to 2 cups water, divided; Water for steaming",636,44g,54g,15g
506636,Blueberry Hemp Smoothie,https://spoonacular.com/recipeImages/506636-312x231.jpg,cajun,7,45,http://thegreenforks.com/blueberry-hemp-smoothie/,190.58,65.0,141,False,False,True,True,1,Place all ingredients together in blender and blend until completely smooth. (If smoothie is too thick- due to the frozen fruit- just add a couple small splashes of almond milk until you reach the desired consistency).,"The recipe Blueberry Hemp Smoothie is ready <b>in roughly 45 minutes</b> and is definitely an outstanding <b>gluten free, primal, and vegetarian</b> option for lovers of Creole food. One serving contains <b>439 calories</b>, <b>19g of protein</b>, and <b>20g of fat</b>. This recipe serves 1 and costs $2.15 per serving. Several people made this recipe, and 141 would say it hit the spot. If you have banana, vanillan extract, hemp seeds, and a few other ingredients on hand, you can make it. It works well as a morn meal. All things considered, we decided this recipe <b>deserves a spoonacular score of 91%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/wild-blueberry-banana-hemp-smoothie-719859"">Wild Blueberry Banana Hemp Smoothie</a>, <a href=""https://spoonacular.com/recipes/banana-apricot-hemp-smoothie-48933"">Banana-apricot Hemp Smoothie</a>, and <a href=""https://spoonacular.com/recipes/triple-hemp-and-arugula-smoothie-757451"">Triple Hemp and Arugula Smoothie</a> for similar recipes.","1 banana (preferably frozen); ½ cup blueberries; 2 tablespoons hemp seeds; ice and additional sweetener, as needed; ¾ cup non-dairy milk (or coconut water); ½ teaspoon vanilla extract",407,18g,46g,18g
547289,Lighter Cajun Chicken Pasta,https://spoonacular.com/recipeImages/547289-312x231.jpg,cajun,14,45,http://alidaskitchen.com/2012/05/15/lighter-cajun-chicken-pasta/,249.54,56.0,146,False,False,False,False,4,"Prepare pasta according to package directions. Meanwhile, sprinkle chicken evenly with 1 tablespoon Cajun seasoning and salt. Spray a large saute pan with cooking spray and heat oven medium-high heat.  Add chicken, and saute for 5 to 6 minutes or until done.  Remove chicken to a plate, tented with foil.In the same saute pan, add olive oil and heat over medium heat.  Add red onion, peppers, mushrooms and garlic to pan and saute for 9 to 10 minutes, or until vegetables are tender and liquid evaporates.Return chicken to skillet and mix with vegetables.  Add evaporated milk and 1 teaspoon Cajun seasoning, and salt and pepper to taste.  Bring to a boil and then reduce to a simmer for 3 minutes.  Add linquine, toss to coatGarnish with green onions, as desired, and serve immediately.","The recipe Lighter Cajun Chicken Pasta could satisfy your Creole craving in about <b>45 minutes</b>. For <b>$2.33 per serving</b>, you get a main course that serves 4. One serving contains <b>524 calories</b>, <b>41g of protein</b>, and <b>12g of fat</b>. This recipe is liked by 146 foodies and cooks. If you have onion, chicken breast, linguine, and a few other ingredients on hand, you can make it. To use up the salt and pepper you could follow this main course with the <a href=""https://spoonacular.com/recipes/dr-pepper-cake-with-flour-cooked-frosting-539165"">Dr. Pepper Cake with Flour Cooked Frosting</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 97%</b>. This score is spectacular. Similar recipes include <a href=""https://spoonacular.com/recipes/cajun-chicken-pasta-on-the-lighter-side-skinnytaste-720067"">Cajun Chicken Pastan on the Lighter Side Skinnytaste</a>, <a href=""https://spoonacular.com/recipes/lighter-cajun-sausage-pasta-683620"">Lighter Cajun Sausage Pasta</a>, and <a href=""https://spoonacular.com/recipes/cajun-chicken-pasta-406725"">Cajun Chicken Pasta</a>.","3 large bell peppers, thinly sliced; 1 tablespoon, plus 1 teaspoon Cajun seasoning (divided), adjust to taste; 1 can (12 ounces) fat free evaporated milk; 2 garlic cloves, minced; chopped green onions, for garnish; 8 ounces whole wheat linguine or fettucine; 1 (8 ounce) package sliced mushrooms; 1 teaspoon olive oil; 1 red onion, thinly sliced; Salt and pepper to taste; 1 pound boneless, skinless chicken breast, cut into small strips",534,12g,65g,41g
248029,Shrimp and Okra Gumbo,https://spoonacular.com/recipeImages/248029-312x231.jpg,cajun,12,45,http://www.closetcooking.com/2011/03/shrimp-and-okra-gumbo.html,461.56,41.0,2594,False,False,False,True,4,"Directions:1. Heat the oil in a large sauce pan over medium heat, sprinkle in the flour while mixing and simmer until it turns a dark brown, about 10-20 minutes.2. Add the onions, celery and green pepper and cook until tender, about 7-10 minutes.3. Add the garlic and cook until fragrant, about a minute.4. Add the okra and cook for 10 minutes.5. Add the shrimp stock, tomatoes, paprika, cayenne, oregano, thyme, bay leaves, salt and pepper and bring to a boil.6. Reduce the heat to medium-low and simmer covered for 1-3 hours.7. Add the shrimp and cook until pink, about 3-5 minutes.8. Serve with rice and garnish with green onions and parsley.","The recipe Shrimp and Okra Gumbo could satisfy your Creole craving in approximately <b>45 minutes</b>. This recipe serves 4. One portion of this dish contains approximately <b>35g of protein</b>, <b>32g of fat</b>, and a total of <b>563 calories</b>. For <b>$4.62 per serving</b>, this recipe <b>covers 41%</b> of your daily requirements of vitamins and minerals. 2594 people were impressed by this recipe. A mixture of shrimp stock, shrimp, onion, and a handful of other ingredients are all it takes to make this recipe so tasty. Many people really liked this main course. It is a good option if you're following a <b>dairy free and pescatarian</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 97%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/shrimp-and-okra-gumbo-34766"">Shrimp and Okra Gumbo</a>, <a href=""https://spoonacular.com/recipes/okra-shrimp-gumbo-766249"">Okra Shrimp Gumbo</a>, and <a href=""https://spoonacular.com/recipes/shrimp-andouille-and-okra-gumbo-200571"">Shrimp, Andouille and Okra Gumbo</a> for similar recipes.","2 bay leaves; 1 (14 ounce) can whole tomatoes (chopped); 1/2 teaspoon cayenne pepper (or to taste); 1 cup celery (diced); 1/2 cup flour; 1 handful parsley (chopped); 3 cloves garlic (chopped); 1 bunch green onions (sliced); 1 cup green pepper (diced); 1/2 cup oil; 1 pound okra (trimmed and cut into 1/4 inch slices); 1 cup onion (diced); 1 teaspoon oregano; 1 teaspoon paprika; salt and pepper to taste; 1 pound shrimp (shelled and deveined, save those shells for shrimp stock); 4 cups shrimp stock; 1 teaspoon thyme",563,32g,37g,35g
218989,Spicy Cajun chicken quinoa,https://spoonacular.com/recipeImages/218989-312x231.jpg,cajun,9,35,https://www.bbcgoodfood.com/recipes/1162644/spicy-cajun-chicken-quinoa,349.14,44.0,913,False,False,True,True,4,"Heat oven to 200C/180C fan/gas 6. Toss the chicken with the Cajun spice and arrange in a single layer in a roasting tin. Bake for 20 mins until the chicken is cooked. Set aside.
Meanwhile, cook the quinoa in the chicken stock for 15 mins until tender, adding the apricots and lentils for the final 5 mins. Drain and place into a large bowl with the chicken, toss together.
While the quinoa is cooking, heat the oil in a large frying pan and soften the onions for 10-15 mins. Toss the onions into the quinoa with the coriander and some seasoning, then mix well.","You can never have too many Creole recipes, so give Spicy Cajun chicken quinoan a try. Watching your figure? This gluten free and dairy free recipe has <b>525 calories</b>, <b>57g of protein</b>, and <b>13g of fat</b> per serving. This recipe serves 4. For <b>$3.49 per serving</b>, this recipe <b>covers 35%</b> of your daily requirements of vitamins and minerals. Head to the store and pick up chicken stock, cajun seasoning, spring onions, and a few other things to make it today. Many people really liked this main course. It is brought to you by BBC Good Food. This recipe is liked by 913 foodies and cooks. From preparation to the plate, this recipe takes around <b>35 minutes</b>. Overall, this recipe earns a <b>tremendous spoonacular score of 97%</b>. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/cajun-chicken-and-quinoa-skillet-+-weekly-menu-730248"">Cajun Chicken and Quinoa Skillet + Weekly Menu</a>, <a href=""https://spoonacular.com/recipes/spicy-cajun-chicken-penne-109499"">Spicy Cajun Chicken Penne</a>, and <a href=""https://spoonacular.com/recipes/cajun-chicken-fingers-with-spicy-ketchup-218726"">Cajun Chicken Fingers with Spicy Ketchup</a>.","4 skinless chicken breasts, cut into bite-sized pieces; 1 tbsp Cajun seasoning; 100g quinoa; 600ml hot chicken stock; 100g dried apricots, sliced; ½ x 250g pouch ready-to-use Puy lentils; 1 tbsp olive oil; 2 red onions, cut into thin wedges; 1 bunch spring onions, chopped; small bunch coriander, chopped",525,13g,44g,57g
