id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
488633,"gobi pakora , how to make gobi pakoras or cauliflower fritters",https://spoonacular.com/recipeImages/488633-312x231.jpg,indian,9,50,http://www.vegrecipesofindia.com/gobi-pakora-cauliflower-pakora/,204.27,100.0,633,True,True,True,True,3,"boil enough water with salt.break or chop the cauliflower in medium sized florets.rinse them well and add them to the boiling water.switch off the flame and let the cauliflower florets be immersed in the water for 10-12 minutes.drain and then marinate the cauliflower with red chili powder, turmeric powder, ginger-garlic paste, garam masala powder. mix very well and keep aside for 8-10 minutes.in another bowl, make a smooth batter with the besan/gram flour, asafoetida, baking soda or baking powder, salt and water.heat oil in a kadai or deep fryer.take each marinated cauliflower and dip in the batter.coat each floret with the batter and add these in the medium hot oil.fry till the pakoras are crisp and golden evenly.drain on paper towels.serve the gobi pakora hot or warm with any green chutney or sauce, sprinkled with chaat masala, lemon juice and chopped coriander leaves.","Gobi pakora , how to make gobi pakoras or cauliflower fritters might be just the main course you are searching for. One portion of this dish contains around <b>19g of protein</b>, <b>7g of fat</b>, and a total of <b>342 calories</b>. This gluten free and vegan recipe serves 3 and costs <b>$1.13 per serving</b>. Many people made this recipe, and 633 would say it hit the spot. If you have chaat masala to sprinkle from above, ginger-garlic paste, shallow frying the pakoras, and a few other ingredients on hand, you can make it. To use up the salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/apple-turnovers-recipe-48175"">Apple Turnovers Recipe</a> as a dessert. From preparation to the plate, this recipe takes around <b>50 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 96%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/tandoori-gobi-or-gobi-tikka-how-to-make-tandoori-gobi-gobi-s-487270"">tandoori gobi or gobi tikka, how to make tandoori gobi | gobi s</a>, <a href=""https://spoonacular.com/recipes/aloo-gobi-curry-how-to-make-punjabi-aloo-gobi-dhaba-style-486716"">aloo gobi curry, how to make punjabi aloo gobi | dhaba style</a>, and <a href=""https://spoonacular.com/recipes/aloo-gobi-restaurant-style-how-to-make-aloo-gobi-masala-486918"">aloo gobi restaurant style, how to make aloo gobi masala</a> for similar recipes.",a pinch of asafoetida powder; 2 cups besan/gram flour; ½ tsp carom seeds/ajwain; 1 medium cauliflower or gobi; oil for deep frying or shallow frying the pakoras; ¼ tsp garam masala powder; ½ tbsp ginger-garlic paste; 1 tsp chaat masala to sprinkle from above; ½ tsp red chili powder; rock salt or regular salt as required; a pinch of turmeric powder or haldi; water - add as required to make a thick flowing batter,381,8g,57g,22g
549886,Simple Coconut Chicken Curry,https://spoonacular.com/recipeImages/549886-312x231.jpg,indian,33,35,http://www.halfbakedharvest.com/simple-coconut-chicken-curry/,514.67,100.0,26992,False,False,True,True,2,"In a medium size pan over medium-high heat add peanut peanut oil. Toss the chicken with the curry powder and saute until cooked, about 5-8 minutes. Remove from pan and set aside. In the same pan add more oil if needed and saute the broccoli, garlic and ginger. After a few minutes, add the coconut milk and let simmer for 5-8 minutes. The broccoli should soften but still be tender-crisp.Add the curry paste to the pan and stir it until it combines with the coconut milk. Slide back in the chicken and any juices. Bring to a slight boil and add the cornstarch. Boil for about a minute, then reduce heat and let cool slightly (about another 2 to three minutes). Sauce will thicken as the mixture cools. Watch it closely, you do not want it to get to thick!Serve over white or brown rice.","Simple Coconut Chicken Curry might be just the <b>Indian</b> recipe you are searching for. For <b>$5.15 per serving</b>, this recipe <b>covers 66%</b> of your daily requirements of vitamins and minerals. One serving contains <b>1036 calories</b>, <b>71g of protein</b>, and <b>65g of fat</b>. Plenty of people made this recipe, and 26991 would say it hit the spot. A mixture of broccoli, curry paste, cornstarch, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the peanut oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/salted-peanut-toffee-cookies-160785"">Salted Peanut Toffee Cookies</a> as a dessert. It works well as an expensive main course. From preparation to the plate, this recipe takes around <b>35 minutes</b>. It is a good option if you're following a <b>gluten free and dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/simple-summertime-basil-chicken-curry-with-coconut-ginger-lime-rice-604852"">Simple Summertime Basil Chicken Curry with Coconut Ginger-Lime Rice</a>, <a href=""https://spoonacular.com/recipes/andhra-chicken-curry-kodi-kura-with-gravy-simple-chicken-curry-665997"">andhra chicken curry – kodi kura with gravy (simple chicken curry )</a>, and <a href=""https://spoonacular.com/recipes/simple-coconut-quinoa-and-lentil-curry-with-lime-mango-705061"">Simple Coconut Quinoan and Lentil Curry with Lime Mango</a> for similar recipes.","2 heads broccoli, separated into bit size pieces; 1 can coconut milk (I used regular, but lite works great); ½ tablespoon cornstarch dissolved in 2 tablespoons cold water; 1 tablespoon curry powder; 1 teaspoon fresh ginger, grated; 2 cloves garlic, minced; 1 tablespoon peanut oil; 3 tablespoons red curry paste; 2 (about 1 pound) boneless skinless chicken breast, cut into small bite size pieces",1036,65g,58g,71g
600888,Chana Palak | Chole Palak |Spinach chickpeas curry,https://spoonacular.com/recipeImages/600888-312x231.jpg,indian,16,50,http://www.spiceupthecurry.com/chana-palak-recipe-chole-palak/,289.54,89.0,186,False,False,True,True,2,"Wash chickpeas under running cold water till water runs clear. Soak them for 8-10 hours or overnight.Drain and then pressure cook it with 1½ cups of water and salt for 1 whistle on high + 20 minutes on medium-low heat. Or cook it till they are soft. Let the pressure go down by itself.While chickpeas are cooking blanch tomato and spinach. For that, bring about 5-6 cups of water to a rolling boil. Add salt to it, then add spinach, cook for 3 minutes. Drain all the water and run cold water to it so it stops cooking.Now let the water comes to a boil again. Make a cross at the bottom of the tomato. Blanch it into water for 4-5 minutes or till the skin will start to comes off. Immediately drop into cold water to stop cooking. Peel the skin off.Now first make cashew powder into grinder. After that, puree the tomato. And then puree spinach with green chilies. By this time chole should be cooked.Now heat the oil in a pan on medium heat. Once hot add cumin seeds. Let them sizzle a bit.Then add chopped onion. Add some salt and let it cook till it becomes light brown.Add ginger paste, garlic paste. Cook for a minute or till the raw smell of ginger garlic goes away.Add pureed tomato. Cook till moisture evaporates.Add coriander powder, garam masala and kasoori methi. Mix and cook for a minute.Now Add pureed spinach and mix well.Once curry comes a boil, sprinkle cashew nut powder. Mix it properly.Add cooked chana and mix. Add water if needed to adjust the gravy consistency. I have added ½ cup of water. Let it simmer for 5 minutes.Chana palak is ready to serve.","The recipe Chana Palak | Chole Palak |Spinach chickpeas curry is ready <b>in approximately 50 minutes</b> and is definitely a tremendous <b>gluten free and vegan</b> option for lovers of Indian food. This recipe makes 2 servings with <b>506 calories</b>, <b>22g of protein</b>, and <b>20g of fat</b> each. For <b>$3.53 per serving</b>, this recipe <b>covers 45%</b> of your daily requirements of vitamins and minerals. Plenty of people made this recipe, and 185 would say it hit the spot. It works well as a pretty expensive main course. A mixture of salt, chilies or, coriander powder, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the ginger paste you could follow this main course with the <a href=""https://spoonacular.com/recipes/caramelized-pineapple-macadamia-coconut-frozen-dessert-469821"">Caramelized Pineapple Macadamia Coconut Frozen Dessert</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is awesome. Similar recipes include <a href=""https://spoonacular.com/recipes/palak-chole-how-to-make-palak-chole-spinach-chickpeas-486681"">palak chole , how to make palak chole | spinach chickpeas</a>, <a href=""https://spoonacular.com/recipes/aloo-palak-aloo-palak-gravy-potato-spinach-curry-600768"">Aloo Palak | Aloo palak gravy | potato spinach curry</a>, and <a href=""https://spoonacular.com/recipes/spinach-chickpea-palak-chana-rice-661287"">Spinach Chickpea - Palak Chana Rice</a>.","Cashew nut powder - ¼ cup; Green chilies - 3-4 or to taste; Coriander powder - 1 teaspoon; Cumin seeds - ½ teaspoon; Dried chickpeas (chole or kabuli chana) - ¾ cup; Garam masala - ½ teaspoon; Garlic paste - 1 teaspoon; Ginger paste - 1 teaspoon; Kasoori methi - 1 teaspoon; Oil - 1 tablespoon; Onion - ½ medium or ½ cup, chopped finely; Salt - to taste; Spinach or palak - 5-6 cups, washed; Tomato - 1 medium; Water - 1½ cups + ½ cup",569,22g,76g,23g
487554,"dal palak , how to make dal palak | palak dal",https://spoonacular.com/recipeImages/487554-312x231.jpg,indian,10,45,http://www.vegrecipesofindia.com/dal-palak-recipe-spinach-with-arhar-dal/,89.67,95.0,299,True,False,True,False,3,"pick and rinse the arhar dal very well.add the lentils in a pressure cooker.add turmeric powder, 2.5 cups water and stir.cover and pressure cook for 8 to 9 whistles or more till the dal has become soft and mushy. mash the lentils and keep aside.in another pan, heat oil or ghee or butter.add the cumin and fry them till fragrant and brown.add the chopped onions and saute till translucent.next add the crushed ginger+garlic+green chili and saute till the raw aroma of ginger and garlic disappears, about 20 to 30 seconds.add asafoetida, red chili powder, coriander powder and stir well.add the chopped spinach and saute till the spinach wilts.add the cooked and mashed dal.stir and then add 1 to 1.5 cups water or as required.season with salt and continue to simmer till the palak dal reaches the desired consistency.lastly sprinkle garam masala powder, lemon juice and stir.serve palak dal hot with rotis, parathas or steamed rice.","The recipe dal palak , how to make dal palak | palak dal could satisfy your Indian craving in roughly <b>45 minutes</b>. Watching your figure? This gluten free and vegetarian recipe has <b>343 calories</b>, <b>18g of protein</b>, and <b>11g of fat</b> per serving. This recipe serves 3 and costs 89 cents per serving. Plenty of people really liked this main course. Head to the store and pick up chili powder/lal mirch powder, turmeric powder/haldi, ginger, and a few other things to make it today. To use up the onion you could follow this main course with the <a href=""https://spoonacular.com/recipes/candy-corn-cupcakes-63881"">Candy Corn Cupcakes</a> as a dessert. This recipe from Veg Recipes of India has 299 fans. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/palak-dal-how-to-make-palak-dal-spinach-dal-487573"">palak dal , how to make palak dal | spinach dal</a>, <a href=""https://spoonacular.com/recipes/aloo-palak-how-to-make-aloo-palak-aloo-palak-curry-486890"">aloo palak, how to make aloo palak | aloo palak curry</a>, and <a href=""https://spoonacular.com/recipes/dinner-tonight-palak-aalu-palak-paneers-cousin-208659"">Dinner Tonight: Palak Aalu, Palak Paneer's Cousin</a> for similar recipes.","¼ tsp red chili powder/lal mirch powder; ¼ tsp coriander powder/dhania powder; 1 tsp cumin/sabut jeera; 1 cup arhar dal/tuvar dal/pigeon pea lentils; ¼ tsp garam masala powder; 2 tbsp oil or ghee or butter; ½ inch ginger + garlic + 1 or 2 green chilies - crushed in a mortar-pestle to a coarse paste; a pinch of asafoetida/hing; 1 medium onion, finely chopped; salt as required; 100 g spinach or 1 cup tightly packed chopped spinach; ¼ tsp turmeric powder/haldi; 2.5 cups water for pressure cooking",343,11g,44g,18g
718860,Absolutely Perfect Palak Paneer,https://spoonacular.com/recipeImages/718860-312x231.jpg,indian,14,45,http://allrecipes.com/recipe/20312/absolutely-perfect-palak-paneer/,446.23,100.0,578,True,False,True,False,4,"In a large saucepan heat 3 tablespoons of olive oil and saute garlic, 1/2 tablespoon of ginger, red chilies (optional ingredient) and onion until brown.   Mix in the cumin, coriander, turmeric and sour cream (add more or less to achieve desired creaminess).  Add the spinach, handfuls at a time until it is cooked down, about 15 minutes total.  Remove from heat and allow to cool slightly.                        Pour spinach mixture into a blender or food processor and add the tomato, the remaining 1/2 tablespoon of ginger, and cilantro (add more or less according to taste).  Blend for 15 to 30 seconds, or until the spinach is finely chopped.  Pour back into the saucepan and keep warm over low heat.                        In a medium frying pan heat 3 tablespoons of olive oil over medium heat, and fry cheese until browned; drain and add to spinach.  Cook for 10 minutes on low heat.  Season with salt to taste.","Absolutely Perfect Palak Paneer might be just the <b>Indian</b> recipe you are searching for. This gluten free, primal, and vegetarian recipe serves 4 and costs <b>$4.39 per serving</b>. One serving contains <b>478 calories</b>, <b>18g of protein</b>, and <b>39g of fat</b>. Plenty of people made this recipe, and 578 would say it hit the spot. A mixture of ground coriander, spinach, olive oil, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the sour cream you could follow this main course with the <a href=""https://spoonacular.com/recipes/sour-cream-apple-pie-70374"">Sour Cream Apple Pie</a> as a dessert. It works best as a main course, and is done in around <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/palak-paneer-restaurant-style-punjabi-palak-paneer-600320"">Palak Paneer | Restaurant style Punjabi Palak Paneer</a>, <a href=""https://spoonacular.com/recipes/dinner-tonight-palak-aalu-palak-paneers-cousin-208659"">Dinner Tonight: Palak Aalu, Palak Paneer's Cousin</a>, and <a href=""https://spoonacular.com/recipes/palak-paneer-how-to-make-palak-paneer-paneer-s-488021"">palak paneer , how to make palak paneer | paneer s</a> for similar recipes.","coarse sea salt to taste; 4 sprigs fresh cilantro leaves; 1 tablespoon grated fresh ginger root; 2 cloves garlic, chopped; 1 teaspoon ground coriander; 2 teaspoons ground cumin; 1 teaspoon ground turmeric; 6 tablespoons olive oil; 1/2 cup finely chopped onion; 2 dried red chile peppers; 8 ounces ricotta cheese; 3/4 cup sour cream; 3 pounds fresh spinach, torn; 1 large tomato, quartered",482,39g,23g,19g
584039,Chickpea Curry with Spinach and Tomatoes,https://spoonacular.com/recipeImages/584039-312x231.jpg,indian,11,30,http://andreasrecipes.com/chickpea-curry-spinach-tomatoes/,124.61,100.0,204,True,True,True,True,6,"Warm the pot over medium-high heat. Add the oil and swirl to coat. Add the onion and sauté until tender, about 5 minutes. Stir in the garam masala and cook just 30 seconds. Add the chickpeas, crushed tomatoes, and diced tomatoes. Cook until the beans are hot, about 5 to 10 minutes. Add the spinach and cook until it wilts, about 2 minutes. Remove from heat and stir in the yogurt and sea salt. Serve with rice and garnish with fresh cilantro.","Chickpea Curry with Spinach and Tomatoes is a <b>gluten free and vegan</b> main course. One serving contains <b>618 calories</b>, <b>26g of protein</b>, and <b>10g of fat</b>. For <b>$1.44 per serving</b>, this recipe <b>covers 41%</b> of your daily requirements of vitamins and minerals. This recipe is typical of Indian cuisine. This recipe is liked by 204 foodies and cooks. If you have baby spinach, sunflower oil, cilantro, and a few other ingredients on hand, you can make it. To use up the brown rice you could follow this main course with the <a href=""https://spoonacular.com/recipes/brown-rice-pudding-247325"">Brown Rice Pudding</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>30 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/chickpea-curry-with-roasted-cauliflower-and-tomatoes-152693"">Chickpea Curry with Roasted Cauliflower and Tomatoes</a>, <a href=""https://spoonacular.com/recipes/eggplant-chickpea-curry-with-tomatoes-basil-616492"">Eggplant & Chickpea Curry with Tomatoes & Basil</a>, and <a href=""https://spoonacular.com/recipes/chickpea-and-spinach-curry-31636"">Chickpean and Spinach Curry</a> for similar recipes.","1 (6-ounce/170 g) package fresh baby spinach; brown basmati rice; 1 (28-ounce/894 g) can crushed tomatoes; 4 cups cooked chickpeas OR 2 (15-ounce/425 g) cans chickpeas, rinsed and drained; 1/4 cup chopped fresh cilantro; 2-1/2 teaspoons garam masala, or more to taste; 2 large onions, diced; 1/2 teaspoon sea salt; 1 to 2 tablespoons sunflower oil",444,7g,82g,17g
152693,Chickpea Curry with Roasted Cauliflower and Tomatoes,https://spoonacular.com/recipeImages/152693-312x231.jpg,indian,8,45,http://www.epicurious.com/recipes/food/views/Chickpea-Curry-with-Roasted-Cauliflower-and-Tomatoes-51190620,295.14,100.0,220,True,True,True,True,4,"Preparation                                                                    1. Preheat oven to 375°F. Toss cauliflower with 1 teaspoon olive oil and arrange in a single layer on one side of a rimmed baking sheet. Toss tomatoes with 1 teaspoon olive oil and arrange on other side of sheet. Season with salt and pepper. Roast until florets are browned in spots and tomatoes are soft, about 25 minutes.                                                                            2. In a medium pot, heat 2 teaspoons oil over medium-high. Cook onion, stirring occasionally, until golden brown, about 10 minutes. Add garlic, ginger, and curry powder and cook, stirring, until fragrant, about 1 minute.                                                                            3. Add chickpeas, tomatoes, and 2 cups water; bring to a boil. Reduce heat to medium, cover, and simmer 8 minutes.                                                                            4. Add cauliflower and cook until warmed through and chickpeas are tender, about 8 minutes. Stir in spinach and cilantro and season with salt. To serve, divide among 4 bowls (over rice, if desired).                                                                         Per serving: 508 calories, 11.56 g fat, 1.48 g saturated fat, 0 mg cholesterol, 84.66 g carbohydrates, 17.92 g protein, 13.7 g fiber                            Nutritional analysis provided by                                        Other                                                                                                Reprinted with permission from Meatless From the Kitchens of Martha Stewart Living, © 2013 Martha Stewart Living Omnimedia, Inc.For more than twenty years, the food editors and chefs in the kitchens at MARTHA STEWART LIVING have produced dozens of bestselling cookbooks, including Martha Stewart's Cooking School, Martha's American Food, Martha's Baking Handbook, Everyday Food: Great Food Fast, and Power Foods. MARTHA STEWART is the author of more than 75 books on cooking, entertaining, crafts, home-keeping, gardens, weddings, and decorating. She is the host of Cooking School on PBS.","Chickpea Curry with Roasted Cauliflower and Tomatoes might be just the <b>Indian</b> recipe you are searching for. Watching your figure? This gluten free and vegan recipe has <b>349 calories</b>, <b>16g of protein</b>, and <b>11g of fat</b> per serving. This recipe serves 4. For <b>$2.93 per serving</b>, this recipe <b>covers 34%</b> of your daily requirements of vitamins and minerals. Several people really liked this main course. Head to the store and pick up baby spinach, chickpeas, olive oil, and a few other things to make it today. To use up the curry powder you could follow this main course with the <a href=""https://spoonacular.com/recipes/curry-ice-cream-with-mango-and-pistachio-539368"">Curry Ice Cream with Mango and Pistachio</a> as a dessert. 220 people have made this recipe and would make it again. From preparation to the plate, this recipe takes about <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/vadouvan-roasted-cauliflower-with-harissa-chickpea-curry-736224"">Vadouvan-Roasted Cauliflower with Harissa Chickpea Curry</a>, <a href=""https://spoonacular.com/recipes/chickpea-and-cauliflower-curry-30406"">Chickpean And Cauliflower Curry</a>, and <a href=""https://spoonacular.com/recipes/chickpea-curry-with-cauliflower-577749"">Chickpea Curry with Cauliflower</a> for similar recipes.","2 1/2 cups baby spinach; 1/2 head cauliflower (about 1 pound), trimmed and cut into florets; 1 1/2 pints cherry tomatoes; 3 cups cooked chickpeas, drained and rinsed; Coarse salt and freshly ground pepper; 1 tablespoon plus 1 teaspoon curry powder; 1 tablespoon chopped fresh cilantro leaves; 1 tablespoon minced peeled fresh ginger; 3 garlic cloves, minced; 2 tablespoons plus 2 teaspoons extra-virgin olive oil; 1 large yellow onion, cut into medium dice",353,11g,53g,16g
608281,Thai Red Curry Lentils with Cauliflower and Carrot,https://spoonacular.com/recipeImages/608281-312x231.jpg,indian,37,40,http://www.runningonrealfood.com/thai-red-curry-lentils-with-cauliflower-and-carrot/,270.67,94.0,264,True,True,True,True,4,"Heat the oil in a large pot.Add the onion, garlic and ginger.Cook for 5 minutes on medium heat, stirring.Add the red curry paste and cook for another minute or two, stirring.Add the coconut milk, brown sugar, lime juice, tamari and lentils.Simmer over low heat, covered, for about 15 minutes.Add the vegetables and cook for another 15-20 minutes, covered, stirring occasionally, until everything is soft and cooked. If it gets too thick as it's cooking, add a little water.Serve over rice or noodles with fresh cilantro and lime.","Need a <b>gluten free and vegan main course</b>? Thai Red Curry Lentils with Cauliflower and Carrot could be an awesome recipe to try. For <b>$2.4 per serving</b>, this recipe <b>covers 43%</b> of your daily requirements of vitamins and minerals. This recipe makes 4 servings with <b>912 calories</b>, <b>31g of protein</b>, and <b>57g of fat</b> each. Head to the store and pick up bell pepper, coconut milk, garlic, and a few other things to make it today. To use up the canned coconut milk you could follow this main course with the <a href=""https://spoonacular.com/recipes/healthy-key-lime-tarts-496341"">Healthy Key Lime Tarts</a> as a dessert. From preparation to the plate, this recipe takes about <b>40 minutes</b>. 264 people have made this recipe and would make it again. This recipe is typical of Indian cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/purple-cauliflower-thai-green-coconut-curry-with-carrot-noodles-606356"">Purple Cauliflower Thai Green Coconut Curry with Carrot Noodles</a>, <a href=""https://spoonacular.com/recipes/thai-red-curry-with-vegetables-917840"">Thai Red Curry with Vegetables</a>, and <a href=""https://spoonacular.com/recipes/thai-red-curry-cauliflower-rice-720886"">Thai Red Curry Cauliflower Rice</a> for similar recipes.","1 tbsp brown sugar; 2 cans coconut milk; 3 carrots, sliced; ½ crown cauliflower, chopped; 3 cloves garlic, minced; ½ tbsp ginger, minced; 1 green pepper, diced; 3 tbsp fresh lime juice; 2 tbsp olive oil; 3 tbsp red curry paste; 2 cups uncooked red lentils; 3 tbsp tamari; ¼-1/2 cup water, optional, only add if it's too thick as it's cooking; ½ white onion, diced",927,57g,82g,32g
215076,Curry coconut fish parcels,https://spoonacular.com/recipeImages/215076-312x231.jpg,indian,12,25,https://www.bbcgoodfood.com/recipes/2360681/curry-coconut-fish-parcels,697.46,100.0,287,False,False,True,True,2,"Heat oven to 200C/180C fan/gas 6. Tear off 4 large pieces of foil, double them up, then place a fish fillet in the middle of each. Spread over the curry paste. Divide the coconut, lime zest and juice, and soy between each fillet. Bring up the sides of the foil, then scrunch the edges and sides together to make 2 sealed parcels.
Put the parcels on a baking tray and bake for 10-15 mins. Tip the rice into a pan with plenty of water, and boil for 12-15 mins or until cooked. Drain well. Serve the fish on the rice, drizzle over the chilli sauce and scatter with sliced chilli. Serve with broccoli and lime wedges.","Curry coconut fish parcels is an Indian recipe that serves 2. One serving contains <b>521 calories</b>, <b>43g of protein</b>, and <b>5g of fat</b>. For <b>$6.97 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. A mixture of soy sauce, lime zest, basmati rice, and a handful of other ingredients are all it takes to make this recipe so flavorful. It works best as a main course, and is done in around <b>25 minutes</b>. This recipe from BBC Good Food has 287 fans. It is a good option if you're following a <b>gluten free, dairy free, and pescatarian</b> diet. With a spoonacular <b>score of 99%</b>, this dish is super. <a href=""https://spoonacular.com/recipes/coconut-curry-fish-470665"">Coconut Curry Fish</a>, <a href=""https://spoonacular.com/recipes/fish-in-coconut-milk-curry-127849"">Fish in Coconut Milk Curry</a>, and <a href=""https://spoonacular.com/recipes/indian-fish-coconut-curry-602566"">Indian Fish Coconut Curry</a> are very similar to this recipe.","2 large tilapia fillets, about 125g 4½oz each; 2 tsp yellow or red curry paste; 2 tsp desiccated coconut; zest and juice 1 lime, plus wedges to serve; 1 tsp soy sauce; 140g basmati rice; 2 tbsp sweet chilli sauce; 1 red chilli, sliced; 200g cooked thin-stemmed broccoli, to serve",521,5g,77g,43g
479373,Meatless Monday: Red Lentil and Spinach Masala,https://spoonacular.com/recipeImages/479373-312x231.jpg,indian,19,45,http://feedmephoebe.com/2014/02/red-lentil-recipe/,179.5,61.0,4355,True,True,True,True,4,"In a large stock pot or Dutch oven, heat the oil. Saute the onion over medium-high heat until soft, 5 minutes. Add the garlic, ginger, serrano, cumin, garam masala, and coriander. Cook until very fragrant, 2 minutes. Carefully pour in the tomatoes, scraping up any brown bits that formed on the bottom of the pan. Cook, stirring occasionally, until the liquid has reduced and the tomato chunks have softened, 5 minutes. Add the coconut milk and 1 cup water. Bring to a boil over high heat. Stir in the lentils and reduce the heat to medium-low. Cook until the lentils are tender, 25-35 minutes, stirring occasionally to prevent the lentils from sticking to the bottom of the pan. Fold in the spinach and cook until wilted, 3 minutes. Serve alongside coconut rice.","The recipe Meatless Monday: Red Lentil and Spinach Masala could satisfy your Indian craving in roughly <b>45 minutes</b>. This recipe makes 4 servings with <b>495 calories</b>, <b>17g of protein</b>, and <b>30g of fat</b> each. For <b>$1.8 per serving</b>, this recipe <b>covers 35%</b> of your daily requirements of vitamins and minerals. It works well as a main course. Head to the store and pick up garam masala, coconut milk, garlic cloves, and a few other things to make it today. To use up the sea salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/raspberry-sea-salt-brownies-494161"">Raspberry Sea Salt Brownies</a> as a dessert. This recipe is liked by 4355 foodies and cooks. It is a good option if you're following a <b>gluten free and vegan</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is outstanding. Try <a href=""https://spoonacular.com/recipes/carrot-apple-lentil-soup-with-herb-goat-cheese-meatless-monday-612238"">Carrot Apple Lentil Soup with Herb Goat Cheese (Meatless Monday)</a>, <a href=""https://spoonacular.com/recipes/meatless-monday-healthy-italian-spinach-pie-556716"">Meatless Monday: Healthy Italian Spinach Pie</a>, and <a href=""https://spoonacular.com/recipes/fettuccine-with-lemon-mushrooms-and-spinach-meatless-monday-524396"">Fettuccine with Lemon Mushrooms and Spinach (Meatless Monday)</a> for similar recipes.","5 ounces baby spinach; 1 15-ounce can coconut milk; 1 15-ounce can diced tomatoes; 1 tablespoon olive or coconut oil; ¼ teaspoon coriander; 1-inch fresh ginger, peeled and minced; 1 teaspoon garam masala; 2 garlic cloves, minced; 1 teaspoon ground cumin; 1 cup red lentils; 1 small red onion, diced; 1 teaspoon sea salt; 1 serrano chili pepper, seeded and minced",495,30g,46g,17g
