title,region,instructions
Chicken Curry Fried Rice,chinese,"InstructionsPlace carrots and water to just cover in a microwavable bowl; microwave on high for 3 minutes; drain. Alternatively, steam carrots on the stove or used leftover cooked carrots.Heat oil in a large pan; add onions and saute until translucent, about 2-3 minutes. Add curry powder and saute until fragrant, about 15-20 seconds. Add chicken, cooked brown rice and peas and toss well. Add oyster sauce and continue to toss until rice is hot. Scatter scallions and toasted almonds on top just before serving."
Quinoa Veggie “Fried Rice”,chinese,"Heat 1 tablespoon olive oil in a medium skillet over low heat. Add eggs and fry until cooked through, about 2-3 minutes per side, flipping only once. Let cool before dicing into small pieces. Heat remaining 1 tablespoon olive oil in a large skillet or wok over medium high heat. Add garlic and onion, and cook, stirring often, until onions have become translucent, about 4-5 minutes. Add mushrooms, broccoli and zucchini. Cook, stirring constantly, until vegetables are tender, about 3-4 minutes. Add corn, peas, carrots and quinoa. Cook, stirring constantly, until heated through, about 1-2 minutes. Add ginger and soy sauce, and gently toss to combine. Cook, stirring constantly, until heated through, about 2 minutes. Stir in green onions and eggs. Serve immediately, drizzled with Sriracha, if desired."
Shaved Brussels Sprouts and Ginger Potstickers,chinese,"Heat sesame oil in a large skillet with a lid. Add minced onion and cook for 2 minutes. Add in Brussels Sprouts, lime juice, and ginger; cooking until brussels sprouts are brighter in color and just tender, 3-4 minutes. Remove from heat and stir in the parsley and cilantro.Set up an assembling station with a small bowl of water, filling, and wrappers. Working with one skin at a time, place about 1 tablespoon of filling in the middle. Dip your finger in the water and run it along the entire edge of the wrapper. Fold both ends up (or corners if you are using square wrappers) and lightly pinch. Working with one side, pleat and pinch together making sure that once pleated, the potsticker is closed. Repeat with remaining filling.If you want, you may now freeze any potstickers you may not use. Simply place on a tray so that no potsticker is touching another and freeze. Once frozen you may then transfer to a container. When ready to eat, you can cook them frozen- just allow for a little extra time.For cooking potstickers, heat a tablespoon of sesame or olive oil over medium-high heat. Place potstickers in pan so that no potsticker is touching. Cook for 1- 1½ minutes until bottom is browned. Pour in ¼ cup of water, place a tight fitting lid on the pan, and continue to cook for another 3-4 minutes or until the wrappers are tender.Serve with a drizzle of tamari and sprinkle of toasted sesame seeds."
Egg Roll Stir-Fry (aka Egg Roll in a Bowl),chinese,"Mix garlic, ginger and soy sauce in a small bowl. Set aside.Heat sesame oil in pan, add ground pork and cook until browned.Lower heat and add chopped onion and cook until browned.Add cabbage, carrots. Add in garlic and ginger mixture.Cook for 5-7 minutes allowing cabbage cooks down, making sure to stir often.Salt and pepper to taste.Take off heat and serve hot."
Chicken chow mein,chinese,"<p>Cook the noodles in a pan of boiling water for 2-3 minutes until al dente, or according to packet instructions. Drain, then rinse under cold running water and drain again. Drizzle with a dash of sesame oil and toss through to prevent the noodles from sticking to each other.                 </p><p>        Place the chicken strips in a bowl and season with a dash of dark soy sauce, the five-spice powder and chilli sauce, if using. Mix well, then lightly dust the chicken strips with the cornflour.                </p><p>        Heat a wok until smoking and add the groundnut oil, then add the chicken and stir fry for 3-4 minutes, or until the chicken is golden-brown and cooked through.                 </p><p>        Add the red pepper and stir fry for one minute, then add the bean sprouts and spring onion and stir fry for 30 seconds. Stir in the cooked noodles and season with the light soy sauce, a dash of sesame oil and freshly ground black pepper.                </p><p>        Pile the noodles onto a serving plate and serve immediately.</p>"
Chinese Beef & Broccoli Stir-Fry {Skinnytaste Giveaway},chinese,"In a shallow glass container, whisk together the cornstarch 2 teaspoons of the soy sauce, rice wine and 1 teaspoon of the sesame oil.  Sprinkle the salt over the steak.  Add the steak to the marinade, turn to coat, and let rest at room temperature for 30 minutes.Bring a large saucepan of water to a boil.  Add the broccoli and cook until bright green and tender-crisp, 45 seconds to 1 minute.  Drain and immediately rinse with cold water to stop the broccoli from cooking further.Heat a large nonstick skillet over high heat.  Add 1 teaspoon of the sesame oil and half of the steak.  Cook 30 seconds on each side, without stirring as its cooking.  Transfer to a plate and repeat with another 1 teaspoon of the sesame oil and the rest of the steak.Heat the remaining 1 teaspoon of the sesame oil and add the white parts of the scallions, garlic and ginger.  Cook for 30 seconds.Add the broccoli, brown sugar, remaining 3 tablespoons of the soy sauce and oyster sauce.  Cook, stirring constantly, for 30 seconds.Add the beef and cook for 30 seconds.  Remove from the heat and stir in the scallion greens.  Serve over brown rice."
Thai Quinoa Fried Rice,chinese,"Place quinoa and water in a medium pot. Bring to a boil then reduce heat to low and simmer, covered, for 15 minutes. Fluff with a fork and set aside.Meanwhile, stir together sauce ingredients and set aside.Heat oil in a large pot or dutch oven over medium heat. Once hot, add onion. Sautee for 3 minutes and then add garlic and ginger. Saute for another minute or until fragrant. Add broccoli slaw, peppers, and edamame. Sautee for 5 minutes.Add bok choy and saute for another 2 minutes.Turn off heat. Add cooked quinoa and sauce to veggie mix, stirring to combine. Season to taste with soy sauce, red pepper flakes, and/or sriracha if desired. Top with green onions and peanuts if desired. Serve hot or cold."
Vegan Tofu and Cashew Fried Rice,chinese,"Mix the vegetable stock, cornstarch and soy sauce in a small dish and set aside.In a large wok or frying pan, heat the sesame oil over medium-high heat then add the tofu, garlic, red pepper and jalapeo. Cook, stirring often for about 10 minutes until the tofu starts to brown.Add the curry powder, stir to combine.Add the cashews and green onion and cook for a few more minutes until the onions are wilted.Add the vegetable stock mixture then stir in the cooked brown rice.Serve topped with fresh cilantro."
Easy Chinese Chicken Salad with Chow Mein Noodles,chinese,"Sauté the chicken: Heat both oils over high heat in a large sauté pan for 1 minute, then add the red pepper flakes and cook for 30 seconds.
Pat dry the chicken strips, sprinkle them with a little salt, and add them to the pan. Stir-fry the chicken over high heat until cooked through, 3-6 minutes depending on how hot your burner gets. Remove and set aside to cool.

Make dressing: In a small bowl, whisk together the dressing ingredients. Adjust seasonings to taste.

Toss salad to serve: In a large bowl, toss the chicken and salad ingredients together. Just before serving, toss with dressing and top with the chow mein noodles."
Chinese Beef and Broccoli,chinese,"1. In a small bowl, whisk together all of the marinade ingredients. Pour it into a gallon-size resealable plastic bag, add the beef, seal the bag and turn it so that all the pieces of the beef are coated in the marinade. Allow to rest at room temperature for 15 minutes.2. Meanwhile, place 1 inch of water in a large sauté pan and bring to a boil over high heat. Add the broccoli, cover and steam for 3 minutes. Drain the broccoli and set aside.3. Wipe the pan dry and place it over medium-high heat. Once hot, add the vegetable oil and quickly swirl it to coat the pan. Add the beef in as even a layer as possible, taking care not to overlap the pieces too much. Cook until the edges are browning, 30 seconds to 1 minute, then flip over. Add the garlic and ginger and begin to toss the beef mixture in a ""stir-fry"" fashion until no pink remains. 4. Remove the beef from the pan with a slotted spoon and place in a bowl. Whisk together the sauce ingredients and add to the pan, whisking and stirring until the sauce has thickened, about 1 to 2 minutes. Reduce the heat to low, add back the beef and broccoli to the pan and stir to coat it with the sauce. Serve immediately over white rice.Note:There is enough sauce to coat the beef and broccoli, but if you prefer more sauce, definitely double the sauce recipe."
