id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
695172,Inside-Out Lasagna,https://spoonacular.com/recipeImages/695172-312x231.jpg,italian,10,25,http://www.eatingwell.com/recipes/inside_out_lasagna.html,189.18,100.0,5585,False,False,False,False,4,"Bring a large pot of water to a boil. Add pasta; cook until just tender, 8 to 10 minutes or according to package directions. Drain and transfer to a large bowl.Meanwhile, heat oil in a large nonstick skillet over medium heat. Add onion and garlic and cook, stirring, until soft and beginning to brown, about 3 minutes. Add mushrooms, salt and pepper and cook, stirring, until the mushrooms release their liquid, 4 to 6 minutes.Add tomatoes, spinach and crushed red pepper (if using). Increase heat to medium-high; cook, stirring once halfway through, until the spinach is wilted, about 4 minutes.Toss the sauce with the pasta and divide among 4 bowls. Dollop each serving with 3 tablespoons of ricotta.","Inside-Out Lasagna might be just the main course you are searching for. For <b>$1.89 per serving</b>, this recipe <b>covers 34%</b> of your daily requirements of vitamins and minerals. One serving contains <b>384 calories</b>, <b>19g of protein</b>, and <b>9g of fat</b>. Many people made this recipe, and 5585 would say it hit the spot. This recipe is typical of Mediterranean cuisine. From preparation to the plate, this recipe takes about <b>25 minutes</b>. Head to the store and pick up rotini, canned tomatoes, pepper, and a few other things to make it today. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/inside-out-cheeseburger-278573"">Inside-Out Cheeseburger</a>, <a href=""https://spoonacular.com/recipes/inside-out-veggie-dip-368556"">Inside-Out Veggie Dip</a>, and <a href=""https://spoonacular.com/recipes/inside-out-slider-bar-745216"">Inside Out Slider Bar</a> for similar recipes.","8 cups baby spinach; 1 14-ounce can diced tomatoes with Italian herbs; 1/2 teaspoon crushed red pepper (optional); 3 cloves cloves garlic, sliced; 1 tablespoon extra-virgin olive oil; 1 onion, chopped; 3/4 cup part-skim ricotta cheese; 1/4 teaspoon freshly ground pepper; 8 ounces whole-wheat rotini or fusilli; 1/2 teaspoon salt; 8 ounces sliced white mushrooms (about 3 1/2 cups)",384,9g,60g,19g
695600,"Fresh Pomodoro Pasta, White Beans & Olives",https://spoonacular.com/recipeImages/695600-312x231.jpg,italian,12,30,http://www.eatingwell.com/recipes/fresh_pomodoro_pasta_white_beans_olives.html,146.49,96.0,1281,False,False,False,False,4,,"The recipe Fresh Pomodoro Pasta, White Beans & Olives could satisfy your Mediterranean craving in roughly <b>30 minutes</b>. This recipe makes 4 servings with <b>452 calories</b>, <b>18g of protein</b>, and <b>11g of fat</b> each. For <b>$1.09 per serving</b>, this recipe <b>covers 21%</b> of your daily requirements of vitamins and minerals. It works well as a main course. Many people made this recipe, and 1281 would say it hit the spot. A mixture of olive oil, pecorino romano cheese, oil-cured olives, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the kosher salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/low-fat-crumbs-cake-kosher-dairy-130933"">Low Fat Crumbs Cake (Kosher-Dairy)</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/pomodoro-pasta-with-white-beans-olives-697245"">Pomodoro Pasta with White Beans & Olives</a>, <a href=""https://spoonacular.com/recipes/pasta-salad-with-tuna-celery-white-beans-and-olives-356608"">Pasta Salad With Tuna, Celery, White Beans and Olives</a>, and <a href=""https://spoonacular.com/recipes/pasta-with-beans-artichokes-and-olives-108749"">Pasta With Beans, Artichokes, and Olives</a> for similar recipes.","1 15-ounce can cannellini beans, rinsed; 1/2 cup sliced fresh basil; 1 large clove garlic, minced; 1/4 teaspoon kosher salt; 1/4 cup oil-cured black olives, pitted (see Tip) and chopped; 2 tablespoons extra-virgin olive oil; 8 ounces whole-wheat pasta shells, tubetti, ziti or rigatoni; 1/4 cup grated Pecorino Romano cheese; Freshly ground pepper, to taste; 1 pound ripe tomatoes, diced (about 3 cups)",475,12g,75g,19g
558606,Thai Chicken Pizza,https://spoonacular.com/recipeImages/558606-312x231.jpg,italian,10,25,http://www.busybuthealthy.com/2011/11/19/thai-chicken-pizza/,326.39,100.0,305,False,False,True,False,1,"Preheat oven to 375 degrees F.Mix all sauce ingredients in small bowl and microwave for 30 seconds.Spread sauce on your tortilla.Add all the toppings (except peanuts & spinach).Bake directly on rack for 15-20 minutes until brown around the edges.Remove, add chopped peanuts and spinach.","Thai Chicken Pizza might be just the <b>Mediterranean</b> recipe you are searching for. One serving contains <b>525 calories</b>, <b>45g of protein</b>, and <b>25g of fat</b>. This gluten free recipe serves 1 and costs <b>$3.47 per serving</b>. If you have rice vinegar, handful spinach, ginger, and a few other ingredients on hand, you can make it. To use up the rice vinegar you could follow this main course with the <a href=""https://spoonacular.com/recipes/red-velvet-mug-cake-189954"">Red Velvet Mug Cake</a> as a dessert. 305 people have made this recipe and would make it again. It works best as a main course, and is done in about <b>25 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/california-pizza-kitchen-thai-chicken-pizza-601530"">California Pizza Kitchen Thai Chicken Pizza</a>, <a href=""https://spoonacular.com/recipes/thai-chicken-pizza-499378"">Thai Chicken Pizza</a>, and <a href=""https://spoonacular.com/recipes/thai-chicken-pizza-569875"">Thai Chicken Pizza</a> for similar recipes.","¼ cup shredded carrot; 3 oz cooked chicken breast, chopped; ½ tsp garlic, chopped fine; ½ tsp ginger, chopped fine; 2 Tbsp green onion, chopped; 3 Tbsp low fat cheese blend; 1 tsp less sodium soy sauce; ½ Tbsp natural peanut butter; 4-5 peanuts, chopped; ½ cup sliced red pepper; 1 tsp rice vinegar; ½ tsp sesame oil; Handful chopped spinach; ½ Tbsp less sugar apricot jam (less sugar orange marmalade would work too); 1 tortilla (I used Food for Life Brown Rice Tortilla)",465,20g,33g,41g
729352,Italian Sausage Stew with White Beans and Kale,https://spoonacular.com/recipeImages/729352-312x231.jpg,italian,10,20,http://www.rachelcooks.com/2016/04/01/italian-sausage-stew-white-beans-kale/,224.92,100.0,198,False,False,True,True,4,"In a large skillet, heat olive oil over medium-high heat. Add onion, carrot, and Italian sausage. Cook, stirring frequently and breaking up sausage, until sausage is browned and cooked through and onions are translucent. Add kale and continue to stir and cook until kale is wilted (1-2 minutes).Add tomatoes, beans, and broth and cook until heated through. If you desire the stew to be more soup-like, add more broth. Serve garnished with croutons, fresh parsley and grated Parmesan cheese.","Italian Sausage Stew with White Beans and Kale might be just the main course you are searching for. For <b>$2.25 per serving</b>, this recipe <b>covers 44%</b> of your daily requirements of vitamins and minerals. Watching your figure? This gluten free and dairy free recipe has <b>457 calories</b>, <b>35g of protein</b>, and <b>15g of fat</b> per serving. Several people made this recipe, and 197 would say it hit the spot. It can be enjoyed any time, but it is especially good for <b>Autumn</b>. A mixture of firmly-packed cups of torn kale leaves, canned tomatoes, carrots, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. This recipe is typical of Mediterranean cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is excellent. Try <a href=""https://spoonacular.com/recipes/italian-sausage-soup-with-kale-and-beans-926925"">Italian Sausage Soup with Kale and Beans</a>, <a href=""https://spoonacular.com/recipes/white-bean-kale-and-sausage-stew-224943"">White Bean, Kale and Sausage Stew</a>, and <a href=""https://spoonacular.com/recipes/kale-with-sausage-and-white-beans-245094"">Kale with Sausage and White Beans</a> for similar recipes.","1 can (15 ounce) great northern beans, drained and rinsed; 1 can (14.5 ounce) Red Gold petite diced tomatoes with their juice; 2 medium carrots, diced (about 1 cup); Garnish: homemade croutons, fresh parsley, grated Parmesan cheese; 20 ounces sweet Italian turkey sausage, casing removed; 4 firmly-packed cups of torn kale leaves (bite-sized pieces); 1 teaspoon olive oil; 1 medium onion, diced (about 1 cup); 1 cup reduced sodium chicken broth (more if desired)",457,15g,50g,35g
752413,Roasted Cauliflower Lasagna,https://spoonacular.com/recipeImages/752413-312x231.jpeg,italian,14,100,http://www.foodnetwork.com/recipes/food-network-kitchens/roasted-cauliflower-lasagna.html,331.33,80.0,19303,False,False,False,False,4,"Preheat the oven to 425 degrees F.                          Toss the cauliflower in a bowl with 1 tablespoon of the olive oil and 1/2 teaspoon salt. Spread the florets in an even layer on a baking sheet and roast, tossing once, until tender and golden brown in spots, 30 to 35 minutes. Cool slightly.                          Put the tomatoes in a medium bowl and use your hands to crush them. Rinse the can with 1 1/2 cups water and add it to the bowl of tomatoes.                          Heat the remaining tablespoon of oil with 4 cloves sliced garlic and 1/2 teaspoon salt in a small Dutch oven over medium heat until the garlic begins to sizzle and becomes aromatic, about 2 minutes. Add the bell pepper and cook, stirring, until soft, about 8 minutes. Add the tomato paste and stir to incorporate, about 30 seconds. Add the crushed tomatoes with their juice and 4 large leaves of basil. Bring to a boil, reduce the heat and simmer, stirring occasionally, until the sauce is thickened, about 40 minutes. You should have about 3 3/4 cups of sauce.                          Meanwhile, bring a large pot of water to a boil. Drop the lasagna noodles one at a time into the pot. Cook according to the package directions until al dente. Drain the noodles in a colander. Add 1 to 2 teaspoons oil to the noodles, tossing to coat to prevent them from sticking, and drape over the side of a large bowl.                          Combine the ricotta, egg, 1 1/2 cups of the roasted cauliflower and 1 chopped clove garlic in a food processor and pulse until evenly pureed. Tear the remaining basil into small pieces, add to the food processor and pulse 3 to 4 more times to chop the basil finely, but not puree. Transfer the mixture to a medium bowl.                          Assemble the lasagna: Spread a thin layer of sauce (around 1/4 cup) on the bottom of a 9-by-13-inch baking dish. Lay 4 of the noodles on the bottom, without overlapping, cutting to fit, if necessary. Spread with half of the cauliflower-ricotta mixture, followed by half of the roasted cauliflower, one-third of the tomato sauce, one-third of the mozzarella and one-third of the Parmesan. Loosely fit 3 more noodles on top of the cheese without overlapping. Spread with the remaining cauliflower-ricotta mixture, followed by the remaining roasted cauliflower, one-third more of the tomato sauce, one-third more of the mozzarella and one-third more of the Parmesan. Top with the remaining 4 lasagna noodles, cutting just to fit. Then add the remaining tomato sauce, mozzarella and Parmesan. Cover with foil and bake until bubbly and hot, about 20 minutes. Remove the foil and cook until the cheese begins to brown, about 10 minutes more. Allow to rest for 10 minutes so the lasagna will cut more easily. Garnish with the parsley.","Roasted Cauliflower Lasagna might be just the main course you are searching for. For <b>$3.24 per serving</b>, this recipe <b>covers 46%</b> of your daily requirements of vitamins and minerals. This recipe makes 4 servings with <b>592 calories</b>, <b>34g of protein</b>, and <b>21g of fat</b> each. 19303 people have tried and liked this recipe. A mixture of part-skim mozzarella, cauliflower florets, olive oil, and a handful of other ingredients are all it takes to make this recipe so tasty. From preparation to the plate, this recipe takes about <b>1 hour and 40 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/cook-the-book-lasagna-with-roasted-cauliflower-ricotta-and-spinach-207571"">Cook the Book: Lasagna with Roasted Cauliflower Ricottan and Spinach</a>, <a href=""https://spoonacular.com/recipes/cauliflower-noodles-lasagna-798646"">Cauliflower Noodles Lasagna</a>, and <a href=""https://spoonacular.com/recipes/wild-mushroom-and-cauliflower-lasagna-286439"">Wild Mushroom and Cauliflower Lasagna</a> for similar recipes.","1 28-ounce can no-salt added whole plum tomatoes; 8 cups cauliflower florets (from 1 head cauliflower; about 2 1/2 pounds); 1 large egg; 2 tablespoons fresh flat-leaf parsley leaves, chopped; 1 cup fresh basil leaves; 5 cloves garlic, 4 sliced and 1 chopped; Kosher salt; 2 tablespoons olive oil, plus more for coating the lasagna noodles; 1/4 cup grated Parmesan; 1 cup shredded part-skim mozzarella; 1 cup part-skim ricotta; 1 large red bell pepper, diced; 2 tablespoons tomato paste; 8 ounces whole-wheat lasagna noodles (about 10 noodles)",600,21g,77g,34g
514635,Pizza Sliders,https://spoonacular.com/recipeImages/514635-312x231.jpg,italian,17,30,http://wearychef.com/pizza-sliders/,292.12,55.0,920,True,False,False,False,4,"Preheat oven to 350 degrees F.Slice rolls in half, and arrange the bottom halves in a single layer in a baking dish. Spread about 1 tbsp. of sauce on each roll, top with desired toppings and mozzarella.Bake without the top halves of the rolls in the preheated oven for five minutes. Carefully place the top half of a roll on each sandwich, and bake another 7-10 minutes, or until rolls are golden brown.","Pizza Sliders might be just the <b>Mediterranean</b> recipe you are searching for. One serving contains <b>561 calories</b>, <b>27g of protein</b>, and <b>21g of fat</b>. For <b>$2.92 per serving</b>, you get a hor d'oeuvre that serves 4. Head to the store and pick up bell peppers, pizza sauce, wheat dinner rolls, and a few other things to make it today. This recipe is liked by 920 foodies and cooks. It is a good option if you're following a <b>vegetarian</b> diet. From preparation to the plate, this recipe takes approximately <b>30 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is tremendous. Similar recipes include <a href=""https://spoonacular.com/recipes/pizza-sliders-689331"">Pizza Sliders</a>, <a href=""https://spoonacular.com/recipes/pepperoni-pizza-sliders-838803"">Pepperoni Pizza Sliders</a>, and <a href=""https://spoonacular.com/recipes/pepperoni-pizza-sliders-837621"">Pepperoni Pizza Sliders</a>.","desired toppings like pepperoni, mushrooms, olives, or bell peppers (Get creative!); 1 c. pizza sauce; 2 c. shredded mozzarella cheese or 8 oz. fresh mozzarella, sliced; 12 wheat dinner rolls",561,21g,69g,27g
543872,Italian Beef Stew,https://spoonacular.com/recipeImages/543872-312x231.jpg,italian,9,295,http://www.cookingclassy.com/2013/04/italian-beef-stew/,290.56,96.0,521,False,False,False,True,8,"Heat 2 Tbsp olive oil in a large enameled cast iron pot over medium-high heat. Once hot add carrots, celery and onion and saute until lightly golden, about 5 - 6 minutes. Add garlic and saute 30 seconds longer. Pour mixture into a heat proof bowl and set aside. Place beef in a large resealable bag, add flour and season lightly with salt and pepper. Seal bag and toss well to evenly coat beef in flour. Return pot to medium-high heat, add remaining 3 Tbsp olive oil. Once oil is hot add beef and cook stirring occasionally until beef has browned. Add 1 cup broth and red wine vinegar and cook, stirring frequently while scraping bottom of pan to loosen browned bits on bottom, until sauce has thickened. Add remaining 3 cups beef broth, diced tomatoes, oregano, thyme, rosemary, marjoram, bay leaves, potatoes, mushrooms and sauteed veggie mixture. Season with salt and pepper to taste and bring mixture just to a boil, stirring occasionally. Reduce heat, cover pot and simmer 3 - 4 hours, stirring occasionally, until beef is very tender.Stir in fresh basil and parsley. Serve warm sprinkled with Parmesan or Romano cheese if desired.Recipe Source: Cooking Classy","Italian Beef Stew might be just the <b>Mediterranean</b> recipe you are searching for. For <b>$2.89 per serving</b>, you get a main course that serves 8. One serving contains <b>483 calories</b>, <b>45g of protein</b>, and <b>20g of fat</b>. 521 person have tried and liked this recipe. It will be a hit at your <b>Autumn</b> event. Head to the store and pick up cremini mushroom, wine vinegar, carrots, and a few other things to make it today. From preparation to the plate, this recipe takes approximately <b>4 hours and 55 minutes</b>. It is a good option if you're following a <b>dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is amazing. Similar recipes include <a href=""https://spoonacular.com/recipes/italian-beef-stew-417562"">Italian Beef Stew</a>, <a href=""https://spoonacular.com/recipes/italian-beef-stew-273956"">Italian Beef Stew</a>, and <a href=""https://spoonacular.com/recipes/italian-beef-and-ravioli-stew-159429"">Italian Beef and Ravioli Stew</a>.","2 bay leaves; 2 (15 oz) cans diced tomatoes; 4 medium carrots, chopped into 1/2-inch thick pieces (2 cups); 3 stalks celery, chopped into 1/2-inch thick pieces (1 1/2 cups); 8 oz cremini mushroom, sliced; 1/2 tsp dried marjoram; 3/4 tsp dried rosemary, crushed; 1 tsp dried thyme; 5 Tbsp extra virgin olive oil, divided; 1/3 cup all-purpose flour; 3 Tbsp chopped fresh basil; 2 Tbsp chopped fresh parsley; 3 cloves garlic, finely minced; 4 cups low-sodium beef broth; 1 tsp dried oregano; 1 Tbsp red wine vinegar; 2 1/2 lbs rump roast, trimmed of fat and cut into 1-inch pieces; 1 1/2 lbs Russet potatoes, peeled and diced into 1-inch pieces; salt and freshly ground black pepper; 1 large yellow onion, diced",421,16g,31g,38g
668377,Tofu-Spinach Lasagne,https://spoonacular.com/recipeImages/668377-312x231.jpg,italian,6,30,http://www.peta.org/recipes/tofu-spinach-lasagne/,194.51,57.0,10866,True,True,False,True,8,"<p>Cook the lasagne noodles according to the package directions. Drain and set aside.</p><p>Preheat the oven to 350 degrees F.</p><p>Squeeze the spinach as dry as possible and set aside.</p><p>Place the tofu, sugar, soy milk, garlic powder, lemon juice, basil, and salt in a food processor or blender and blend until smooth. Stir in the spinach.</p><p>Cover the bottom of a 9-inch-by-13-inch baking dish with a thin layer of tomato sauce, then a layer of noodles (use about one-third of the noodles). Follow with half of the tofu filling. Continue in the same order, using half of the remaining tomato sauce and noodles and all of the remaining tofu filling. End with the remaining noodles, covered by the remaining tomato sauce. Bake for 25 to 30 minutes.</p>","Tofu-Spinach Lasagne might be just the <b>Mediterranean</b> recipe you are searching for. This vegan recipe serves 8 and costs <b>$1.95 per serving</b>. One serving contains <b>236 calories</b>, <b>16g of protein</b>, and <b>4g of fat</b>. Many people really liked this main course. 10866 people have made this recipe and would make it again. Head to the store and pick up tomato sauce, sugar, salt, and a few other things to make it today. To use up the tofu you could follow this main course with the <a href=""https://spoonacular.com/recipes/tofu-cheesecake-131272"">Tofu Cheesecake</a> as a dessert. From preparation to the plate, this recipe takes around <b>30 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/lasagne-bolognese-with-spinach-188461"">Lasagne Bolognese with Spinach</a>, <a href=""https://spoonacular.com/recipes/spinach-pine-nut-lasagne-223889"">Spinach & pine nut lasagne</a>, and <a href=""https://spoonacular.com/recipes/baked-spinach-lasagne-19742"">Baked Spinach Lasagne</a> for similar recipes.","3 tsp. minced fresh basil; 2 10-oz. packages frozen chopped spinach, thawed and drained; 1/2 tsp. garlic powder; 1/2 lb. lasagne noodles; 2 Tbsp. lemon juice; 2 tsp. salt; 1/4 cup soy milk; 1 Tbsp. sugar; 1 lb. firm tofu; 1 lb. soft tofu; 4 cups tomato sauce",261,6g,36g,18g
573233,Creamy Italian Baked Pasta with Kale and Tomatoes,https://spoonacular.com/recipeImages/573233-312x231.png,italian,6,45,http://www.carascravings.com/2012/07/creamy-italian-baked-pasta-with-kale-and-tomatoes-for-land-olakes-30-days-of-outdoor-dining.html,153.12,100.0,64,False,False,False,False,8,"Preheat oven to 350ºF. Spray a 9x13"" baking dish with nonstick cooking spray.Heat olive oil in a skillet over medium heat. Add the tomato halves and saute until softened and beginning to blister, about 4 minutes. Add the garlic, red pepper and salt. Saute for 1 more minute and remove from heat.Bring a large pot of water to a boil. Add the pasta and cook until al dente, adding the kale during the last 5 minutes of cooking. Reserve 1 cup of cooking water, then drain the pasta well and return to the pot. Combine the silken tofu and pasta water in a blender and process until smooth. Add the egg and blend again. Pour the mixture into a medium saucepan. Gently bring to a simmer over medium-low heat. Add about 1/4 of the cheese and stir until melted; repeat with remaining cheese. Turn off heat. Pour the cheese sauce over the cooked pasta and kale and stir to combine. Fold in tomatoes and fresh herbs. Transfer to the prepared baking dish. Bake for 20-25 minutes, until hot and bubbly. (May be prepared ahead of time, covered, and baked just before serving.)","You can never have too many main course recipes, so give Creamy Italian Baked Pasta with Kale and Tomatoes a try. One serving contains <b>265 calories</b>, <b>15g of protein</b>, and <b>11g of fat</b>. For <b>$1.22 per serving</b>, this recipe <b>covers 17%</b> of your daily requirements of vitamins and minerals. 64 people have tried and liked this recipe. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. This recipe is typical of Mediterranean cuisine. A mixture of pepper flakes, kale, garlic, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the pasta you could follow this main course with the <a href=""https://spoonacular.com/recipes/chocolate-dessert-pasta-138646"">Chocolate Dessert Pasta</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/cavatappi-pasta-with-turkey-italian-sausage-mushrooms-tomatoes-and-kale-497298"">Cavatappi Pasta with Turkey Italian Sausage, Mushrooms, Tomatoes, and Kale</a>, <a href=""https://spoonacular.com/recipes/creamy-vegan-pasta-with-sauted-kale-and-tomatoes-793842"">Creamy Vegan Pasta with Sautéed Kale, and Tomatoes</a>, and <a href=""https://spoonacular.com/recipes/creamy-baked-risotto-with-italian-sausage-and-sun-dried-tomatoes-718525"">Creamy Baked Risotto with Italian Sausage and Sun-Dried Tomatoes</a> for similar recipes.","freshly ground black pepper, to taste; 1-2 tablespoons minced fresh herbs, such as basil and thyme; 3 large cloves of garlic, minced; 1 cup (6oz) grape tomatoes, halved; 1/2 lb sliced Land O Lakes® 4 Cheese Italian Blend, torn into quarters; 8oz chopped fresh kale; 1 tablespoon olive oil; 8oz pasta, gluten-free if needed, preferably whole-grain; 1 cup pasta water; 1 teaspoon crushed red pepper flakes; 1/4 teaspoon salt; 1 12oz package firm, silken tofu (such as Mori Nu brand)",278,11g,32g,15g
508336,Butternut Squash Lasagna with Onion and Broccoli,https://spoonacular.com/recipeImages/508336-312x231.jpg,italian,11,45,http://citronlimette.com/recipe_archive/main_dishes/butternut-squash-lasagna-with-onion-and-broccoli/,150.21,66.0,1056,True,False,False,False,8,"Preheat oven to 425°.Combine squash, 1 tablespoon oil, sage, garlic, ½ teaspoon salt, and black pepper in a large bowl; toss to coat. Arrange squash mixture on a baking sheet coated with cooking spray. Bake at 425° for 30 minutes or until squash is tender. Cool slightly; peel garlic. Place squash and garlic in a bowl; partially mash with a fork.Heat remaining 1 tablespoon oil in a large Dutch oven over medium-high heat. Add onion, and sauté for 4 minutes. Reduce heat to medium-low; continue cooking for 10 minutes, add tomatoes and cook for another 5 minutes, stirring frequently. Place onion, tomato and cooked broccoli in a bowl.Heat 4½ cups milk, and bay leaf in a medium saucepan over medium-high heat. Bring to a boil; remove from heat. Let stand for 10 minutes. Discard bay leaf. Return pan to medium heat. Combine remaining ½ cup milk and flour in a small bowl. Add to pan, stirring with a whisk until blended. Bring to a boil; reduce heat, and simmer for 5 minutes or until thickened, stirring constantly. Remove from heat; stir in remaining ½ teaspoon salt, 1¼ cups cheese, red pepper, and nutmeg.Spread ½ cup milk mixture in bottom of a 13 x 9-inch glass or ceramic baking dish coated with cooking spray. Arrange 3 noodles over milk mixture; top with half of squash mixture, half of broccoli mixture, and ¾ cup milk mixture. Repeat layers, ending with noodles. Spread remaining milk mixture over noodles. Bake at 425° for 30 minutes, and remove from oven. Sprinkle with remaining ¼ cup cheese.Preheat broiler.Broil 2 minutes or until cheese is melted and lightly browned. Let stand 10 minutes before serving.","Butternut Squash Lasagna with Onion and Broccoli might be just the main course you are searching for. One serving contains <b>394 calories</b>, <b>17g of protein</b>, and <b>14g of fat</b>. For <b>$1.36 per serving</b>, this recipe <b>covers 25%</b> of your daily requirements of vitamins and minerals. If you have milk, butternut squash, broccoli florets, and a few other ingredients on hand, you can make it. To use up the bay leaf you could follow this main course with the <a href=""https://spoonacular.com/recipes/adorable-applesauce-cupcakes-182131"">Adorable Applesauce Cupcakes</a> as a dessert. 1056 people have tried and liked this recipe. This recipe is typical of Mediterranean cuisine. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 92%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/butternut-squash-caramelized-onion-and-spinach-lasagna-209205"">Butternut Squash, Caramelized Onion, and Spinach Lasagna</a>, <a href=""https://spoonacular.com/recipes/butternut-squash-caramelized-onion-and-spinach-lasagna-549874"">Butternut Squash, Caramelized Onion, and Spinach Lasagna</a>, and <a href=""https://spoonacular.com/recipes/butternut-squash-lasagna-502179"">Butternut Squash Lasagna</a> for similar recipes.","1 bay leaf; ½ teaspoon black pepper; 2 cups broccoli florets, blanched; 6 cups (1/2-inch) cubed peeled butternut squash; 5 tablespoons all-purpose flour; 1½ cups (6 ounces) shredded fontina cheese, divided; 2 tablespoons chopped fresh sage; 12 garlic cloves, unpeeled (about 1 head); 1 teaspoon kosher salt, divided; 5 cups 1% low-fat milk, divided; ¼ teaspoon grated whole nutmeg; 2 tablespoons extra-virgin olive oil, divided; 1 large onion, vertically sliced; 9 no-boil lasagna noodles; 2 Roma Tomatoes, diced",384,12g,53g,17g
