id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
791918,Teriyaki Salmon & Broccoli Bowls,https://spoonacular.com/recipeImages/791918-312x231.jpg,japanese,12,30,http://www.julieseatsandtreats.com/teriyaki-salmon-broccoli-bowls/,407.04,100.0,307,False,False,True,True,4,"Place salmon fillets in resealable plastic bag. Pour half of marinade over them. Place in fridge to marinate 10 minutes.                     Meanwhile chop broccoli into florets. Place in a bowl and pour the rest of the marinade over broccoli florets.                    Heat grill to medium heat. Place salmon on a piece of tinfoil. Cook 8-10 minutes, or until no longer spongy.                    In a skillet cook broccoli 3-4 minutes or until cooked crisp.                     While broccoli is cooking prepare rice in microwave.                     Serve everything arrange in bowls.","The recipe Teriyaki Salmon & Broccoli Bowls could satisfy your Japanese craving in approximately <b>30 minutes</b>. This main course has <b>504 calories</b>, <b>32g of protein</b>, and <b>11g of fat</b> per serving. This gluten free, dairy free, and pescatarian recipe serves 4 and costs <b>$2.87 per serving</b>. This recipe is liked by 307 foodies and cooks. A mixture of broccoli florets, brown ready rice, salmon fillets, and a handful of other ingredients are all it takes to make this recipe so scrumptious. To use up the brown rice you could follow this main course with the <a href=""https://spoonacular.com/recipes/brown-rice-pudding-247325"">Brown Rice Pudding</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is super. Similar recipes include <a href=""https://spoonacular.com/recipes/teriyaki-salmon-and-broccoli-bowls-667163"">Teriyaki Salmon and Broccoli Bowls</a>, <a href=""https://spoonacular.com/recipes/sriracha-salmon-and-teriyaki-broccoli-bowls-822362"">Sriracha Salmon and Teriyaki Broccoli Bowls</a>, and <a href=""https://spoonacular.com/recipes/teriyaki-salmon-rice-bowls-706637"">Teriyaki Salmon Rice Bowls</a>.",1 (5 oz) pouch 7 McCormick Grill Mates 7 Spice Teriyaki Marinade; 3 c. broccoli florets; 1 (8.8 oz) bag brown Ready Rice; 1 lb salmon fillets,519,12g,75g,32g
474356,Mixed Fish and Avocado Poke Tower {Deconstructed Sushi},https://spoonacular.com/recipeImages/474356-312x231.jpg,japanese,9,15,http://jeanetteshealthyliving.com/2013/04/mixed-fish-poke-tower.html,307.28,71.0,1847,False,False,True,True,3,"Mix all Poke ingredients except for avocado together in a medium bowl.Use a round biscuit cutter to mold poke. Spoon avocado inside biscuit cutter. Press down gently. Spoon poke on top and press gently. Carefully lift biscuit cutter. Depending on the size of your biscuit cutter, this recipe will probably make two towers.Serve with toasted seaweed wrappers and steamed rice. Each person can spoon a little rice on top of the seaweed sheet, and top with some poke. Use your fingers to eat.","The recipe Mixed Fish and Avocado Poke Tower {Deconstructed Sushi} is ready <b>in about 15 minutes</b> and is definitely a spectacular <b>gluten free, dairy free, and pescatarian</b> option for lovers of Japanese food. This hor d'oeuvre has <b>380 calories</b>, <b>28g of protein</b>, and <b>17g of fat</b> per serving. This recipe serves 3. For <b>$3.07 per serving</b>, this recipe <b>covers 23%</b> of your daily requirements of vitamins and minerals. 1847 people have made this recipe and would make it again. Head to the store and pick up snack size seaweed, sesame oil, sushi-grade fish, and a few other things to make it today. To use up the sesame seeds you could follow this main course with the <a href=""https://spoonacular.com/recipes/sesame-banana-bread-80347"">Sesame Banana Bread</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is great. Similar recipes include <a href=""https://spoonacular.com/recipes/deconstructed-sushi-chirashi-sushi-509386"">Deconstructed Sushi (Chirashi Sushi)</a>, <a href=""https://spoonacular.com/recipes/deconstructed-radish-sushi-bowl-577905"">Deconstructed Radish Sushi Bowl</a>, and <a href=""https://spoonacular.com/recipes/deconstructed-vegetable-sushi-bowl-608532"">Deconstructed Vegetable Sushi Bowl</a>.","1 avocado, diced; steamed rice; 3/4 pound sushi-grade fish (tuna, salmon, yellowtail), cut into small dice; 1 teaspoon ponzu sauce; 1 scallion, minced; Snack Size Toasted Seaweed; 1 teaspoon sesame oil; toasted sesame seeds, for garnish; 1 teaspoon gluten-free low-sodium soy sauce",380,17g,30g,28g
667163,Teriyaki Salmon and Broccoli Bowls,https://spoonacular.com/recipeImages/667163-312x231.jpg,japanese,14,40,http://damndelicious.net/2015/06/01/teriyaki-salmon-and-broccoli-bowls/,388.52,92.0,4265,False,False,True,True,4,"In a large saucepan of 1 1 /2 cups water, cook rice according to package instructions; set aside. In a small bowl, whisk together cornstarch and 1/4 cup water; set aside. In a small saucepan over medium heat, add soy sauce, brown sugar, garlic, ginger, honey and 1 cup water; bring to a simmer. Stir in cornstarch mixture until thickened enough to coat the back of a spoon, about 2 minutes; let cool to room temperature. Preheat oven to 400 degrees F. Lightly coat an 88 baking dish with nonstick spray. Place salmon filets along with the soy sauce mixture into the prepared baking dish and bake until the fish flakes easily with a fork, about 14-15 minutes. Place broccoli florets into a steamer or colander set over a pan of boiling water. Cover and steam for 5 mins, or until cooked through and vibrant green. Serve salmon immediately with rice and broccoli.","The recipe Teriyaki Salmon and Broccoli Bowls could satisfy your Japanese craving in around <b>40 minutes</b>. This recipe makes 4 servings with <b>504 calories</b>, <b>35g of protein</b>, and <b>10g of fat</b> each. For <b>$3.89 per serving</b>, this recipe <b>covers 36%</b> of your daily requirements of vitamins and minerals. Head to the store and pick up ginger, reduced sodium soy sauce, garlic, and a few other things to make it today. To use up the brown sugar you could follow this main course with the <a href=""https://spoonacular.com/recipes/brown-sugar-pound-cupcakes-with-brown-butter-glaze-63777"">Brown-sugar Pound Cupcakes With Brown-butter Glaze</a> as a dessert. This recipe is liked by 4261 foodies and cooks. Plenty of people really liked this main course. It is a good option if you're following a <b>gluten free, dairy free, and pescatarian</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is super. Similar recipes include <a href=""https://spoonacular.com/recipes/teriyaki-salmon-broccoli-bowls-791918"">Teriyaki Salmon & Broccoli Bowls</a>, <a href=""https://spoonacular.com/recipes/sriracha-salmon-and-teriyaki-broccoli-bowls-822362"">Sriracha Salmon and Teriyaki Broccoli Bowls</a>, and <a href=""https://spoonacular.com/recipes/teriyaki-salmon-rice-bowls-706637"">Teriyaki Salmon Rice Bowls</a>.","12 ounces broccoli florets, about 2-3 cups; 1/4 cup brown sugar, packed; 1 tablespoon cornstarch; 3 cloves garlic, minced; 1 tablespoon freshly grated ginger; 2 tablespoons honey; 1/4 cup reduced sodium soy sauce; 1 cup uncooked rice; 4 (5-ounce) salmon fillets",504,10g,69g,35g
670039,Honey Teriyaki Salmon and Veggies in Foil,https://spoonacular.com/recipeImages/670039-312x231.jpg,japanese,18,45,http://www.cookingclassy.com/2015/08/honey-teriyaki-salmon-and-veggies-in-foil/,522.77,100.0,1601,False,False,True,True,4,"Preheat oven to 400 degrees. For the sauce:In a small saucepan whisk together soy sauce, 3 Tbsp water, honey, rice vinegar, garlic, ginger and sesame oil. Season lightly with salt as needed. Bring to a boil over medium-high heat. In a small bowl whisk together cornstarch with remaining 2 Tbsp water until well combined. Pour into sauce mixture, reduce to medium and allow to boil 1 minute while stirring constantly. Remove from heat and let cool slightly, about 5 - 10 minutes.For the salmon and veggies:Toss broccoli and carrots with olive oil and season with salt and pepper. Cut 4 sheets of 14-inch length aluminum foil. Divide broccoli and carrot mixture among sheets layering in center in an even layer. Set aside 1/4 cup of the sauce mixture then brush bottom sides of salmon fillets with a scant tablespoon of the sauce then rotate and place salmon over veggies. Brush tops of salmon with another scant tablespoon of the sauce mixture. Pull sides of foil inward (the short length) and seal then roll edges up (try to leave a little room for heat to circulate, don't wrap tightly). Place packets on a baking sheet. Bake in preheated oven until salmon has cooked through, about 25 minutes. Serve with brown or white rice if desired and remaining sauce. Recipe source: Cooking Classy, inspired by my Teriyaki Salmon","You can never have too many main course recipes, so give Honey Teriyaki Salmon and Veggies in Foil a try. Watching your figure? This gluten free, dairy free, and pescatarian recipe has <b>679 calories</b>, <b>43g of protein</b>, and <b>26g of fat</b> per serving. This recipe serves 4 and costs $5.23 per serving. 1601 person have tried and liked this recipe. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. A mixture of broccoli florets, sesame seeds, carrots, and a handful of other ingredients are all it takes to make this recipe so yummy. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/honey-teriyaki-glazed-salmon-with-stir-fry-veggies-577102"">Honey-Teriyaki Glazed Salmon with Stir-Fry Veggies</a>, <a href=""https://spoonacular.com/recipes/salmon-and-summer-veggies-in-foil-773183"">Salmon and Summer Veggies in Foil</a>, and <a href=""https://spoonacular.com/recipes/pesto-salmon-and-italian-veggies-in-foil-884531"">Pesto Salmon and Italian Veggies in Foil</a> for similar recipes.","4 cups broccoli florets (chop small so they cook through); Cooked brown or white rice, for serving; 1 cup thinly sliced carrots; 2 1/2 tsp cornstarch; 3 cloves garlic, minced; 1 Tbsp minced ginger; 2 green onions, chopped; 1/4 cup honey; 1/3 cup low-sodium soy sauce; 2 1/2 Tbsp olive oil; 1 1/2 Tbsp rice vinegar; 4 (6 oz) skinless, salmon fillets; Salt and freshly ground black pepper; 1 tsp sesame oil; Sesame seeds, for garnish; 5 Tbsp water, divided",679,26g,69g,43g
812047,Paleo Salmon Teriyaki,https://spoonacular.com/recipeImages/812047-312x231.jpg,japanese,10,20,http://ahealthylifeforme.com/paleo-salmon-teriyaki/,490.12,89.0,2880,False,False,True,True,4,"Preheat oven to broiler and position top oven rack about 6 inch from the heat.Combine all of the glaze ingredients {except arrowroot} in a saucepan over medium heat and bring to a boil, stirring for 2-3 minutes.Remove saucepan from heat, and whisk in arrowroot.Place back on heat and stir until it thickens 2-3 minutes.In a medium bowl, combine carrots, cucumber, and bell pepper, season with a small pinch of kosher salt, then toss veggies in about 1 tablespoon of the glaze mixture. Set aside.Grease foil-lined baking sheet with coconut oil, and place salmon on foil. Drizzle salmon with olive oil, then broil for 2 minutes.Remove from oven and brush or drizzle glaze over salmon, covering top. Return to oven for 2-3 minutes or until top is golden and salmon is cooked through to your liking.Top salmon with veggies, cut salmon to desired serving size then garnish with scallions, cilantro, and sesame seeds.Pass any reserved glaze at the table for drizzling.","Paleo Salmon Teriyaki is a <b>caveman, gluten free, dairy free, and primal</b> main course. One serving contains <b>381 calories</b>, <b>35g of protein</b>, and <b>13g of fat</b>. This recipe serves 4 and costs $4.91 per serving. Head to the store and pick up honey, bell pepper, sesame oil, and a few other things to make it today. To use up the kosher salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/low-fat-crumbs-cake-kosher-dairy-130933"">Low Fat Crumbs Cake (Kosher-Dairy)</a> as a dessert. 2879 people have made this recipe and would make it again. This recipe is typical of Japanese cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is tremendous. Similar recipes include <a href=""https://spoonacular.com/recipes/grilled-teriyaki-steak-kabobs-paleo-902969"">Grilled Teriyaki Steak Kabobs (Paleo)</a>, <a href=""https://spoonacular.com/recipes/2-minute-homemade-teriyaki-sauce-paleo-679062"">2-Minute Homemade Teriyaki Sauce {Paleo}</a>, and <a href=""https://spoonacular.com/recipes/teriyaki-chicken-stir-fry-grain-free-paleo-550414"">Teriyaki Chicken Stir-Fry (Grain-Free, Paleo)</a>.","2 carrots, peeled and cut into matchsticks; 1 generous tablespoon cilantro, chopped; 1/4 cup coconut aminos; 1/2 english cucumber, peeled and cut into matchsticks; 2 teaspoons grated fresh ginger; 1 large garlic clove, minced; 1 sliced green onion, chopped; 1/4 cup honey; kosher salt; 1/4 cup juice from fresh orange; 1 red bell pepper, trimmed and cut into matchsticks; Pinch of red pepper flakes; 2 tablespoons rice vinegar; 1 1/2 pound salmon, skinless; 2 teaspoons sesame oil; 1/2 teaspoon sesame seeds, more if desired; 1 teaspoon arrowroot flour or tapioca flour",380,13g,29g,35g
833567,Sheet Pan Teriyaki Salmon and Vegetables,https://spoonacular.com/recipeImages/833567-312x231.jpg,japanese,6,20,http://www.skinnytaste.com/sheet-pan-teriyaki-salmon-and-vegetables/,545.11,100.0,578,False,False,True,True,2,"Preheat oven to 400 degrees. Cover a large sheet pan with foil or parchment, lightly spray olive oil and set aside.Meanwhile, combine sesame oil, garlic, ginger, soy sauce, vinegar and brown sugar in a small bowl and mix. Pour into a large ziplock bag and add salmon, marinate 10 minutes.In a medium bowl, toss broccoli and peppers with 1 tablespoon sesame oil,  teaspoon salt and pepper. Spread them evenly on prepared sheet pan and roast for 10 minutes.Remove veggies from oven, toss, and move them over slightly to make room for the salmon. Place the salmon on the sheet pan, reserving the marinade and return to oven, roast an additional 7 to 8 minutes, or until salmon is just cooked through.While salmon is cooking, heat a small skillet over low heat. Pour the remaining marinade and simmer stirring until the sauce has thickened slightly, about 1 to 1 1/2 minutes.Brush sauce over salmon and sprinkle fillets with sesame seeds and scallions. Serve with veggies on the side.","The recipe Sheet Pan Teriyaki Salmon and Vegetables could satisfy your Japanese craving in approximately <b>20 minutes</b>. This gluten free, dairy free, and pescatarian recipe serves 2 and costs <b>$5.04 per serving</b>. One serving contains <b>415 calories</b>, <b>31g of protein</b>, and <b>18g of fat</b>. If you have sesame oil, garlic clove, brown sugar, and a few other ingredients on hand, you can make it. To use up the peppers you could follow this main course with the <a href=""https://spoonacular.com/recipes/dr-pepper-cake-with-flour-cooked-frosting-539165"">Dr. Pepper Cake with Flour Cooked Frosting</a> as a dessert. 578 people have tried and liked this recipe. Plenty of people really liked this main course. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/sheet-pan-salmon-with-tomatoes-and-olives-921455"">Sheet Pan Salmon with Tomatoes and Olives</a>, <a href=""https://spoonacular.com/recipes/walnut-crusted-salmon-sheet-pan-dinner-915280"">Walnut Crusted Salmon Sheet Pan Dinner</a>, and <a href=""https://spoonacular.com/recipes/one-sheet-pan-parmesan-crusted-salmon-with-roasted-broccoli-919324"">One Sheet Pan Parmesan Crusted Salmon with Roasted Broccoli</a> for similar recipes.","Freshly ground black pepper, to taste; 2 cups (bite-size) broccoli florets; 1 teaspoon brown sugar; 1 garlic clove, grated; ½ teaspoon grated ginger; ¼ teaspoon kosher salt; 10 mini sweet rainbow peppers, seeded and halved; 2 tablespoons reduced sodium soy sauce (or gluten-free for gf diets); 2 (4 ounce) wild salmon filets; 1 large scallion, chopped; 1 tablespoon sesame oil; 1 teaspoon sesame oil; ½ teaspoon toasted sesame seeds; 1 teaspoon unseasoned rice vinegar",440,18g,43g,32g
792099,Grilled Teriyaki Cauliflower Steaks with Asian Gremolata,https://spoonacular.com/recipeImages/792099-312x231.jpg,japanese,19,55,http://www.foodiecrush.com/grilled-cauliflower-steaks/,545.77,100.0,268,True,True,True,True,2,"Preheat the grill to medium high and prepare the grates with canola oil.Slice the cauliflower heads into  inch slices. Place in a baking dish and pour the teriyaki sauce blend over the steaks and carefully toss the steaks to coat. Let sit at room temperature while preparing the rest of the dish.Pour the sesame seeds into a small saut pan and heat to medium high. Toast the seeds for 3 minutes or until lightly browned and fragrant, shaking the pan often so the seeds dont burn. Set aside to cool.In a small bowl, add the olive oil, brown sugar, kosher salt, lemon zest and lemon juice with the cilantro and mix well. Set aside.Place the cauliflower on the grill and baste with the reserved teriyaki sauce. Grill for 3-4 minutes on each side or until grill marks appear and cauliflower is cooked to your preference.Place on a serving platter and drizzle with the gremolata and top with sesame seeds. Serve immediately.","The recipe Grilled Teriyaki Cauliflower Steaks with Asian Gremolatan is ready <b>in roughly 55 minutes</b> and is definitely a tremendous <b>gluten free and dairy free</b> option for lovers of Japanese food. This side dish has <b>587 calories</b>, <b>15g of protein</b>, and <b>33g of fat</b> per serving. For <b>$3.05 per serving</b>, this recipe <b>covers 52%</b> of your daily requirements of vitamins and minerals. If you have brown sugar, mccormick sesame seeds, cilantro, and a few other ingredients on hand, you can make it. Plenty of people made this recipe, and 268 would say it hit the spot. It will be a hit at your <b>The Fourth Of July</b> event. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is spectacular. Similar recipes include <a href=""https://spoonacular.com/recipes/cold-grilled-ribeye-steaks-with-gremolata-81491"">cold-grilled"" Ribeye Steaks With Gremolata</a>, <a href=""https://spoonacular.com/recipes/grilled-halibut-steaks-on-a-bed-of-arugula-with-tomato-salad-and-gremolata-289650"">Grilled Halibut Steaks on a Bed of Arugula with Tomato Salad and Gremolata</a>, and <a href=""https://spoonacular.com/recipes/low-fat-teriyaki-grilled-tuna-steaks-89375"">Low-Fat Teriyaki Grilled Tuna Steaks</a>.","1 5-ounce packet Grill Mates® 7 Spice Teriyaki Single Use Marinade; 2 tablespoons brown sugar; 1-2 heads cauliflower; ½ cup cilantro, chopped finely; 1 teaspoon kosher salt; 1 teaspoon lemon juice; 2 tablespoons lemon zest; 3 tablespoons olive oil; 4 tablespoons McCormick sesame seeds",617,35g,78g,15g
906763,Teriyaki Peanut Tofu with Stir-Fried Veggies & Brown Rice,https://spoonacular.com/recipeImages/906763-312x231.jpg,japanese,13,40,http://www.ilovevegan.com/teriyaki-peanut-tofu-with-stir-fried-veggies-brown-rice/,226.23,60.0,18371,True,True,True,True,4,"Bring 2.5 cups of vegetable stock to a boil in a medium sized saucepan. Add 1 cup of brown rice, turn the heat down to low, cover and cook for 55 minutes.Once the rice is cooked, remove from heat and fluff with a fork.In a medium sized bowl, combine all of the sauce ingredients.After you've mixed all of the ingredients together, taste the sauce and feel free to customize it to your liking. Add more sriracha and/or chile garlic sauce for more heat, or add more brown sugar for sweetness. If you're a peanut butter lover you can double the amount used in this recipe.Heat 1 tbsp of sesame oil or coconut oil in a wok or skillet over medium-high heat.Arrange your cubed tofu in the wok. Cook until golden-brown, about 3-4 minutes.Flip each piece and brown the other side, cook for another 3-4 minutes.Once the tofu is cooked, pour it into the prepared teriyaki sauce and let it sit until you've cooked your vegetables.Heat 1 tbsp sesame oil in a skillet or wok over medium-high heat.Add the broccoli florets, toss, and cook for 2 minutes, stirring regularly.Add the zucchini and carrot, toss, and cook for 3 minutes, stirring regularly.Add the mushroom and red pepper, toss, and cook for another 2-3 minutes until the broccoli is tender yet crisp.Add a few dashes of soy sauce and toss to coat. Pour into a bowl and set aside.Reheat your wok or skillet and pour the tofu and sauce mixture into the hot pan.The sauce should bubble and thicken, stir constantly to prevent the sauce from burning.Once the sauce is thick (about 1-1.5 minutes) remove from heat.Serve the  of the vegetables and  of the tofu on a bed of brown rice (about  cup).Enjoy!","Need a <b>gluten free and vegan main course</b>? Teriyaki Peanut Tofu with Stir-Fried Veggies & Brown Rice could be a tremendous recipe to try. One portion of this dish contains about <b>19g of protein</b>, <b>20g of fat</b>, and a total of <b>474 calories</b>. This recipe serves 4. For <b>$2.38 per serving</b>, this recipe <b>covers 33%</b> of your daily requirements of vitamins and minerals. This recipe is liked by 18368 foodies and cooks. Head to the store and pick up zucchini, sesame seeds, brown rice, and a few other things to make it today. To use up the extra firm tofu you could follow this main course with the <a href=""https://spoonacular.com/recipes/vegan-soft-sugar-cookies-140542"">Vegan Soft Sugar Cookies</a> as a dessert. It is brought to you by I Love Vegan. This recipe is typical of Japanese cuisine. From preparation to the plate, this recipe takes approximately <b>40 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is amazing. <a href=""https://spoonacular.com/recipes/teriyaki-soba-noodles-with-tofu-and-stir-fried-spinach-761399"">Teriyaki Soba Noodles with Tofu and Stir-fried Spinach</a>, <a href=""https://spoonacular.com/recipes/garden-vegetable-stir-fry-with-tofu-and-brown-rice-101153"">Garden Vegetable Stir-fry with Tofu and Brown Rice</a>, and <a href=""https://spoonacular.com/recipes/spicy-peanut-sauce-with-brown-rice-noodles-and-veggies-577560"">Spicy Peanut Sauce with Brown Rice Noodles and Veggies</a> are very similar to this recipe.","4 tbsp soy sauce or Bragg's Liquid Aminos; 3 cups broccoli florets; 1 tbsp brown sugar; 1 cup carrots, sliced diagonally; 2 tbsp chile garlic sauce or sriracha (or a mix of the two); ½ tbsp sesame oil or coconut oil; 1 tbsp sesame oil or coconut oil; 3 cups cooked brown rice (1 cup brown rice + 2.5 cups vegetable stock); 1 block firm or extra-firm tofu, cubed; 3 cloves garlic, minced; 1 tbsp peanut butter; ½ red pepper, sliced; 2 tbsp sesame oil; 1 tbsp sesame seeds (optional); water to thin the sauce; 2 cup white button mushrooms, quartered; 2 cups zucchini, quartered and cut into ½ inch slices",457,19g,56g,19g
213069,Japanese salmon & avocado rice,https://spoonacular.com/recipeImages/213069-312x231.jpg,japanese,16,30,https://www.bbcgoodfood.com/recipes/11617/japanese-salmon-and-avocado-rice,345.56,88.0,203,False,False,True,True,4,"Rinse the rice in a sieve until the water runs clear. Drain and put in a large pan with 400ml water. Bring to the boil, turn the heat to low, cover, then cook for 10-12 mins until the rice is almost cooked. Remove from the heat, then leave, covered, for another 10 mins.
Thinly slice the salmon and arrange on a platter with the sliced avocado. Drizzle over the lemon juice and soy, making sure everything is evenly covered. Leave in the fridge to marinate for 10 mins.
Carefully tip the juices from the salmon platter into the rice, then stir in with a little salt. Divide the rice between 4 bowls. Scatter the sesame seeds, spring onions, chilli and coriander over the salmon and avocado, then serve with the rice.","Need a <b>gluten free, dairy free, and pescatarian main course</b>? Japanese salmon & avocado rice could be a great recipe to try. For <b>$3.46 per serving</b>, this recipe <b>covers 29%</b> of your daily requirements of vitamins and minerals. One portion of this dish contains approximately <b>26g of protein</b>, <b>22g of fat</b>, and a total of <b>586 calories</b>. This recipe serves 4. This recipe is typical of Japanese cuisine. 201 person were glad they tried this recipe. If you have sushi rice, juice of lemon, sesame seeds, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes around <b>30 minutes</b>. It is brought to you by BBC Good Food. Taking all factors into account, this recipe <b>earns a spoonacular score of 99%</b>, which is spectacular. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/salmon-avocado-and-rice-13979"">Salmon, Avocado And Rice</a>, <a href=""https://spoonacular.com/recipes/smoked-salmon-and-avocado-rice-triangles-21557"">Smoked Salmon and Avocado Rice Triangles</a>, and <a href=""https://spoonacular.com/recipes/smoked-salmon-avocado-brown-rice-sushi-bowl-494275""> Smoked Salmon, Avocado & Brown Rice Sushi Bowl</a>.","300g sushi rice; 350g skinless salmon fillet; 2 small, ripe avocados, sliced; juice 1 lemon; 4 tsp light soy sauce; 4 tsp toasted sesame seeds; 2 spring onions, thinly sliced; 1 red chilli, deseeded and thinly sliced; small handful coriander leaves",586,22g,73g,26g
977235,Sheet Pan Teriyaki Salmon,https://spoonacular.com/recipeImages/977235-312x231.jpg,japanese,7,30,https://damndelicious.net/2017/02/10/sheet-pan-teriyaki-salmon/,403.5,70.0,1033,False,False,True,True,4,"Preheat oven to 400 degrees F. Lightly oil a baking sheet or coat with nonstick spray.
Place salmon, green beans and carrots in a single layer onto the prepared baking sheet.
Spoon teriyaki sauce over the salmon.
Drizzle green beans and carrots with olive oil; season with salt and pepper, to taste.
Place into oven and cook until the fish flakes easily with a fork, about 16-18 minutes.*
Serve immediately, garnished with green onions and sesame seeds, if desired.","Sheet Pan Teriyaki Salmon takes roughly <b>30 minutes</b> from beginning to end. Watching your figure? This gluten free, dairy free, and pescatarian recipe has <b>359 calories</b>, <b>33g of protein</b>, and <b>17g of fat</b> per serving. This recipe serves 4. For <b>$4.03 per serving</b>, this recipe <b>covers 34%</b> of your daily requirements of vitamins and minerals. It is a <b>pretty expensive</b> recipe for fans of Japanese food. If you have teriyaki sauce, green beans, olive oil, and a few other ingredients on hand, you can make it. 1033 people have tried and liked this recipe. Plenty of people really liked this main course. It is brought to you by Damn Delicious. All things considered, we decided this recipe <b>deserves a spoonacular score of 92%</b>. This score is amazing. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/sheet-pan-teriyaki-salmon-853505"">Sheet Pan Teriyaki Salmon</a>, <a href=""https://spoonacular.com/recipes/sheet-pan-teriyaki-salmon-and-vegetables-833567"">Sheet Pan Teriyaki Salmon and Vegetables</a>, and <a href=""https://spoonacular.com/recipes/sheet-pan-teriyaki-salmon-with-green-beans-861108"">Sheet Pan Teriyaki Salmon with Green Beans</a>.","2 carrots, peeled and cut diagonally in 1/4-inch slices; 16 ounces green beans, trimmed; 2 green onions, thinly sliced; Kosher salt and freshly ground black pepper, to taste; 2 tablespoons olive oil; 4 (5-ounce) salmon fillets; 1/2 teaspoon sesame seeds; 1/2 cup teriyaki sauce, homemade or store-bought",359,17g,20g,33g
