id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
532391,Quinoa and Avocado Chimichurri Salad for Food Bloggers Against Hunger,https://spoonacular.com/recipeImages/532391-312x231.jpg,latin american,27,45,http://www.foodiecrush.com/2013/04/quinoa-and-avocado-chimichurri-salad-for-food-bloggers-against-hunger/,425.35,100.0,9891,True,False,True,False,2,"Combine lemon juice, vinegar, garlic, salt, red pepper flakes, oregano, and black pepper in small bowl. Whisk in oil, then stir in cilantro and parsley. Add spinach, roasted red bell pepper, quinoa and avocado to a bowl and dress with chimichurri sauce. Garnish with feta cheese and serve with flaxseed crackers if desired.","The recipe Quinoan and Avocado Chimichurri Salad for Food Bloggers Against Hunger is ready <b>in roughly 45 minutes</b> and is definitely a super <b>gluten free and vegetarian</b> option for lovers of South American food. One serving contains <b>870 calories</b>, <b>17g of protein</b>, and <b>65g of fat</b>. For <b>$4.25 per serving</b>, you get a main course that serves 2. If you have wine vinegar, spinach, quinoa, and a few other ingredients on hand, you can make it. To use up the avocados you could follow this main course with the <a href=""https://spoonacular.com/recipes/coconut-avocado-ice-cream-21587"">Coconut Avocado Ice Cream</a> as a dessert. Plenty of people made this recipe, and 9891 would say it hit the spot. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/frijoles-rancheros-food-bloggers-against-hunger-510442"">Frijoles Rancheros & Food Bloggers Against Hunger</a>, <a href=""https://spoonacular.com/recipes/beans-greens-rice-for-food-bloggers-against-hunger-539647"">Beans, Greens, & Rice for Food Bloggers Against Hunger</a>, and <a href=""https://spoonacular.com/recipes/5-ingredient-black-beans-and-rice-+-food-bloggers-against-hunger-577584"">5-Ingredient Black Beans and Rice + Food Bloggers Against Hunger</a> for similar recipes.","2 avocados, peeled, pitted, and sliced; ¼ cup chopped cilantro; 2 cups quinoa, cooked to package directions; ¼ cup fruity flavored extra virgin olive oil; 1/4 cup crumbled feta cheese; ¼ cup chopped fresh parsley; 3 cloves garlic, minced; kosher salt and freshly ground pepper; 2 tablespoons fresh lemon juice; ½ teaspoons dried oregano; ½ teaspoons red pepper flakes; 2 tablespoons red wine vinegar; 1 cup roasted red bell pepper, sliced; 2 cups fresh spinach",870,65g,65g,17g
496898,Seared Ahi Tuna with Chimichurri Sauce,https://spoonacular.com/recipeImages/496898-312x231.jpg,latin american,14,20,http://kitchenconfidante.com/seared-ahi-tuna-with-chimichurri-sauce-arugula-and-avocado-recipe,644.69,100.0,10079,False,False,True,True,4,"In a small bowl, stir 1/3 cup of olive oil with the cilantro, red onion, jalapeño, sherry vinegar, basil, parsley, garlic, thyme, red pepper flakes, and cayenne pepper. Season with salt and pepper, and set aside.Season both sides of the tuna generously with salt and pepper. Heat the remaining 2 tablespoons of olive oil in a non stick pan over high heat. Sear the tuna, about 2 minutes per side. Transfer to a cutting board and cut into thin slices.In a medium bowl, toss the baby arugula with about 1/2 of the chimichurri sauce. Place a handful of arugula on salad plates, and top with the the slices of tuna and avocado. Dress with more chimichurri sauce and serve with any remaining sauce on the side.","The recipe Seared Ahi Tuna with Chimichurri Sauce can be made <b>in around 20 minutes</b>. This recipe makes 4 servings with <b>510 calories</b>, <b>30g of protein</b>, and <b>39g of fat</b> each. For <b>$6.08 per serving</b>, this recipe <b>covers 38%</b> of your daily requirements of vitamins and minerals. It is brought to you by Kitchen Confidante. 10079 people were impressed by this recipe. Head to the store and pick up cilantro, avocados, jalapeño, and a few other things to make it today. It is a good option if you're following a <b>gluten free, dairy free, paleolithic, and primal</b> diet. It works well as a main course. It is an <b>expensive</b> recipe for fans of Latin American food. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is spectacular. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/seared-ahi-tuna-taco-with-asian-slaw-and-plum-sauce-345073"">Seared Ahi Tuna Taco with Asian Slaw and Plum sauce</a>, <a href=""https://spoonacular.com/recipes/pan-seared-ahi-tuna-with-maple-sriracha-soy-sauce-622053"">Pan Seared Ahi Tuna with Maple Sriracha Soy Sauce</a>, and <a href=""https://spoonacular.com/recipes/teddys-mommys-pan-seared-ahi-tuna-with-wasabi-sauce-90050"">Teddy's Mommy's Pan Seared Ahi Tuna With Wasabi Sauce</a>.","1 1-lb sushi-grade tuna steak; 2 avocados, pitted, peeled and sliced; 6 oz baby arugula; 2 tablespoons chopped basil; freshly ground black pepper; 1/8 teaspoon cayenne pepper; 1/2 cup chopped cilantro; 3 garlic cloves, minced; 1 jalapeño, minced; kosher salt; 1/3 cup plus 2 tablespoons extra-virgin olive oil; 2 tablespoons chopped parsley; 1/2 small red onion, minced; 1 teaspoon red pepper flakes; 3 tablespoons sherry vinegar; 1 teaspoon chopped thyme",532,39g,18g,31g
214971,Steak with chimichurri sauce,https://spoonacular.com/recipeImages/214971-312x231.jpg,latin american,11,18,https://www.bbcgoodfood.com/recipes/2195652/steak-with-chimichurri-sauce,510.06,100.0,240,False,False,True,True,2,"To make the chimichurri, blitz the parsley, oregano, garlic, shallot and chilli flakes in a food processor or chop very finely by hand. Add 2 tbsp of the olive oil, the lemon juice, vinegar and some seasoning, and pulse to combine everything to a saucy consistency.
Rub the remaining oil and a little seasoning into the steaks. Heat a griddle or frying pan and cook the steaks for 2-3 mins on each side or until done to your liking. Rest for a few mins, then spoon over the sauce and serve with fries and salad.","Steak with chimichurri sauce might be a good recipe to expand your main course recipe box. This recipe serves 2. One serving contains <b>490 calories</b>, <b>51g of protein</b>, and <b>28g of fat</b>. For <b>$5.1 per serving</b>, this recipe <b>covers 37%</b> of your daily requirements of vitamins and minerals. It is perfect for <b>valentin day</b>. It is brought to you by BBC Good Food. It is a <b>pricey</b> recipe for fans of Latin American food. 240 people were glad they tried this recipe. A mixture of olive oil, wine vinegar, juice of lemon, and a handful of other ingredients are all it takes to make this recipe so yummy. It is a good option if you're following a <b>gluten free, dairy free, and whole 30</b> diet. From preparation to the plate, this recipe takes roughly <b>18 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is outstanding. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/bistec-argentino-al-chimichurri-steak-with-chimichurri-sauce-144447"">Bistec Argentino al Chimichurri (Steak with Chimichurri Sauce)</a>, <a href=""https://spoonacular.com/recipes/steak-with-chimichurri-sauce-carne-con-chimichurri-226192"">Steak with Chimichurri Sauce (Carne con Chimichurri)</a>, and <a href=""https://spoonacular.com/recipes/the-best-chimichurri-a-chimichurri-marinade-steak-sauce-902577"">The Best Chimichurri : a Chimichurri Marinade & Steak Sauce</a>.","small bunch parsley, roughly chopped; ½ tsp oregano, fresh or dried; 2 garlic cloves; 1 shallot, chopped; ½ tsp chilli flakes; 2½ tbsp olive oil; juice ½ lemon; 2 tsp red wine vinegar; 2 x 125g rib-eye or sirloin steaks; fries and salad, to serve",490,28g,6g,51g
577514,"Avocado, Mozzarella, and Jalapeño Chimichurri Grilled Cheese",https://spoonacular.com/recipeImages/577514-312x231.jpg,latin american,18,25,http://naturallyella.com/2013/04/26/avocado-mozzarella-and-jalapeno-chimichurri-grilled-cheese/,215.43,59.0,11954,True,False,False,False,2,"<p>Place all ingredients in a food processor, pulsing until broken down and well combined, adding more olive oil or lime juice as needed.Preheat grill pan or regular pan over medium-low heat. Brush outsides of bread with olive oil. Place on piece of bread, olive oil side down, in the grill pan and smear on 1 tablespoon of chimichurri. Layer with slices of avocado and cheese. Smear 1 more tablespoon of chimichurri on remaining piece of bread and place olive oil side up.Cook on each side until crisp and cheese has melted.</p>","The recipe Avocado, Mozzarella, and Jalapeño Chimichurri Grilled Cheese could satisfy your South American craving in approximately <b>25 minutes</b>. For <b>$2.15 per serving</b>, you get a main course that serves 2. One serving contains <b>550 calories</b>, <b>16g of protein</b>, and <b>37g of fat</b>. This recipe from Naturally Ella has 11954 fans. <b>The Fourth Of July</b> will be even more special with this recipe. If you have honey, jalapeños, bread, and a few other ingredients on hand, you can make it. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. It is a good option if you're following a <b>vegetarian</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/roasted-strawberry-avocado-and-mozzarella-grilled-cheese-809791"">Roasted Strawberry, Avocado and Mozzarella Grilled Cheese</a>, <a href=""https://spoonacular.com/recipes/grilled-flank-steak-with-avocado-chimichurri-sauce-898843"">Grilled Flank Steak with Avocado Chimichurri Sauce</a>, and <a href=""https://spoonacular.com/recipes/building-a-better-grilled-cheese-smoky-jalapeo-grilled-cheese-with-tomatillos-492273"">Building A Better Grilled Cheese: Smoky Jalapeño Grilled Cheese with Tomatillos</a> for similar recipes.","1 ripe avocado, cut into ¼"" slices; ½ cup cilantro; 2-4 ounces fresh mozzarella; 1 clove garlic; 4 green onions; 2 teaspoons honey; Chimichurri Sauce; 2 jalapeños*; Juice from 1 lime; 2 tablespoons olive oil; 4 slices whole wheat bread",550,37g,43g,16g
814845,Ceviche,https://spoonacular.com/recipeImages/814845-312x231.jpg,latin american,9,70,http://www.slenderkitchen.com/recipe/ceviche,640.86,100.0,176,False,False,True,True,2,"Place the tilapia and onion in a non-reactive container and cover completely with lime juice. Cover and place in the fridge for 45-60 minutes until the fish is fully cooked through with the lime juice. It will be white.                                                        Take the tilapia out of the fridge and drain off the lime juice. Add the remaining ingredients and salt to taste. Enjoy on its own, with baked tortilla chips, as a tostada on an oven baked tortilla, or even over rice for a delicious meal.","Ceviche is a <b>caveman, gluten free, dairy free, and primal</b> main course. For <b>$6.41 per serving</b>, this recipe <b>covers 38%</b> of your daily requirements of vitamins and minerals. One serving contains <b>456 calories</b>, <b>49g of protein</b>, and <b>19g of fat</b>. This recipe from Slender Kitchen has 176 fans. This recipe is typical of South American cuisine. A mixture of tilapia, salt, u mango, and a handful of other ingredients are all it takes to make this recipe so scrumptious. To use up the avocado you could follow this main course with the <a href=""https://spoonacular.com/recipes/chocolate-avocado-mousse-quick-dark-chocolate-avocado-mousse-486646"">chocolate avocado mousse | quick dark chocolate avocado mousse</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/don-ceviche-and-ceviche-peruvian-kitchen-cookbook-giveaway-604913"">Don Ceviche {} and Ceviche Peruvian Kitchen cookbook {giveaway}</a>, <a href=""https://spoonacular.com/recipes/ceviche-de-camarn-con-coco-coconut-shrimp-ceviche-472398"">Ceviche de Camarón con Coco (Coconut Shrimp Ceviche)</a>, and <a href=""https://spoonacular.com/recipes/ceviche-de-mango-mango-ceviche-from-ceviche-peruvian-kitchen-603286"">Ceviche de Mango (Mango Ceviche) From Ceviche: Peruvian Kitchen</a> for similar recipes.","1 U avocado, chopped; 1/2 U red bell pepper, chopped; 1/4 cup cilantro, chopped; 1 U jalapeno, seeds removed and minced (or more to taste); 1 cup lime juice; 1/2 U mango, chopped; 1/2 U red onion, minced; Salt to taste; 1 lb tilapia, cut into 1/2 cubes*",456,19g,30g,49g
609132,Salmon Ceviche,https://spoonacular.com/recipeImages/609132-312x231.jpg,latin american,5,245,http://www.tablefortwoblog.com/salmon-ceviche/,299.11,69.0,2160,False,False,True,True,4,"In a large bowl, toss salmon, shallot, avocado, lime, salt and pepper together. Make sure you get the salmon cubes and avocado well-coated with the lime juice so the salmon gets ""cooked"" by the acid of the lime and the avocado stays bright green.Place in refrigerator for 3-4 hours.Serve with crusty bread and serve chilled.","Salmon Ceviche might be just the main course you are searching for. This caveman, gluten free, dairy free, and primal recipe serves 4 and costs <b>$2.99 per serving</b>. One serving contains <b>248 calories</b>, <b>24g of protein</b>, and <b>15g of fat</b>. 2160 people have tried and liked this recipe. If you have avocado, juice of lime, shallot, and a few other ingredients on hand, you can make it. To use up the juice of lime you could follow this main course with the <a href=""https://spoonacular.com/recipes/cranberry-orange-juice-slushee-128682"">Cranberry-Orange Juice Slushee</a> as a dessert. This recipe is typical of South American cuisine. From preparation to the plate, this recipe takes around <b>4 hours and 5 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/salmon-ceviche-355808"">Salmon Ceviche</a>, <a href=""https://spoonacular.com/recipes/salmon-ceviche-496653"">Salmon Ceviche</a>, and <a href=""https://spoonacular.com/recipes/salmon-ceviche-472582"">Salmon Ceviche</a> for similar recipes.","1 avocado, cubed; Juice of 1 lime; 1 pound fresh salmon filets, cubed into 1-inch squares; Salt and pepper, to taste; 1 shallot, diced",248,15g,6g,24g
551722,Grilled Pork Tenderloin with Chimichurri and Summer Veggies,https://spoonacular.com/recipeImages/551722-312x231.jpg,latin american,6,30,http://www.aspicyperspective.com/2010/07/charming-chimichurri.html,512.37,100.0,88,False,False,True,True,4,"For the Chimichurri: Place the parsley and the following 7 items in a food processor. Puree 30 seconds, then scrape the sides down and puree again.Cut the squash and carrots in half, by length. (Cut fat carrots in quarters.) Place all veggies in a baking dish and add 1/3 cup chimichurri. Sprinkle with salt.Rub ¼ cup of chimichurri over the pork loin and sprinkle with salt. Let the veggies and pork marinate for at least 30 minutes.Preheat grill to medium heat. Grill the pork for 15-18 minutes, rotating every 4-5 minutes. Let the meat rest 5-10 minutes, then slice into ½ inch pieces. After the pork comes off the grill, place the veggies on. Grill 3-5 minutes per side. Salt and pepper if needed. Serve the pork with the remaining chimichurri drizzled over the top. ","The recipe Grilled Pork Tenderloin with Chimichurri and Summer Veggies could satisfy your South American craving in approximately <b>30 minutes</b>. Watching your figure? This caveman, gluten free, dairy free, and primal recipe has <b>447 calories</b>, <b>54g of protein</b>, and <b>15g of fat</b> per serving. For <b>$5.03 per serving</b>, you get a main course that serves 4. A couple people made this recipe, and 88 would say it hit the spot. Head to the store and pick up asparagus, pork tenderloins, salt, and a few other things to make it today. To use up the red wine vinegar you could follow this main course with the <a href=""https://spoonacular.com/recipes/cherry-berry-pie-53000"">Cherry-Berry Pie</a> as a dessert. It is perfect for <b>The Fourth Of July</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/grilled-pork-tenderloin-with-chimichurri-and-summer-veggies-82069"">Grilled Pork Tenderloin With Chimichurri And Summer Veggies</a>, <a href=""https://spoonacular.com/recipes/grilled-chicken-and-veggies-with-chimichurri-sauce-322309"">Grilled Chicken and Veggies with Chimichurri Sauce</a>, and <a href=""https://spoonacular.com/recipes/pork-tenderloin-with-chimichurri-408746"">Pork Tenderloin with Chimichurri</a> for similar recipes.","1 lb. asparagus; 6 medium carrots; 1 Tb. cumin; 1 bunch fresh parsley, stems removed; 3 garlic cloves, minced; 1 cup olive oil; 2 Tb. dried oregano; 2-1 lb. pork tenderloins; ½ tsp. dried crushed red pepper; 3 Tb. red wine vinegar; 1 tsp. salt; 3 small summer squash; 3 small zucchini",432,15g,23g,53g
485634,Slow Cooker Carne Asada,https://spoonacular.com/recipeImages/485634-312x231.jpg,latin american,13,485,http://faithfulprovisions.com/2011/03/11/slow-cooker-carne-asada/,257.34,85.0,385,False,False,False,True,6,"Combine all ingredients in a slow cooker. Cook on low for 8 hours.  Before serving, take two forks and shred beef.   Stir with juices. Serve over warm corn tortillas and garnish with pico di gallo, avocados, lime and cilantro. Note:  The sauce tends to make the tortilla break. I recommend doubling up on the tortillas--two tortillas per wrap.","Slow Cooker Carne Asada might be just the <b>South American</b> recipe you are searching for. This recipe makes 6 servings with <b>592 calories</b>, <b>48g of protein</b>, and <b>29g of fat</b> each. For <b>$2.57 per serving</b>, this recipe <b>covers 34%</b> of your daily requirements of vitamins and minerals. A mixture of cumin, salsa, chili powder, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the cumin you could follow this main course with the <a href=""https://spoonacular.com/recipes/moroccan-chocolate-mousse-752536"">Moroccan Chocolate Mousse</a> as a dessert. It is a good option if you're following a <b>dairy free</b> diet. From preparation to the plate, this recipe takes roughly <b>8 hours and 5 minutes</b>. Many people made this recipe, and 385 would say it hit the spot. It works well as a main course. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/slow-cooker-carne-asada-801797"">Slow Cooker Carne Asada</a>, <a href=""https://spoonacular.com/recipes/slow-cooked-carne-asada-tacos-sundaysupper-511020"">Slow Cooked Carne Asada Tacos #SundaySupper</a>, and <a href=""https://spoonacular.com/recipes/carne-asada-769616"">Carne Asada</a> for similar recipes.","Diced Avocado; 1 can diced tomatoes with green chilies (Rotel); 1 teaspoon chili powder; cilantro; 1 teaspoon cumin; Corn or Flour Tortillas; 2 cloves garlic, minced; Fresh squeezed limes; Pico Di Gallo or diced tomatoes and onions; 1 cup salsa (tomato sauce based – like Chi Chi's or Old El Paso); 2 lbs flank steak or stew meat (i.e.- chuck roast)",524,25g,38g,41g
722421,Fijian Ceviche (Kokoda),https://spoonacular.com/recipeImages/722421-312x231.jpg,latin american,13,45,http://www.saveur.com/fijian-ceviche-kokoda-recipe,536.3,85.0,137,False,False,True,True,2,Instructions,"Need a <b>caveman, gluten free, dairy free, and primal main course</b>? Fijian Ceviche (Kokoda) could be an amazing recipe to try. This recipe makes 2 servings with <b>483 calories</b>, <b>51g of protein</b>, and <b>22g of fat</b> each. For <b>$5.58 per serving</b>, this recipe <b>covers 42%</b> of your daily requirements of vitamins and minerals. A mixture of scallions, cilantro, lime juice, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the coconut milk you could follow this main course with the <a href=""https://spoonacular.com/recipes/coconut-milk-banana-bread-795743"">Coconut Milk Banana Bread</a> as a dessert. This recipe from Saveur has 137 fans. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. This recipe is typical of South American cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/fijian-fish-lolo-86413"">Fijian Fish Lolo</a>, <a href=""https://spoonacular.com/recipes/don-ceviche-and-ceviche-peruvian-kitchen-cookbook-giveaway-604913"">Don Ceviche {} and Ceviche Peruvian Kitchen cookbook {giveaway}</a>, and <a href=""https://spoonacular.com/recipes/ceviche-de-camarn-con-coco-coconut-shrimp-ceviche-472398"">Ceviche de Camarón con Coco (Coconut Shrimp Ceviche)</a> for similar recipes.","3⁄4 cup coconut milk; 1⁄4 cup finely chopped fresh cilantro; Kosher salt and freshly ground black pepper; 2 tbsp. fresh lime juice, plus wedges to serve; 1 small red bell pepper, seeded and finely chopped; 1⁄2 small red onion, finely chopped; 3 scallions, thinly sliced; 1 lb. boneless, skinless snapper fillet, cut into 1⁄2-inch pieces; 1 vine-ripe tomato, cored, seeded, and finely chopped; 1 cup white vinegar; 1 small yellow bell pepper, seeded and finely chopped",470,22g,15g,50g
610378,Grilled Flank Steak and Fingerlings with Chimichurri,https://spoonacular.com/recipeImages/610378-312x231.jpg,latin american,9,25,http://kitchenconfidante.com/grilled-flank-steak-and-fingerlings-with-chimichurri-recipe,273.87,66.0,486,False,False,True,True,4,"In a small bowl, stir 1/3 cup of olive oil with the cilantro, red onion, jalapeo, sherry vinegar, thyme,garlic, red pepper flakes, and cayenne pepper. Season with salt and pepper, and set aside.Lightly brush both sides of the flank steak with 1 tablespoon olive oil. Season both sides of the flank steakgenerously with salt and pepper, cumin and coriander. Set aside to rest.Preheat the grill.Meanwhile, place the fingerling potatoes in a small pot with some water to just cover. Bring to a boil and let it cook for several minutes on medium high heat until the tip of a knife pierces the potatoes. Do not overboil or let the potatoes becomemushy. Drain and toss in remaining tablespoon of olive oil and season with salt and pepper.Grill the flank steak for about 6-7 minutes per side. Grill the fingerling potatoes (using a grill pan if necessary to prevent the potatoes from slipping through the grates) until the potatoes are golden on all sides.Transfer the flank steak to a cutting board and let it rest before slicing against the grain into thin slices. Transfer the flank steak to a serving plate, and place the grilled fingerling potatoes on the side. Season the fingerling potatoes with additional salt and pepper if necessary. Top the steak with the chimichurri, and serve with any remaining sauce on the side.","The recipe Grilled Flank Steak and Fingerlings with Chimichurri could satisfy your South American craving in roughly <b>25 minutes</b>. This recipe serves 4 and costs $2.34 per serving. One serving contains <b>315 calories</b>, <b>14g of protein</b>, and <b>21g of fat</b>. Plenty of people made this recipe, and 486 would say it hit the spot. It works well as a main course. It will be a hit at your <b>The Fourth Of July</b> event. Head to the store and pick up jalapeño, cayenne pepper, kosher salt, and a few other things to make it today. It is a good option if you're following a <b>gluten free, dairy free, and whole 30</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 95%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/grilled-flank-steak-with-chimichurri-81382"">Grilled Flank Steak With Chimichurri</a>, <a href=""https://spoonacular.com/recipes/grilled-flank-steak-with-chimichurri-718412"">Grilled Flank Steak with Chimichurri</a>, and <a href=""https://spoonacular.com/recipes/grilled-flank-steak-with-chimichurri-butter-530724"">Grilled Flank Steak with Chimichurri Butter</a> for similar recipes.","freshly ground black pepper; 1/4 teaspoon cayenne pepper; 1 cup chopped cilantro; 2 cups fingerling potatoes, halved; 1 flank steak; 3 garlic cloves, minced; 1 teaspoon ground coriander; 1 teaspoon ground cumin; 1 jalapeño, minced; kosher salt; 1/3 cup plus 2 tablespoons extra-virgin olive oil; 1/2 small red onion, minced; 1 teaspoon red pepper flakes; 3 tablespoons sherry vinegar; 2 tablespoons thyme",339,22g,22g,15g
