title,region,calories,fat,carbs,protein,summary
Chicken Curry Fried Rice,chinese,568,23,64,29,"Chicken Curry Fried Rice takes approximately <b>20 minutes</b> from beginning to end. This main course has <b>615 calories</b>, <b>28g of protein</b>, and <b>27g of fat</b> per serving. This gluten free and dairy free recipe serves 2 and costs <b>$1.48 per serving</b>. 2041 person were glad they tried this recipe. It is brought to you by Jeanettes Healthy Living. A mixture of chicken, olive oil, onion, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the cooked brown rice you could follow this main course with the <a href=""https://spoonacular.com/recipes/breakfast-rice-pudding-547155"">Breakfast Rice Pudding</a> as a dessert. This recipe is typical of Chinese cuisine. Taking all factors into account, this recipe <b>earns a spoonacular score of 99%</b>, which is tremendous. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/curry-pineapple-fried-rice-470883"">Curry Pineapple Fried Rice</a>, <a href=""https://spoonacular.com/recipes/green-curry-fried-rice-558634"">Green Curry Fried Rice</a>, and <a href=""https://spoonacular.com/recipes/curry-fried-couscous-rice-249163"">Curry Fried “Couscous” Rice</a>."
Quinoa Veggie “Fried Rice”,chinese,409,14,57,20,"The recipe Quinoa Veggie “Fried Rice” could satisfy your Chinese craving in about <b>30 minutes</b>. This gluten free, dairy free, and vegetarian recipe serves 4 and costs <b>$1.85 per serving</b>. This main course has <b>404 calories</b>, <b>19g of protein</b>, and <b>13g of fat</b> per serving. 9911 person have made this recipe and would make it again. Head to the store and pick up sriracha, olive oil, zucchini, and a few other things to make it today. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/veggie-loaded-fried-quinoa-491250"">Veggie Loaded Fried Quinoa</a>, <a href=""https://spoonacular.com/recipes/very-veggie-fried-rice-859057"">Very Veggie Fried Rice</a>, and <a href=""https://spoonacular.com/recipes/very-veggie-fried-rice-928473"">Very Veggie Fried Rice</a> for similar recipes."
Shaved Brussels Sprouts and Ginger Potstickers,chinese,592,28,73,17,"The recipe Shaved Brussels Sprouts and Ginger Potstickers could satisfy your Chinese craving in approximately <b>30 minutes</b>. One serving contains <b>592 calories</b>, <b>17g of protein</b>, and <b>28g of fat</b>. For <b>$3.05 per serving</b>, you get a hor d'oeuvre that serves 1. It is a good option if you're following a <b>dairy free</b> diet. 4298 people have tried and liked this recipe. Head to the store and pick up olive oil, sesame seeds, sesame oil, and a few other things to make it today. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/shaved-brussels-sprouts-and-soba-noodles-with-ginger-honey-sauce-577556"">Shaved Brussels Sprouts and Soba Noodles with Ginger-Honey Sauce</a>, <a href=""https://spoonacular.com/recipes/shaved-brussels-sprouts-salad-582047"">Shaved Brussels Sprouts Salad</a>, and <a href=""https://spoonacular.com/recipes/shaved-brussels-sprouts-with-pancetta-92600"">Shaved Brussels Sprouts With Pancetta</a> for similar recipes."
Egg Roll Stir-Fry (aka Egg Roll in a Bowl),chinese,423,28,21,24,"Egg Roll Stir-Fry (akan Egg Roll in a Bowl) might be just the <b>Chinese</b> recipe you are searching for. For <b>$1.5 per serving</b>, you get a hor d'oeuvre that serves 4. One serving contains <b>423 calories</b>, <b>24g of protein</b>, and <b>28g of fat</b>. This recipe from Hey Donna has 861 fans. Head to the store and pick up ground ginger, carrots, soy sauce, and a few other things to make it today. It is a good option if you're following a <b>gluten free and dairy free</b> diet. From preparation to the plate, this recipe takes approximately <b>25 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is outstanding. Try <a href=""https://spoonacular.com/recipes/egg-roll-in-a-bowl-an-easy-weeknight-dinner-917105"">Egg Roll in a Bowl (An Easy Weeknight Dinner!)</a>, <a href=""https://spoonacular.com/recipes/egg-roll-in-a-bowl-666658"">Egg Roll in a Bowl</a>, and <a href=""https://spoonacular.com/recipes/egg-roll-noodle-bowl-837848"">Egg Roll Noodle Bowl</a> for similar recipes."
Chicken chow mein,chinese,624,15,73,49,"Chicken chow mein might be just the <b>Chinese</b> recipe you are searching for. This dairy free recipe serves 2 and costs <b>$2.7 per serving</b>. One serving contains <b>599 calories</b>, <b>48g of protein</b>, and <b>15g of fat</b>. Many people made this recipe, and 1067 would say it hit the spot. It works well as a rather inexpensive main course. From preparation to the plate, this recipe takes roughly <b>40 minutes</b>. Head to the store and pick up cornflour, soy sauce, pepper, and a few other things to make it today. To use up the soy sauce you could follow this main course with the <a href=""https://spoonacular.com/recipes/panna-cotta-with-strawberry-vin-santo-sauce-154216"">Panna Cotta with Strawberry-Vin Santo Sauce</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/how-to-cook-yaki-chow-a-cross-between-yakisoba-and-chow-mein-478206"">How to cook yaki-chow, a cross between yakisoban and chow mein</a>, <a href=""https://spoonacular.com/recipes/chicken-chow-mein-101040"">Chicken Chow Mein</a>, and <a href=""https://spoonacular.com/recipes/chicken-chow-mein-91941"">Chicken Chow Mein</a> for similar recipes."
Chinese Beef & Broccoli Stir-Fry {Skinnytaste Giveaway},chinese,272,10,16,29,"The recipe Chinese Beef & Broccoli Stir-Fry {Skinnytaste Giveaway} is ready <b>in approximately 25 minutes</b> and is definitely an excellent <b>gluten free and dairy free</b> option for lovers of Chinese food. For <b>$2.39 per serving</b>, this recipe <b>covers 27%</b> of your daily requirements of vitamins and minerals. This main course has <b>271 calories</b>, <b>29g of protein</b>, and <b>10g of fat</b> per serving. 1246 people have made this recipe and would make it again. Head to the store and pick up sirloin steak, sesame oil, brown sugar, and a few other things to make it today. To use up the fresh ginger you could follow this main course with the <a href=""https://spoonacular.com/recipes/fresh-ginger-cookies-624884"">Fresh Ginger Cookies</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 99%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/beef-and-broccoli-stir-fry-923258"">Beef and Broccoli Stir-Fry</a>, <a href=""https://spoonacular.com/recipes/easy-beef-and-broccoli-with-venison-stir-fry-923457"">Easy Beef and Broccoli with Venison Stir Fry</a>, and <a href=""https://spoonacular.com/recipes/chinese-broccoli-beef-noodle-stir-fry-602181"">Chinese Broccoli Beef Noodle Stir Fry</a> for similar recipes."
Thai Quinoa Fried Rice,chinese,405,14,57,16,"The recipe Thai Quinoa Fried Rice could satisfy your Chinese craving in about <b>30 minutes</b>. For <b>$2.45 per serving</b>, this recipe <b>covers 30%</b> of your daily requirements of vitamins and minerals. This recipe makes 6 servings with <b>412 calories</b>, <b>16g of protein</b>, and <b>14g of fat</b> each. It works well as a rather inexpensive main course. 194 people were impressed by this recipe. If you have baby boy choy, extra virgin olive oil, maple syrup, and a few other ingredients on hand, you can make it. To use up the maple syrup you could follow this main course with the <a href=""https://spoonacular.com/recipes/vanilla-almond-chia-breakfast-pudding-619506"">Vanilla-Almond Chia Breakfast Pudding</a> as a dessert. It is a good option if you're following a <b>gluten free and vegan</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/thai-star-thai-fried-rice-600245"">Thai Star Thai Fried Rice</a>, <a href=""https://spoonacular.com/recipes/thai-fried-rice-828706"">Thai Fried Rice</a>, and <a href=""https://spoonacular.com/recipes/thai-fried-rice-10071"">Thai Fried Rice</a> for similar recipes."
Vegan Tofu and Cashew Fried Rice,chinese,348,16,38,15,"The recipe Vegan Tofu and Cashew Fried Rice is ready <b>in around 25 minutes</b> and is definitely a great <b>gluten free and vegan</b> option for lovers of Chinese food. For <b>$1.78 per serving</b>, this recipe <b>covers 21%</b> of your daily requirements of vitamins and minerals. This recipe makes 4 servings with <b>355 calories</b>, <b>15g of protein</b>, and <b>17g of fat</b> each. It works well as a reasonably priced main course. 164 people have made this recipe and would make it again. A mixture of garlic, jalapeno, bell pepper, and a handful of other ingredients are all it takes to make this recipe so delicious. To use up the cornstarch you could follow this main course with the <a href=""https://spoonacular.com/recipes/chocolate-cornstarch-pudding-604450"">Chocolate Cornstarch Pudding</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/stir-fried-tofu-and-bok-choy-with-cashew-sauce-9825"">Stir-fried Tofu And Bok Choy With Cashew Sauce</a>, <a href=""https://spoonacular.com/recipes/ginger-mandarin-rice-with-cashew-tofu-36450"">Ginger Mandarin Rice With Cashew Tofu</a>, and <a href=""https://spoonacular.com/recipes/cashew-fried-rice-114160"">Cashew Fried Rice</a> for similar recipes."
Easy Chinese Chicken Salad with Chow Mein Noodles,chinese,569,37,26,35,"Easy Chinese Chicken Salad with Chow Mein Noodles is a <b>dairy free</b> main course. This recipe serves 4. For <b>$2.59 per serving</b>, this recipe <b>covers 38%</b> of your daily requirements of vitamins and minerals. One serving contains <b>569 calories</b>, <b>35g of protein</b>, and <b>37g of fat</b>. This recipe is liked by 531 foodies and cooks. It is a <b>rather cheap</b> recipe for fans of Chinese food. This recipe from Simply Recipes requires ginger, mustard powder, cilantro leaves, and sugar. From preparation to the plate, this recipe takes roughly <b>30 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 0%</b>, which is very bad (but still fixable). Try <a href=""https://spoonacular.com/recipes/chinese-take-out-chicken-chow-mein-with-crispy-noodles-92012"">Chinese Take-Out Chicken Chow Mein With Crispy Noodles</a>, <a href=""https://spoonacular.com/recipes/easy-chicken-chow-mein-noodles-841416"">Easy Chicken Chow Mein Noodles</a>, and <a href=""https://spoonacular.com/recipes/grilled-chicken-salad-with-carrots-and-chow-mein-noodles-410814"">Grilled Chicken Salad with Carrots and Chow Mein Noodles</a> for similar recipes."
Chinese Beef and Broccoli,chinese,196,7,13,21,"Chinese Beef and Broccoli might be just the <b>Chinese</b> recipe you are searching for. One serving contains <b>196 calories</b>, <b>21g of protein</b>, and <b>7g of fat</b>. For <b>$1.8 per serving</b>, you get a main course that serves 6. 703 people were impressed by this recipe. If you have sesame oil, garlic, cornstarch, and a few other ingredients on hand, you can make it. To use up the cornstarch you could follow this main course with the <a href=""https://spoonacular.com/recipes/chocolate-cornstarch-pudding-604450"">Chocolate Cornstarch Pudding</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. It is a good option if you're following a <b>gluten free and dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/chinese-beef-broccoli-602204"">Chinese Beef Broccoli</a>, <a href=""https://spoonacular.com/recipes/chinese-beef-with-broccoli-110842"">Chinese Beef With Broccoli</a>, and <a href=""https://spoonacular.com/recipes/gai-lan-chinese-broccoli-and-beef-109427"">Gai Lan (Chinese Broccoli) and Beef</a> for similar recipes."
