id,title,image,region,weightWatcherSmartPoints,readyInMinutes,sourceUrl,pricePerServing,healthScore,aggregateLikes,vegetarian,vegan,glutenFree,dairyFree,servings,instructions,summary,ingredients,calories,fat,carbs,protein
577803,Sesame Crusted Avocado and Cabbage Spring Rolls,https://spoonacular.com/recipeImages/577803-312x231.jpg,vietnamese,22,30,http://naturallyella.com/2013/02/04/sesame-crusted-avocado-and-cabbage-spring-rolls/,343.33,100.0,16162,False,False,True,True,2,"Shred cabbage and toss with juice from lime and honey, taste cabbage and add more honey if extra sweetness is desired. Set aside.Slice avocado in half, remove pit, and carefully scoop out the whole avocado. Slice into ½"" slices and pat in sesame seeds so that slice is covered, repeat with remaining avocados.Heat sesame oil over medium-high heat and place crusted avoado in skillet. Cook until both sides are golden, 3-4 minutes (depending on heat.)Set up your spring roll rolling station with the hot water bath, cabbage mixture, avocados, cilantro, and a place to roll/cut each spring roll.Soak the rice paper for 10-15 seconds (you don’t want it too soft when taking it out of the water but pliable enough to roll.) Place rice paper on a cutting board and load with cabbage, avocados, and a sprinkle of cilantro. Roll, tuck, and fold in sides as you go. Continue with remaining ingredients.Once done slice in half and serve. These are great on their own or with a small bowl of tamari.","The recipe Sesame Crusted Avocado and Cabbage Spring Rolls is ready <b>in approximately 30 minutes</b> and is definitely an outstanding <b>gluten free and dairy free</b> option for lovers of Vietnamese food. This recipe serves 2 and costs $3.43 per serving. One serving contains <b>769 calories</b>, <b>18g of protein</b>, and <b>47g of fat</b>. Head to the store and pick up honey, sesame seeds, sesame oil, and a few other things to make it today. It is perfect for <b>Spring</b>. This recipe from Naturally Ella has 16162 fans. It works well as a rather pricey hor d'oeuvre. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is awesome. Try <a href=""https://spoonacular.com/recipes/sesame-crusted-tuna-avocado-with-spicy-sesame-zucchini-noodles-563868"">Sesame Crusted Tuna & Avocado with Spicy Sesame Zucchini Noodles</a>, <a href=""https://spoonacular.com/recipes/sexy-cabbage-+-cilantro-lime-carrot-and-cabbage-spring-rolls-577771"">Sexy Cabbage (+ Cilantro-Lime Carrot and Cabbage Spring Rolls)</a>, and <a href=""https://spoonacular.com/recipes/cabbage-spring-rolls-94391"">Cabbage Spring Rolls</a> for similar recipes.","2 ripe avocados; ¼ cup sesame seeds, (black, white, or combo); ¼ cup cilantro; 1 tablespoons honey; Juice from 1 lime; ½ head red cabbage; 1 tablespoon sesame oil; 6-8 Spring Roll Wrappers; Tamari, to serve",769,47g,81g,18g
510493,Vegetable Spring Rolls with Peanut Sauce,https://spoonacular.com/recipeImages/510493-312x231.jpg,vietnamese,11,45,http://www.slenderkitchen.com/vegetable-spring-rolls/,393.35,93.0,2317,False,False,True,True,2,"Whisk together the dipping sauce ingredients and set aside.Squeeze the tofu between paper towels to release extra water. Cut into 12 rectangles, about 2 inches by a quarter inch.Fill a shallow bowl with hot, but not boiling, water. Submerge 1 spring roll wrapper until softened.Assemble spring rolls. Lay one wrapper flat and place two mint leaves lengthwise in center. Layer on three pieces of tofu, several carrot and cucumber slices, a sprinkling of cilantro and basil.Top with a lettuce leaf.Fold the long edge of the wrapper over ingredients. Then fold in ends and continue rolling wrapper lengthwise. Place seam side down on a plate. Repeat with remaining wrappers.","The recipe Vegetable Spring Rolls with Peanut Sauce could satisfy your Vietnamese craving in roughly <b>45 minutes</b>. This recipe serves 2 and costs $3.92 per serving. Watching your figure? This gluten free, dairy free, fodmap friendly, and pescatarian recipe has <b>518 calories</b>, <b>27g of protein</b>, and <b>16g of fat</b> per serving. It works well as a rather pricey hor d'oeuvre for <b>Spring</b>. Plenty of people made this recipe, and 2317 would say it hit the spot. A mixture of fish sauce, soy sauce, sesame oil, and a handful of other ingredients are all it takes to make this recipe so flavorful. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/healthy-lunchbox-s-vegetable-spring-rolls-with-lightened-up-peanut-sauce-604706"">Healthy Lunchbox s: Vegetable Spring Rolls with Lightened Up Peanut Sauce</a>, <a href=""https://spoonacular.com/recipes/my-very-own-spring-rolls-with-peanut-sauce-93817"">My Very Own Spring Rolls With Peanut Sauce</a>, and <a href=""https://spoonacular.com/recipes/spring-rolls-with-peanut-sauce-248289"">Spring Rolls with Peanut Sauce</a> for similar recipes.","Dipping Sauce; 1 large carrot, trimmed, peeled, and cut into 3–inch matchsticks; 1 cucumber, peeled, and cut into 3–inch matchsticks; 1 10 oz. package firm or extra firm tofu, drained well; 1 tsp fish sauce (or vegan Worcestershire); 1/3 cup fresh cilantro; 24 fresh mint leaves; 12 pieces lettuce; 1/ tsp. lime juice; 2 tbsp reduced fat peanut butter or PB2; 1/2 tbsp. of rice vinegar; 1 tsp. sesame oil; 1/2 tbsp. soy sauce; 8 rice paper spring roll wrappers; 1/3 cup Thai basil; 1.5 tbsp water",510,15g,70g,28g
511604,Spring Rolls With Salmon,https://spoonacular.com/recipeImages/511604-312x231.jpg,vietnamese,9,30,http://momsdish.com/recipe/280/spring-rolls-salmon,467.46,91.0,1000,False,False,True,True,5,"Splice cucumber, avocado, carrots and salon into thin long strips. Cut lettuce leaves into small pieces. Soak rice paper in a shallow dish filled with hot water for 10-20 seconds. Lay it on a clean surface. Place the ingredients on the bottom half of the rice paper, fold up both sides, fold the bottom part and roll it all the way. Serve with your favorite Asian sauce. I found this sauce at Trader Joes, it is paired perfectly with Spring Rolls.","The recipe Spring Rolls With Salmon is ready <b>in around 30 minutes</b> and is definitely an awesome <b>gluten free, dairy free, and pescatarian</b> option for lovers of Vietnamese food. For <b>$4.67 per serving</b>, you get a hor d'oeuvre that serves 5. One serving contains <b>368 calories</b>, <b>23g of protein</b>, and <b>16g of fat</b>. It can be enjoyed any time, but it is especially good for <b>Spring</b>. 1000 people were impressed by this recipe. If you have salmon, carrots, lettuce leaves, and a few other ingredients on hand, you can make it. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is amazing. Try <a href=""https://spoonacular.com/recipes/salmon-spring-rolls-with-sesame-miso-sauce-754995"">Salmon Spring Rolls with Sesame Miso Sauce</a>, <a href=""https://spoonacular.com/recipes/vietnamese-style-fresh-spring-rolls-with-salmon-87822"">Vietnamese-Style Fresh Spring Rolls With Salmon</a>, and <a href=""https://spoonacular.com/recipes/spring-spring-rolls-577571"">{spring} spring rolls</a> for similar recipes.",2 Avocados; 2 large Carrots; 1 English Cucumber; 5 Lettuce Leaves; 10 Rice Paper Sheets; 1 pound Smoked Salmon,370,16g,35g,23g
550072,"Deconstructed Vietnamase Chicken, Avocado + Lemongrass Spring Roll Salad",https://spoonacular.com/recipeImages/550072-312x231.jpg,vietnamese,19,40,http://www.halfbakedharvest.com/vietnamese-chicken-avocado-lemongrass-spring-roll-salad-hoisin-crackers/,582.1,68.0,9106,False,False,False,True,4,"InstructionsTo make the dressing and chips. Preheat the oven to 375 degrees F. Spray a baking sheet with cooking spray.In a medium size bowl or glass measuring cup, combine the ginger, garlic, minced red chile peppers, hoisin sauce, rice vinegar, honey, sesame oil and fish sauce (you will add the peanut butter to the dressing later). Whisk well. Arrange the wontons in a single layer on the baking sheet (you may need 2 baking sheets). Brush each wonton with a thinish coating of the dressing and then sprinkle sesame seeds over the crackers. Bake for 8-10 minutes, or until the chips are crisp and golden. Remove from the oven and repeat with another batch if needed.Whisk the peanut butter into the remaining dressing. If needed thin with 1-2 tablespoons water. Set aside until ready to serve.In a medium size bowl combine the soy sauce, brown sugar, sesame oil, lime juice, curry powder, and garlic. Whisk to combine and add the chicken, toss well. Heat a skillet to medium high heat and add the chicken and all the liquids. Brown the chicken for about 6 minutes on both sides or until the chicken is cooked through and the sauce has reduced. Remove from the heat allow to cool and then slice into strips. You may also grill the chicken if desired.In a large bowl combine the chicken vermicelli noodles, avocado, carrots, bell peppers, chopped lettuce, green onions, basil, mint and cilantro, lemongrass, sesame seeds and cashews. Lightly toss and add the dressing, toss again, divide the salad among bowls and serve with the hoisin sesame chips. EAT right away. You can also create and assembly line of ingredients and create your own salads.","The recipe Deconstructed Vietnamase Chicken, Avocado + Lemongrass Spring Roll Salad is ready <b>in approximately 40 minutes</b> and is definitely an awesome <b>dairy free and pescatarian</b> option for lovers of Vietnamese food. One serving contains <b>695 calories</b>, <b>31g of protein</b>, and <b>25g of fat</b>. For <b>$5.82 per serving</b>, this recipe <b>covers 41%</b> of your daily requirements of vitamins and minerals. It works well as a pricey main course for <b>Spring</b>. This recipe from Half Baked Harvest has 9106 fans. A mixture of sesame oil, brown sugar, soy sauce, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the curry powder you could follow this main course with the <a href=""https://spoonacular.com/recipes/curry-ice-cream-with-mango-and-pistachio-539368"">Curry Ice Cream with Mango and Pistachio</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 100%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/thai-chicken-salad-in-a-spring-roll-bowl-109477"">Thai Chicken Salad in a Spring Roll Bowl</a>, <a href=""https://spoonacular.com/recipes/chicken-avocado-salad-spring-rolls-557417"">Chicken Avocado Salad Spring Rolls</a>, and <a href=""https://spoonacular.com/recipes/avocado-citrus-red-pepper-and-cucumber-salad-with-ginger-and-lemongrass-dressing-573718"">Avocado, Citrus, Red Pepper and Cucumber Salad with Ginger and Lemongrass Dressing</a> for similar recipes.","1 teaspoon brown sugar; 1 large head butter lettuce, chopped; 1 large carrot, thin julienne cuts (like match sticks); 1/4 cup creamy peanut butter; 1/2 teaspoon spicy curry powder; 1 teaspoon fish sauce; 1/4 cup each fresh basil, mint and cilantro - roughly chopped; 2 teaspoons fresh ginger, grated; 1 clove garlic, grated; 2 cloves garlic, minced or grated; 4 green onions, sliced; 2 tablespoons hoisin sauce; 1 tablespoon honey; 4 stalks lemongrass, sliced; 1 tablespoon fresh lime juice; 1 1/2 cups cooked vermicelli noodles, chopped; 1 red bell pepper, sliced into small sticks; 2 red chile peppers, seeded + finely chopped; 2 tablespoons rice vinegar; 1/4 cup roasted cashews; 1 teaspoon sesame oil; 2 tablespoons sesame oil; 2 tablespoons toasted sesame seeds; 1/2 pound boneless skinless chicken breast or tenders or swap in shrimp; 2 tablespoons soy sauce; 40-60 wonton wrappers, cut into triangles or circles",697,25g,89g,31g
200328,Serious Salads: Vietnamese Shrimp and Quinoa Salad,https://spoonacular.com/recipeImages/200328-312x231.jpg,vietnamese,18,45,http://www.seriouseats.com/recipes/2012/01/serious-salads-vietnamese-shrimp-and-quinoa-salad-recipe.html,434.49,48.0,3283,False,False,True,True,2,"Procedures                                                                              1                                                                            Add quinoa, salt and 1-2/3 cups water to a medium saucepan. Bring to a boil and then reduce heat to low, cover, and cook for 15 minutes, until the water is absorbed and quinoa is cooked. Transfer to a serving bowl and let cool.                                                                                                                            2                                                                            In the meantime, make the dressing by combining the lime juice, Asian fish sauce, vegetable oil, sugar and crushed red pepper flakes in a medium bowl. Whisk until the sugar is dissolved. Add shrimp to the dressing and let marinate until ready to assemble the salad.                                                                                                                            3                                                                            Once quinoa is cool, add red bell pepper, carrot, cucumber and scallions to the bowl. Right before serving, add the dressing, shrimp and cilantro and toss well. Taste and adjust seasoning with more salt, sugar or crushed red pepper flakes if necessary. Serve cold.","The recipe Serious Salads: Vietnamese Shrimp and Quinoa Salad could satisfy your Vietnamese craving in roughly <b>45 minutes</b>. For <b>$4.51 per serving</b>, you get a main course that serves 2. One serving contains <b>638 calories</b>, <b>38g of protein</b>, and <b>21g of fat</b>. 3283 people have made this recipe and would make it again. A mixture of asian fish sauce, cilantro, salt, and a handful of other ingredients are all it takes to make this recipe so delicious. To use up the sugar you could follow this main course with the <a href=""https://spoonacular.com/recipes/whole-wheat-refined-sugar-free-sugar-cookies-557184"">Whole Wheat Refined Sugar Free Sugar Cookies</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is amazing. Similar recipes include <a href=""https://spoonacular.com/recipes/serious-salads-warm-quinoa-pilaf-salad-with-shiitake-mushrooms-carrots-pecans-202641"">Serious Salads: Warm Quinoa Pilaf Salad with Shiitake Mushrooms, Carrots & Pecans</a>, <a href=""https://spoonacular.com/recipes/vietnamese-shrimp-salad-483258"">Vietnamese Shrimp Salad</a>, and <a href=""https://spoonacular.com/recipes/vietnamese-shrimp-edamame-salad-812229"">Vietnamese Shrimp Edamame Salad</a>.","1 tablespoon Asian fish sauce; 1 carrot, peeled and shredded; 1 small cucumber, peeled, seeded and finely diced; 1/4 cup chopped fresh cilantro; 6 tablespoons freshly squeezed lime juice; 1 cup quinoa, rinsed (or pre-washed); 1 red bell pepper, cored and cut into thin bite-sized strips; 1/4 teaspoon crushed red pepper flakes, plus more if desired; 1/2 teaspoon salt; 2 scallions, finely chopped; 1/2 pound cooked shrimp, peeled and de-veined; 1-1/2 tablespoons sugar; 2 tablespoons vegetable oil",630,21g,74g,37g
832002,Slow-Cooker Banh Mi Rice Bowls,https://spoonacular.com/recipeImages/832002-312x231.jpg,vietnamese,11,15,http://www.skinnytaste.com/slow-cooker-banh-mi-rice-bowls/,159.36,38.0,6340,False,False,True,True,4,"Season the pork with salt and pepper and place into the slow cooker. Combine the garlic, jalapeno, soy sauce and brown sugar and stir to dissolve, pour over the pork.(NOTE: If your slow cooker runs hot, add 1/4 cup water). Cover and cook on low for 6 hours until the pork is very tender, turning once half way through if desired. When the pork is ready, shred the meat. Reserve the sauce.Meanwhile, while the pork is cooking, make the pickled carrots and radish: In a medium glass bowl, combine the vinegar, sugar and salt and stir until dissolved. Add the carrots and radish and let it sit for about 30 minutes. Drain well and refrigerate until ready to use.To assemble the bowls, place 3/4 cup rice in each bowl, top each with about 2 1/2 oz pork, drizzle with 2 tablespoons of the reserved sauce then top with the 1/4 cup shredded cabbage, 1/4 cup pickled carrots, 1/4 cup cucumber, sliced jalapenos and cilantro.","Slow-Cooker Banh Mi Rice Bowls might be just the main course you are searching for. One serving contains <b>404 calories</b>, <b>29g of protein</b>, and <b>5g of fat</b>. This recipe serves 4 and costs $1.62 per serving. 6340 people have made this recipe and would make it again. This recipe is typical of Vietnamese cuisine. Head to the store and pick up jalapeno, pork tenderloin, sugar, and a few other things to make it today. It is a good option if you're following a <b>gluten free and dairy free</b> diet. From preparation to the plate, this recipe takes roughly <b>15 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/slow-cooker-banh-mi-rice-bowls-824793"">Slow Cooker Banh Mi Rice Bowls</a>, <a href=""https://spoonacular.com/recipes/slow-cooker-salsa-chicken-rice-bowls-810908"">Slow Cooker Salsa Chicken Rice Bowls</a>, and <a href=""https://spoonacular.com/recipes/slow-cooker-cuban-pork-rice-bowls-839348"">Slow Cooker Cuban Pork Rice Bowls</a> for similar recipes.","1 tablespoon brown sugar; 1 cup shredded carrots; 1/4 cup cilantro leaves; 3 cups cooked brown rice; 1 cup thinly sliced English cucumbers (about ½ small); 3 cloves crushed garlic; 1 jalapeno, sliced; 1 small jalapeno, thinly sliced; 1/4 teaspoon kosher salt; 1/8 teaspoon freshly ground pepper; 1 pound pork tenderloin; 2 radishes, cut into matchsticks; 1 cup shredded red cabbage; 1/4 cup reduced sodium soy sauce*; 1/4 cup sugar; 6 tablespoons distilled white vinegar",402,5g,58g,29g
867475,Chile-Marinated Pork With Vietnamese Brussels Sprouts,https://spoonacular.com/recipeImages/867475-312x231.jpg,vietnamese,16,75,http://www.epicurious.com/recipes/food/views/chile-marinated-pork-with-vietnamese-brussels-sprouts-51248500,370.23,53.0,2451,False,False,False,False,4,"Preparation                                        Preheat oven to 400F. In a medium bowl, whisk together 2 tablespoons oil, vinegar, soy sauce, 2 grated garlic cloves, ginger, chile paste, and 1/4 teaspoon salt. Place pork in a large resealable plastic bag and pour marinade over, tossing to coat. Marinate for 30 minutes at room temperature.                                                                            In a small bowl, whisk together remaining 1 grated garlic clove, fish sauce, lime, honey, chile pepper, peanuts, and 1 tablespoon water. Set aside.                                                                            On a rimmed baking sheet, toss Brussels sprouts with 1 1/2 tablespoons oil and 1/2 teaspoon salt. Roast 15 minutes, then toss. Continue to roast until browned and cooked through, 10 to 15 minutes more. Transfer to a large bowl and toss with 2 tablespoons of the vinaigrette. Taste and add more vinaigrette, if desired.                                                                            Meanwhile, heat a large skillet with 2 tablespoons oil over medium-high heat. Remove pork from marinade (reserve marinade) and sear on 3 sides until lightly browned, about 3 minutes per side. Turn tenderloins onto their fourth side and add broth to pan. Transfer skillet to oven and roast pork, basting occasionally, until internal temperature reaches 140F for medium rare or 145F for medium, 10 to 13 minutes more (temperature will rise by about 10 degrees after cooking). Transfer pork to cutting board and let rest 5 minutes, and reserve skillet.                                                                            Add reserved marinade to the skillet and reduce over medium heat, stirring and scraping up the browned bits, until thickened to a pan sauce that coats the back of a spoon, 3 to 5 minutes. Remove from heat and whisk in butter. Taste and adjust seasoning.                                                                            To serve, slice pork and drizzle with pan sauce. Spoon Brussels sprouts onto plate, sprinkle with mint, and serve additional pan sauce on side.                                                                            Do ahead: Chile marinade and fish sauce vinaigrette can be made one day in advance.","The recipe Chile-Marinated Pork With Vietnamese Brussels Sprouts could satisfy your Vietnamese craving in approximately <b>1 hour and 15 minutes</b>. For <b>$3.7 per serving</b>, you get a main course that serves 4. One serving contains <b>593 calories</b>, <b>56g of protein</b>, and <b>33g of fat</b>. 2451 person have tried and liked this recipe. A mixture of roasted peanuts, fish sauce, to 1 thai chile pepper, and a handful of other ingredients are all it takes to make this recipe so yummy. To use up the honey you could follow this main course with the <a href=""https://spoonacular.com/recipes/honey-gingerbread-133051"">Honey Gingerbread</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 98%</b>. This score is spectacular. Try <a href=""https://spoonacular.com/recipes/chile-marinated-pork-with-vietnamese-brussels-sprouts-619292"">Chile-Marinated Pork with Vietnamese Brussels Sprouts</a>, <a href=""https://spoonacular.com/recipes/pork-and-charred-brussels-sprouts-with-chile-lime-sauce-203018"">Pork and Charred Brussels Sprouts with Chile Lime Sauce</a>, and <a href=""https://spoonacular.com/recipes/roasted-brussels-sprouts-with-mint-cilantro-and-vietnamese-style-dressing-618467"">Roasted Brussels Sprouts with Mint, Cilantro and Vietnamese Style Dressing</a> for similar recipes.","1 1/2 pounds Brussels sprouts, trimmed and halved; Large oven-safe skillet; 1 tablespoon butter; 1 1/2 tablespoon hot chile paste, such as sambal oelek; 2 tablespoons fish sauce; 3 garlic cloves, finely grated, divided; 2 teaspoons finely grated ginger; 1/2 teaspoon honey; 3/4 teaspoon kosher salt; 2 tablespoons lime juice; 3/4 cup low-sodium chicken broth or water; 1 tablespoon roughly chopped mint; 2 1-pound pork tenderloins; 2 tablespoons rice wine vinegar; 1 1/2 tablespoons finely chopped roasted unsalted peanuts; 1 1/2 tablespoons soy sauce; 1/2 to 1 red Thai chile pepper, very thinly sliced; 5 1/2 tablespoons vegetable oil, such as grapeseed, divided",593,33g,22g,56g
549701,Vietnamese Shaken Beef Bowl,https://spoonacular.com/recipeImages/549701-312x231.jpg,vietnamese,26,90,http://www.halfbakedharvest.com/vietnamese-shaken-beef-bowl-hoisin-sauce/,444.36,52.0,3263,False,False,True,False,4,"InstructionsAdd the cubed meat to a bowl and toss with the garlic, 1 tablespoon brown sugar, 1 tablespoon olive oil, salt and pepper. Toss well and let the meat sit at room temperature for 1 hour.In a small bowl whisk together the remaining 2 tablespoons brown sugar, soy sauce, fish sauce and rice vinegar.During this time I like to make the rice, prep the veggies and make the hoisin sauce so it is all ready to go when the beef is done.Once the meat has sat for 1 hour, heat a large heavy bottomed skillet over high heat until very hot. Add the remaining olive oil (a little less than 1/3 cup) and heat until just barely smoking. Carefully add the meat and cook undisturbed, over high heat for 1 minute or until browned. Turn the meat and cook for 1 minute longer or until browned. Tilt the skillet and drain off all but 1 tablespoon of oil into an old can or jar. Add the bell peppers and saute 1 minute. Add the green onions and cook for 30 seconds. Pour in the soy sauce mixture, shaking the skillet to coat the meat. Add the butter and shake the pan until the butter is melted. Turn off the heat.Divide the rice among 4 bowls. Add the carrots, cucumbers. cabbage, cilantro and mint. Pour the beef + peppers over the rice. Garnish with chopped peanuts and serve with the Hoisin Sauce.!To Make the Hoisin SauceCombine the hoisin sauce, peanut butter, sweet thai chili sauce, sesame oil and crushed red pepper. Stir to combine and add water as needed to thin the sauce out. Serve with the bowls.","Vietnamese Shaken Beef Bowl might be just the main course you are searching for. This gluten free recipe serves 4 and costs <b>$4.33 per serving</b>. One serving contains <b>897 calories</b>, <b>38g of protein</b>, and <b>47g of fat</b>. 3263 people have made this recipe and would make it again. Head to the store and pick up sesame oil, brown sugar, a head cabbage, and a few other things to make it today. To use up the salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/apple-turnovers-recipe-48175"">Apple Turnovers Recipe</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>1 hour and 30 minutes</b>. This recipe is typical of Vietnamese cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 97%</b>. This score is great. Try <a href=""https://spoonacular.com/recipes/vietnamese-beef-noodle-soup-with-asian-greens-okay-vietnamese-japanese-664830"">Vietnamese Beef-Noodle Soup With Asian Greens, Okay Vietnamese/japanese</a>, <a href=""https://spoonacular.com/recipes/vietnamese-vermicelli-bowl-bun-506940"">Vietnamese Vermicelli Bowl (“Bun”)</a>, and <a href=""https://spoonacular.com/recipes/vietnamese-noodle-bowl-248417"">Vietnamese Noodle Bowl</a> for similar recipes.","1 pound beef chuck, cubed; 3 tablespoons brown sugar, divided; 1/2 a small head green cabbage, roughly chopped; 2 large carrots, cut into matchsticks; 4 cups steamed white rice; 1 cucumber, cut into matchsticks; 1/4 cup fish sauce; 1 cup fresh cilantro, roughly chopped; 1/2 cup fresh mint, roughly chopped; 3 cloves garlic, minced or grated; 6 green onions, chopped; 1/4 cup hoisin; 1 lime, juiced; 1/3 cup olive oil, divided; 2 tablespoon peanut butter (or can sub almond butter); 1 teaspoon pepper; 2 red bell peppers, sliced; 1/2 teaspoon crushed red pepper flakes; 3 tablespoons rice vinegar; 1/3 cup roasted peanuts, chopped; 1 teaspoon salt; 1 teaspoon sesame oil; 1/4 cup soy sauce; 2 tablespoons sweet thai chili sauce; 1 tablespoon unsalted butter; water, to thin",916,47g,90g,39g
751851,Pho to Go,https://spoonacular.com/recipeImages/751851-312x231.jpeg,vietnamese,21,20,http://www.foodnetwork.com/recipes/jeff-mauro/pho-to-go.html,539.86,46.0,1136,False,False,False,True,1,"Watch how to make this recipe.                    Put the chicken stock, hoisin, fish sauce, cinnamon sticks and star anise in a medium pot, bring to a boil, lower to a simmer and simmer for at least 10 minutes. Transfer to a thermos to keep hot.                          Pack the noodles, chicken and sliced shiitakes at the bottom of a serving container, followed by the jalapenos, sprouts, lime wedges and mint.                          When the lunch bell rings, pour the hot soup over the ingredients in the serving container, let stand a few minutes and enjoy!!","Pho to Go might be just the <b>Vietnamese</b> recipe you are searching for. For <b>$5.18 per serving</b>, this recipe <b>covers 39%</b> of your daily requirements of vitamins and minerals. One serving contains <b>726 calories</b>, <b>50g of protein</b>, and <b>25g of fat</b>. A mixture of bean sprouts, rotisserie chicken meat, hoisin sauce, and a handful of other ingredients are all it takes to make this recipe so tasty. Plenty of people made this recipe, and 1136 would say it hit the spot. It works best as a main course, and is done in approximately <b>20 minutes</b>. It is a good option if you're following a <b>dairy free</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 97%</b>. This score is super. Try <a href=""https://spoonacular.com/recipes/vietnamese-beef-noodle-salad-pho-tron-914853"">Vietnamese Beef Noodle Salad: Pho Tron</a> for similar recipes.","Bean sprouts, for topping,; Shredded rotisserie chicken meat, for topping; 2 cinnamon sticks; 1/2 teaspoon fish sauce; Fresh mint leaves, for topping; 2 tablespoons hoisin sauce; Jalapenos slices, for topping; Lime wedges, for topping; 4 cups low-sodium chicken stock; 1 serving uncooked noodles, such as ramen, glass or egg noodles; Sliced shiitake mushrooms, for topping; 2 whole star anise",804,31g,80g,57g
535680,Roasted Shrimp Quinoa Spring Rolls,https://spoonacular.com/recipeImages/535680-312x231.jpg,vietnamese,9,25,http://damndelicious.net/2012/11/14/roasted-shrimp-quinoa-spring-rolls/,305.41,32.0,75643,False,False,True,True,4,"Preheat oven to 400 degrees F. Line a baking sheet with parchment paper. To make the dipping sauce, whisk together peanut butter, water, hoisin and Sriracha in a small bowl; set aside. Place shrimp onto the prepared baking sheet. Place into oven and roast just until pink, firm and cooked through, about 6-8 minutes. Let cool before slicing in half lengthwise. Working one at a time, wet rice paper for 10 seconds and transfer to a work surface; place lettuce leaf in the center of each wrapper and top with 2 tablespoons quinoa, 3 slices of cucumber and carrot sticks each and 3 shrimp halves, cut sides down. Bring the bottom edge of the wrap tightly over the filling and then folding in the sides, rolling from bottom to top until the top of the sheet is reached, being careful not to tear the rice paper. Repeat with remaining wrappers and filling. Serve immediately with spicy peanut sauce.","The recipe Roasted Shrimp Quinoa Spring Rolls could satisfy your Vietnamese craving in roughly <b>25 minutes</b>. This recipe makes 4 servings with <b>421 calories</b>, <b>35g of protein</b>, and <b>12g of fat</b> each. For <b>$3.05 per serving</b>, this recipe <b>covers 27%</b> of your daily requirements of vitamins and minerals. Several people made this recipe, and 75643 would say it hit the spot. <b>Spring</b> will be even more special with this recipe. A mixture of shrimp, quinoa, rice paper wrappers, and a handful of other ingredients are all it takes to make this recipe so flavorful. It is a good option if you're following a <b>gluten free, dairy free, fodmap friendly, and pescatarian</b> diet. It works well as a hor d'oeuvre. All things considered, we decided this recipe <b>deserves a spoonacular score of 97%</b>. This score is outstanding. Try <a href=""https://spoonacular.com/recipes/vegetable-quinoa-spring-rolls-505113"">Vegetable Quinoa Spring Rolls</a>, <a href=""https://spoonacular.com/recipes/sesame-ginger-and-quinoa-spring-rolls-577738"">Sesame-Ginger and Quinoa Spring Rolls</a>, and <a href=""https://spoonacular.com/recipes/sweet-potato-kale-+-quinoa-spring-rolls-704232"">Sweet Potato, Kale + Quinoa Spring Rolls</a> for similar recipes.","1 carrot, peeled and julienned; 1 1/2 cups cooked quinoa; 1 cucumber, julienned; Green leaf lettuce; 1 tablespoon hoisin; 1/4 cup peanut butter; 12 (16-cm) rice paper wrappers; 1 pound medium shrimp, peeled and deveined; 1-2 teaspoons Sriracha; 1/4 cup water",421,12g,44g,35g
